delta	old_ps	new_ps	reads	old_errors	new_errors	flip_states
487	52434849	52356806	489	1	488	1
347	46748667	46663811	347	0	347	1
233	46663811	46663811	235	1	234	1
86	60686879	60686879	86	0	86	1
83	33958453	33958453	83	0	83	1
72	41395719	40722749	72	0	72	1
41	22625517	22625517	41	0	41	1
28	36083127	36083127	30	1	29	1
24	23717347	23717347	24	0	24	1
8	35228062	35160775	8	0	8	1
7	26540374	26417736	35	14	21	1
2	27202337	27202337	10	4	6	1
0	9014032	8946528	5174	0	0	1
0	8946528	8946528	174	0	0	1
0	890260	130540	780	0	0	1
0	8769855	8769855	737	0	0	1
0	8106314	8106314	2661	0	0	1
0	7924485	7887136	617	0	0	1
0	7887136	7887136	92	0	0	1
0	7861288	7861288	56	0	0	1
0	7343405	7343405	1801	0	0	1
0	7280356	7206650	136	0	0	1
0	7250571	7206650	11	0	0	1
0	7206650	7206650	14	0	0	1
0	7118617	7118617	141	0	0	1
0	7064047	6997093	25	0	0	1
0	6997093	6997093	218	0	0	1
0	6647988	6647988	1132	0	0	1
0	6582249	6582249	53	0	0	1
0	65513627	65513627	2018	183	183	1
0	6536071	6536071	79	0	0	1
0	65168109	64913827	877	0	0	1
0	64913827	64913827	724	0	0	1
0	64155215	63182011	2102	0	0	1
0	63969922	63182011	499	0	0	1
0	63182011	63182011	2628	1	1	1
0	62645168	62385548	1879	0	0	1
0	62432427	62385548	647	1	1	1
0	62385548	62385548	157	0	0	1
0	61914474	61914474	1626	0	0	1
0	61757551	61487311	300	0	0	1
0	61690751	61487311	123	0	0	1
0	6164984	6164984	1347	0	0	1
0	61487311	61487311	560	0	0	1
0	61405579	61405579	156	0	0	1
0	61373859	61373859	56	0	0	1
0	61327386	61327386	64	0	0	1
0	61144543	61144543	612	0	0	1
0	61037147	61037147	318	0	0	1
0	60971452	60971452	48	0	0	1
0	60723583	60686879	598	0	0	1
0	60552043	60552043	120	0	0	1
0	60467115	60286266	256	0	0	1
0	60286266	60286266	575	0	0	1
0	60114911	60114911	478	0	0	1
0	60058235	60058235	39	0	0	1
0	59850390	59046421	491	103	103	1
0	59046421	59046421	2838	0	0	1
0	58849519	58849519	575	0	0	1
0	58747200	58391091	166	0	0	1
0	58452672	58391091	870	1	1	1
0	58419975	58391091	51	0	0	1
0	58391091	58391091	61	1	1	1
0	58318451	58318451	178	0	0	1
0	57934951	57836194	1275	0	0	1
0	57866713	57836194	104	0	0	1
0	57836194	57836194	63	0	0	1
0	57785772	57661366	70	1	1	1
0	57688923	57661366	297	0	0	1
0	57661366	57661366	32	0	0	1
0	57620633	57620633	59	0	0	1
0	57528647	57528647	188	0	0	1
0	57119478	57119478	1349	0	0	1
0	56681452	56542357	1531	0	0	1
0	56542357	56542357	370	0	0	1
0	56323427	56323427	641	0	0	1
0	56201931	56040612	272	0	0	1
0	56100715	56040612	235	0	0	1
0	56040612	56040612	39	0	0	1
0	55889113	55824242	504	0	0	1
0	55824242	55824242	105	0	0	1
0	55492791	55382729	1168	0	0	1
0	55382729	55382729	372	0	0	1
0	5533786	5239260	2487	0	0	1
0	54912022	54453020	1679	0	0	1
0	54702072	54453020	814	1	1	1
0	54569072	54453020	366	0	0	1
0	545002	130540	1234	0	0	1
0	54453020	54453020	428	0	0	1
0	53962801	52356806	1928	0	0	1
0	5393717	5239260	481	0	0	1
0	5345085	5239260	60	0	0	1
0	52727684	52356806	4560	1	1	1
0	5272413	5239260	153	0	0	1
0	5239260	5239260	63	0	0	1
0	52356806	52356806	94	0	0	1
0	51262081	51262081	3640	1	1	1
0	51165532	50147908	291	0	0	1
0	50562066	50147908	2274	2	2	1
0	50488	50488	90	0	0	1
0	50147908	50147908	1441	3	3	1
0	49964968	49964968	511	0	0	1
0	49845376	49845376	374	0	0	1
0	49716722	49716722	57	0	0	1
0	49478563	49478563	686	0	0	1
0	49148305	49148305	931	1	1	1
0	49102876	49062203	55	0	0	1
0	49062203	49062203	25	0	0	1
0	48950388	48229446	69	0	0	1
0	4886360	4570122	980	1	1	1
0	48229446	48229446	2780	0	0	1
0	48043584	47713869	182	0	0	1
0	4792960	4570122	235	0	0	1
0	47762233	47713869	959	0	0	1
0	47713869	47713869	25	0	0	1
0	47026671	46663811	2403	0	0	1
0	46895038	46663811	315	0	0	1
0	46629630	45896820	67	0	0	1
0	4642430	4570122	492	0	0	1
0	46407462	45896820	828	0	0	1
0	45896820	45896820	1784	1	1	1
0	4570122	4570122	299	0	0	1
0	45143091	45143091	69	30	30	1
0	4501106	4501106	78	0	0	1
0	42543112	42543112	4767	0	0	1
0	42208160	42122863	846	0	0	1
0	42122863	42122863	207	0	0	1
0	41924682	41539049	487	0	0	1
0	41539049	41539049	1430	0	0	1
0	40722749	40722749	2455	0	0	1
0	4033448	3981464	1650	0	0	1
0	39868811	39286408	2921	1	1	1
0	3981464	3981464	41	0	0	1
0	39286408	39286408	2169	1	1	1
0	39204674	39204674	94	1	1	1
0	3891442	3597791	225	0	0	1
0	38393470	38153151	2736	2	2	1
0	38341762	38153151	114	2	2	1
0	38303247	38153151	44	0	0	1
0	38236063	38153151	44	0	0	1
0	38153151	38153151	176	1	1	1
0	3806891	3597791	157	0	0	1
0	38005401	37667751	197	1	1	1
0	37667751	37667751	1062	0	0	1
0	37606622	37482721	55	0	0	1
0	37556826	37482721	81	0	0	1
0	37482721	37482721	46	0	0	1
0	37425328	36083127	93	0	0	1
0	37018950	36083127	1240	0	0	1
0	36629321	36083127	1199	0	0	1
0	36381019	36083127	885	0	0	1
0	36299817	36083127	15	0	0	1
0	36268291	36083127	68	0	0	1
0	36156319	36083127	223	1	1	1
0	36056601	36011708	45	0	0	1
0	36011708	36011708	65	0	0	1
0	3597791	3597791	761	0	0	1
0	35939110	35479836	39	0	0	1
0	35516845	35479836	1660	1	1	1
0	3550839	2264116	88	0	0	1
0	35479836	35479836	44	0	0	1
0	35405794	35405794	7	0	0	1
0	35357391	35357391	15	0	0	1
0	35160775	35160775	52	0	0	1
0	34893642	34893642	566	0	0	1
0	34811747	33958453	144	0	0	1
0	34162219	33958453	2174	0	0	1
0	34134418	33958453	65	2	2	1
0	34055920	33958453	43	0	0	1
0	34018169	33958453	57	0	0	1
0	33887915	33887915	6	0	0	1
0	33792638	33360820	30	0	0	1
0	33360820	33360820	1367	0	0	1
0	33233843	32907753	126	0	0	1
0	32907753	32907753	1273	0	0	1
0	32516870	32516870	23	10	10	1
0	32449137	32449137	9	4	4	1
0	32397764	32397764	22	5	5	1
0	32315103	32315103	14	3	3	1
0	32203229	32203229	48	0	0	1
0	32174519	32174519	9	2	2	1
0	31887527	30782343	486	2	2	1
0	30782343	30782343	3573	14	14	1
0	29510999	29510999	4262	1	1	1
0	29392801	29392801	24	1	1	1
0	29310099	29310099	6	2	2	1
0	29222091	29222091	52	20	20	1
0	29172443	29172443	8	2	2	1
0	29068243	29068243	33	15	15	1
0	28936791	28936791	23	9	9	1
0	28222563	28222563	11	5	5	1
0	27353814	27353814	28	12	12	1
0	27269149	27202337	33	12	12	1
0	27239480	27202337	12	4	4	1
0	27161749	27161749	5	1	1	1
0	27132274	27132274	5	2	2	1
0	26952095	26952095	65	22	22	1
0	26908135	26908135	8	4	4	1
0	26749891	26749891	26	13	13	1
0	26644453	26644453	89	39	39	1
0	26417736	26417736	21	3	3	1
0	26088679	26088679	1270	1	1	1
0	25986123	25986123	91	0	0	1
0	25883079	25883079	216	0	0	1
0	24601281	24142287	4531	0	0	1
0	24379633	24142287	780	0	0	1
0	24142287	24142287	910	0	0	1
0	24103779	24103779	53	0	0	1
0	24012605	24012605	174	0	0	1
0	23810819	23717347	295	0	0	1
0	23767415	23717347	34	0	0	1
0	23503225	23449834	685	0	0	1
0	23481134	23449834	60	0	0	1
0	23449834	23449834	32	0	0	1
0	2342133	2264116	4241	0	0	1
0	23008891	22625517	1472	0	0	1
0	22729320	22625517	876	2	2	1
0	22668436	22625517	116	0	0	1
0	2264116	2264116	172	0	0	1
0	22565021	22565021	60	0	0	1
0	22520628	22520628	41	0	0	1
0	22481532	22481532	71	0	0	1
0	21961092	21961092	2031	0	0	1
0	21845675	21845675	35	0	0	1
0	21757517	21757517	95	0	0	1
0	21506971	21506971	26	0	0	1
0	21456826	21456826	51	1	1	1
0	21249192	21249192	49	0	0	1
0	21148338	20813640	69	0	0	1
0	20895876	20813640	812	0	0	1
0	20813640	20813640	263	0	0	1
0	20689586	20617179	58	0	0	1
0	20617179	20617179	159	1	1	1
0	20523889	19526088	10	0	0	1
0	19526088	19526088	3810	1	1	1
0	19395544	18442592	261	1	1	1
0	1901932	1690618	1210	0	0	1
0	18999993	18442592	1365	0	0	1
0	18442592	18442592	2252	0	0	1
0	18218259	17667022	911	0	0	1
0	17883198	17667022	1274	0	0	1
0	17667022	17667022	449	0	0	1
0	17521341	16715241	359	0	0	1
0	1690618	1690618	824	1	1	1
0	16715241	16715241	3084	0	0	1
0	15606878	15606878	4485	0	0	1
0	15380509	15380509	754	0	0	1
0	1523721	1142089	577	1	1	1
0	15115387	14719378	938	0	0	1
0	15039543	14719378	84	0	0	1
0	14719378	14719378	1194	0	0	1
0	14612632	14612632	16	0	0	1
0	14470800	14272741	411	0	0	1
0	14272741	14272741	772	0	0	1
0	14031529	14031529	71	0	0	1
0	13941253	13882832	37	0	0	1
0	13882832	13882832	22	0	0	1
0	13751618	13751618	129	0	0	1
0	13624940	13624940	311	0	0	1
0	13531593	13531593	30	0	0	1
0	13465685	13133180	7	0	0	1
0	13208341	13133180	605	0	0	1
0	13133180	13133180	253	0	0	1
0	130540	130540	1388	0	0	1
0	12752291	12752291	915	0	0	1
0	12277078	11813668	1760	0	0	1
0	12243047	11813668	70	0	0	1
0	1196967	1142089	1266	1	1	1
0	11813668	11813668	1618	2	2	1
0	11599138	11495992	410	0	0	1
0	11495992	11495992	197	0	0	1
0	11447789	11157086	50	0	0	1
0	1142089	1142089	60	0	0	1
0	11262361	11157086	536	1	1	1
0	11157086	11157086	411	0	0	1
0	1110921	1110921	54	0	0	1
0	10760419	8946528	1657	0	0	1
0	10343595	8946528	1502	0	0	1
