name	kind	beg	end	candidate_columns	admitted	consistency	reads_partitioned	truth_concordance	admitted_in_our_calls	admitted_in_reference	median_segregation
gap_36332599	gap	36332599	36381019	9	4	0.9857	80	1.0	0	0	0.9938
gap_7073919	gap	7073919	7118616	0	0	0.0	0	0.0	0	0	0.0
gap_60084884	gap	60084884	60132282	2	2	1.0	126	0.5238	1	2	0.9932
gap_16673759	gap	16673759	16715241	1	1	1.0	53	1.0	1	1	1.0
gap_7163303	gap	7163303	7206650	1	1	1.0	66	1.0	1	1	1.0
gap_10296487	gap	10296487	10343595	2	2	1.0	138	0.5217	1	2	0.9925
gap_13429829	gap	13429829	13631825	7	4	1.0	216	0.5139	2	4	1.0
gap_35919404	gap	35919404	36156319	20	3	1.0	130	0.7154	0	0	0.75
inblock_514902	control	454902	504902	49	30	0.9757	123	0.9106	29	30	1.0
inblock_865232	control	805232	855232	39	39	0.8841	193	0.886	36	39	1.0
inblock_1499101	control	1439101	1489101	109	103	0.9998	246	1.0	100	103	1.0
