gap_left	gap_right	gap_bp	status	depth_all	depth_pass_mapq	depth_lost_pct	reads_in_window	unphased_by_us	unphased_below_floor	competitor_het_sites	median_vaf_deviation	longphase_phased	longphase_concordant	longphase_accuracy	hiphase_phased	hiphase_concordant	hiphase_accuracy	verdict
25944471	25986123	41652	split	47.9	0.6	98.8	197	183	183	21	0.22	169	169	100.0	13	13	100.0	trustworthy
26029591	26088679	59088	split	61.4	0.4	99.3	313	303	303	101	0.0507	303	302	99.7	60	59	98.3	trustworthy
25834662	25883079	48417	split	68.2	3.7	94.5	296	279	274	102	0.0522	253	244	96.4	72	72	100.0	trustworthy
26407782	26417736	9954	split	50.5	2.4	95.3	85	77	75	47	0.0745	73	68	93.2	39	34	87.2	noise
29496882	29510999	14117	partial	60.1	4.6	92.4	129	121	119	41	0.1296	109	89	81.7	78	60	76.9	noise
32521867	32907753	385886	partial	27.3	4.9	82.1	830	802	702	224	0.0766	378	307	81.2	273	189	69.2	noise
26784052	26804346	20294	partial	35.5	6.2	82.5	76	63	63	85	0.1538	29	21	72.4	19	15	78.9	noise
26624953	26644453	19500	partial	39.2	2.3	94.0	156	144	144	126	0.0795	71	51	71.8	60	30	50.0	noise
29194107	29222306	28199	partial	42.4	2.1	95.0	150	130	130	47	0.0882	94	62	66.0	60	23	38.3	noise
31789190	31887527	98337	split	26.1	0.3	98.7	214	207	207	34	0.1376	105	65	61.9	48	29	60.4	noise
32432281	32449137	16856	split	23.7	5.3	77.9	50	40	40	2	0.1731	21	13	61.9	10	10	100.0	noise
26875440	26908135	32695	partial	34.5	1.2	96.5	125	120	119	95	0.1053	108	65	60.2	66	42	63.6	noise
32337036	32397764	60728	partial	21.7	6.1	71.9	147	133	109	41	0.2222	38	21	55.3	16	8	50.0	noise
27133886	29068243	1934357	split	79.3	2.0	97.5	9841	9828	9632	2596	0.125	7540	4078	54.1	2626	1480	56.4	noise
29322393	29392801	70408	partial	24.3	0.8	96.5	179	171	162	104	0.1667	149	64	43.0	95	37	38.9	noise
27063087	27132648	69561	partial	29.7	1.0	96.6	194	187	186	126	0.0833	163	60	36.8	94	38	40.4	noise
29123905	29172443	48538	partial	28.5	1.1	96.2	157	150	149	82	0.0714	121	44	36.4	61	29	47.5	noise
29467402	29496553	29151	partial	27.5	1.5	94.5	114	107	107	22	0.1833	96	13	13.5	63	10	15.9	noise
29310061	29310099	38	partial	38.1	7.2	81.2	56	43	35	0		43	3	7.0	20	3	15.0	noise
26843664	26844572	908	open	69.4	3.0	95.7	72	70	69	3	0.0357	26	1	3.8	17	2	11.8	noise
