gap_left	gap_bp	arm	phase_sets	spans_gap	target_ps	target_variants	reads_tagged	reads_scored	reads_correct	accuracy
10296487	47108	union	2	0	10246595	46	293	293	293	1.0
10296487	47108	union_recover	2	0	10246595	46	367	367	366	0.9973
13429829	201996	union	5	0	13624940	27	254	254	254	1.0
13429829	201996	union_recover	3	0	13631825	28	289	289	287	0.9931
16673759	41482	union	2	0	16624535	54	247	247	247	1.0
16673759	41482	union_recover	2	0	16624535	53	251	251	251	1.0
35919404	236915	union	7	0	35873360	31	245	245	245	1.0
35919404	236915	union_recover	7	0	35873360	43	379	379	371	0.9789
36332599	48420	union	2	0	36381019	39	199	199	199	1.0
36332599	48420	union_recover	2	0	36381019	52	350	350	348	0.9943
60084884	47398	union	2	0	60114911	32	212	212	212	1.0
60084884	47398	union_recover	2	0	60132282	30	313	313	312	0.9968
7073919	44697	union	3	0	7118617	9	141	141	141	1.0
7073919	44697	union_recover	3	0	7118617	8	262	262	261	0.9962
7163303	43347	union	3	0	7118617	9	141	141	141	1.0
7163303	43347	union_recover	3	0	7118617	10	262	262	261	0.9962
