gap	blocks_before	blocks_after	tagged_before	tagged_after	conc_before	conc_after	gate_conc_to_disc	lost_conc	gained_conc	gained_disc
7073919	3	3	453	453	450	450	0	0	0	0
7163303	2	2	369	369	367	367	0	0	0	0
10296487	2	2	642	642	641	641	0	0	0	0
13429829	3	4	473	522	470	516	0	0	46	3
16673759	2	2	385	385	385	385	0	0	0	0
35919404	3	7	527	801	518	788	0	0	270	4
36217274	2	2	358	358	278	278	0	0	0	0
36332599	1	1	437	437	433	433	0	0	0	0
60084884	2	2	468	468	467	467	0	0	0	0
61732321	1	1	575	602	567	597	0	48	78	2
