gap_left	gap_bp	verdict_before	verdict_after	phase_sets_before	phase_sets_after	spans_before	spans_after	tagged_before	tagged_after	correct_before	correct_after	gate_conc_to_disc	lost_tag_was_concordant	gained_tag_concordant	gained_tag_discordant
7073919	44697	rejected	rejected	3	3	0	0	453	453	450	450	0	0	0	0
7163303	43347	rejected	rejected	3	3	0	0	369	369	367	367	0	0	0	0
10296487	47108	split	split	2	2	0	0	642	642	641	641	0	0	0	0
13429829	201996	rejected	rejected	3	3	0	0	473	473	470	470	0	0	0	0
16673759	41482	split	split	2	2	0	0	385	385	385	385	0	0	0	0
35919404	236915	rejected	rejected	7	7	0	0	527	527	518	518	0	0	0	0
36217274	51017	joined	joined	3	3	0	0	358	358	278	278	0	0	0	0
36332599	48420	joined	joined	1	1	1	1	437	437	433	433	0	0	0	0
60084884	47398	rejected	rejected	2	2	0	0	468	468	467	467	0	0	0	0
61732321	78148	joined	joined	1	1	1	1	575	602	567	597	0	48	78	2
