gap_left	gap_right	gap_bp	support_class	primary_span	mapq0	mapq1_4	mapq5_29	mapq_ge30	pg_eligible_bridge	hi_eligible_bridge	hi_supplementary_gain	graph_tagged	bam_tagged	graph_and_bam_tagged	hiphase_tagged	graph_scored	graph_purity	bam_scored	bam_purity	hiphase_scored	hiphase_purity	supplementary_records
865572	882277	16705	low	1	0	0	0	1	1	1	0	1	1	1	1	1	1.0000	1	1.0000	1	1.0000	0
882277	890261	7984	high	28	0	0	0	28	28	28	0	28	28	28	28	28	0.9643	28	1.0000	28	1.0000	0
4778792	4785719	6927	high	36	0	0	0	36	36	36	0	13	13	13	35	13	1.0000	13	0.8462	35	1.0000	0
11495992	11497008	1016	high	73	0	0	0	73	73	73	0	21	73	21	73	21	1.0000	73	1.0000	73	1.0000	0
11796979	11813446	16467	low	5	0	0	0	5	5	5	0	4	4	4	5	4	1.0000	4	1.0000	5	1.0000	0
14264549	14272741	8192	high	35	0	0	0	35	35	35	0	35	35	35	35	35	1.0000	35	1.0000	35	1.0000	0
14679241	14679247	6	high	76	0	0	1	75	76	76	0	76	74	74	76	76	0.9868	74	1.0000	76	0.9868	0
14719378	14729749	10371	high	26	0	0	0	26	26	26	0	26	26	26	26	26	1.0000	26	1.0000	26	1.0000	0
15023123	15039543	16420	low	7	0	0	0	7	7	7	0	7	7	7	7	7	1.0000	7	1.0000	7	1.0000	0
15056025	15071132	15107	low	13	0	0	0	13	13	13	0	11	12	10	13	11	0.9091	12	1.0000	13	1.0000	0
18194808	18218259	23451	low	1	0	0	0	1	1	1	0	1	1	1	1	1	1.0000	1	1.0000	1	1.0000	0
21669098	21688374	19276	low	3	0	0	0	3	3	3	0	3	3	3	3	3	0.6667	3	1.0000	3	1.0000	0
21823066	21844359	21293	low	2	0	0	0	2	2	2	0	2	2	2	2	2	1.0000	2	1.0000	2	1.0000	0
25985709	25986123	414	low	42	0	25	12	5	42	17	0	42	5	5	17	42	0.9524	5	1.0000	17	1.0000	0
30813841	30814005	164	high	69	0	26	16	27	69	43	0	69	27	27	43	69	1.0000	27	1.0000	43	1.0000	0
31886648	31901501	14853	low	2	0	0	0	2	2	2	0	2	2	2	2	2	1.0000	2	1.0000	2	1.0000	0
32035459	32050364	14905	low	1	0	0	1	0	1	1	0	0	0	0	1	0	0.0000	0	0.0000	1	1.0000	0
32234664	32246127	11463	low	5	1	0	4	0	4	4	0	3	0	0	4	3	1.0000	0	0.0000	4	1.0000	0
32910395	32910411	16	high	51	0	20	25	6	51	31	0	51	6	6	31	51	0.8824	6	1.0000	31	1.0000	0
33792638	33797964	5326	high	34	0	0	0	34	34	34	0	34	32	32	34	34	1.0000	32	1.0000	34	1.0000	0
35281130	35305645	24515	low	1	0	0	0	1	1	1	0	1	1	1	1	1	1.0000	1	1.0000	1	1.0000	0
35328965	35347817	18852	low	6	0	0	0	6	6	6	0	6	6	6	6	6	1.0000	6	1.0000	6	1.0000	0
38283561	38303247	19686	low	1	0	0	0	1	1	1	0	1	1	1	1	1	1.0000	1	1.0000	1	1.0000	0
45230668	45252114	21446	low	1	0	0	0	1	1	1	0	1	1	1	1	1	1.0000	1	1.0000	1	1.0000	0
46727050	46747598	20548	low	2	0	0	0	2	2	2	0	2	2	2	2	2	0.5000	2	1.0000	2	1.0000	0
46895038	46896191	1153	high	66	0	0	0	66	66	66	0	66	66	66	66	66	1.0000	66	1.0000	66	1.0000	0
55381221	55381472	251	high	57	0	0	0	57	57	57	0	52	52	52	57	52	0.9808	52	1.0000	57	1.0000	0
55381472	55382729	1257	high	53	0	0	0	53	53	53	0	53	53	53	53	53	0.9811	53	1.0000	53	1.0000	0
56064697	56083708	19011	low	4	0	0	0	4	4	4	0	4	4	4	4	4	1.0000	4	1.0000	4	1.0000	0
57854341	57866713	12372	low	11	0	0	0	11	11	11	0	11	11	11	11	11	1.0000	11	1.0000	11	1.0000	0
58834248	58836037	1789	high	56	0	0	0	56	56	56	0	54	9	7	49	54	0.6111	9	1.0000	49	1.0000	0
60971452	60980031	8579	high	34	0	0	0	34	34	34	0	34	34	34	34	34	1.0000	34	1.0000	34	1.0000	0
61373859	61375344	1485	high	56	0	0	0	56	56	56	0	56	56	56	56	56	1.0000	56	1.0000	56	1.0000	0
62623253	62642316	19063	low	2	0	0	0	2	2	2	0	2	2	2	2	2	1.0000	2	1.0000	2	1.0000	0
