metric	baseline	rescued
shared_reads	252292	252292
pgphase_tagged	225517	230072
pgphase_unphased	26775	22220
added_tags	0	4555
lost_tags	0	0
changed_existing_hp_ps	0	0
rescue_phase_sets	0	233
hiphase_tagged_on_shared_reads	229797	229797
hiphase_only_baseline_reads_recovered	0	3159
hiphase_only_baseline_reads_remaining	8682	5523
added_truth_correct	0	3555
added_truth_wrong	0	1000
all_truth_correct	219246	222801
all_truth_wrong	6271	7271
hiphase_on_pgphase_vcf_shared_tags	225978	225978
hiphase_on_pgphase_vcf_target_recovered	3444	3444
hiphase_missing_exact_phased_alleles	25465	25465
hiphase_missing_exact_phased_snps	11312	11312
missing_exact_alleles_present_in_catalog	6344	6344
missing_exact_snps_present_in_catalog	1818	1818
