gap_left	gap_right	gap_bp	status	bottleneck_pos	bottleneck_is_junction	link_reads_ours	link_reads_potential	reads_spanning	reads_spanning_pass_mapq	our_sites_near	potential_sites_near	target_beg	target_end	cause	remedy	graph_clean_near	graph_repeat_indels_near	graph_low_af_near	link_clean	link_with_repeat_indels	link_with_low_af	revised_cause
78356	130540	52184	split	93352	False	0	0	63	58	11	13	68352	118352	thin_linkage	gated_admission_then_msa	6	2	2	0	0	0	no_linkage_from_any_site_class
1086625	1142089	55464	split	1118111	False	0	0	69	69	3	5	1093111	1143111	thin_linkage	gated_admission_then_msa	2	6	6	0	61	61	repeat_indels_would_bridge
1651447	1690618	39171	split	1651447	True	0	0	67	66	191	134	1626447	1676447	thin_linkage	gated_admission_then_msa	194	6	0	0	0	0	no_linkage_from_any_site_class
2225498	2264116	38618	split	2232487	False	0	0	68	67	43	47	2207487	2257487	thin_linkage	gated_admission_then_msa	42	6	2	0	13	13	repeat_indels_would_bridge
3573979	3597791	23812	split	3573979	True	0	0	66	66	5	5	3548979	3598979	thin_linkage	gated_admission_then_msa	5	2	5	0	0	61	low_af_sites_would_bridge
3956345	3981464	25119	split	3956345	True	0	0	57	57	9	21	3931345	3981345	thin_linkage	gated_admission_then_msa	8	10	6	0	7	7	repeat_indels_would_bridge
4460397	4501106	40709	split	4473351	False	0	0	55	55	30	34	4448351	4498351	thin_linkage	gated_admission_then_msa	29	7	5	0	1	22	low_af_sites_would_bridge
4517865	4570122	52257	split	4525689	False	0	0	66	66	22	27	4500689	4550689	thin_linkage	gated_admission_then_msa	19	3	2	0	0	7	low_af_sites_would_bridge
4854217	4886360	32143	split	4854217	True	0	0	63	63	77	88	4829217	4879217	thin_linkage	gated_admission_then_msa	77	13	3	0	15	15	repeat_indels_would_bridge
5174971	5239260	64289	split	5196224	False	0	0	51	51	3	4	5171224	5221224	thin_linkage	gated_admission_then_msa	3	5	3	0	20	20	repeat_indels_would_bridge
5364960	5393717	28757	split	5364960	True	0	0	71	71	3	3	5339960	5389960	thin_linkage	gated_admission_then_msa	2	0	1	0	0	0	no_linkage_from_any_site_class
6129144	6184388	55244	split	6129144	True	0	0	69	69	3	4	6104144	6154144	thin_linkage	gated_admission_then_msa	2	8	7	0	16	34	repeat_indels_would_bridge
6467655	6536071	68416	split	6485589	False	0	0	92	92	7	10	6460589	6510589	thin_linkage	gated_admission_then_msa	6	3	6	0	0	59	low_af_sites_would_bridge
6545826	6582249	36423	split	6545826	True	0	0	78	78	3	3	6520826	6570826	thin_linkage	gated_admission_then_msa	3	0	5	0	0	1	no_linkage_from_any_site_class
6621472	6647988	26516	split	6621472	True	0	0	67	67	2	2	6596472	6646472	thin_linkage	gated_admission_then_msa	2	2	0	0	17	17	repeat_indels_would_bridge
6927750	6997093	69343	split	6946369	False	0	0	65	64	8	13	6921369	6971369	thin_linkage	gated_admission_then_msa	7	13	0	0	33	33	repeat_indels_would_bridge
7028815	7064047	35232	split	7064047	True	0	0	63	63	2	3	7039047	7089047	thin_linkage	gated_admission_then_msa	2	1	6	0	0	33	low_af_sites_would_bridge
7073919	7118617	44698	split	7073919	True	0	0	59	59	2	2	7048919	7098919	thin_linkage	gated_admission_then_msa	2	2	4	0	17	35	repeat_indels_would_bridge
7163303	7206650	43347	split	7163303	True	0	0	76	73	5	11	7138303	7188303	thin_linkage	gated_admission_then_msa	4	18	12	0	0	21	low_af_sites_would_bridge
7305204	7343405	38201	split	7313534	False	0	0	63	63	7	9	7288534	7338534	thin_linkage	gated_admission_then_msa	7	4	3	0	58	60	repeat_indels_would_bridge
7786257	7861288	75031	split	7786257	True	0	0	58	58	5	7	7761257	7811257	thin_linkage	gated_admission_then_msa	5	2	1	0	0	0	no_linkage_from_any_site_class
7862614	7887136	24522	split	7862614	True	0	0	63	63	3	3	7837614	7887614	thin_linkage	gated_admission_then_msa	3	2	1	0	0	0	no_linkage_from_any_site_class
8081718	8106314	24596	split	8081718	True	0	0	60	60	45	66	8056718	8106718	thin_linkage	gated_admission_then_msa	44	27	13	0	0	2	low_af_sites_would_bridge
8727358	8769855	42497	split	8727358	True	0	0	81	81	45	75	8702358	8752358	thin_linkage	gated_admission_then_msa	46	30	3	0	79	79	repeat_indels_would_bridge
8915795	8946528	30733	split	8924051	False	0	1	68	66	69	73	8899051	8949051	thin_linkage	gated_admission_then_msa	68	7	1	0	0	1	no_linkage_from_any_site_class
10296487	10343595	47108	split	10296487	True	0	2	77	77	19	22	10271487	10321487	sites_not_called	msa_discovery_required	19	5	2	0	57	57	repeat_indels_would_bridge
11127753	11157086	29333	split	11127753	True	0	0	75	74	27	33	11102753	11152753	thin_linkage	gated_admission_then_msa	27	8	1	0	37	37	repeat_indels_would_bridge
11231667	11262361	30694	split	11233959	False	0	0	78	78	8	9	11208959	11258959	thin_linkage	gated_admission_then_msa	2	2	1	0	50	50	repeat_indels_would_bridge
11451978	11599138	147160	split	11451978	True	0	0	75	74	3	3	11426978	11476978	thin_linkage	gated_admission_then_msa	3	2	1	0	47	50	repeat_indels_would_bridge
11701272	11813668	112396	split	11701272	True	0	0	85	84	4	6	11676272	11726272	thin_linkage	gated_admission_then_msa	4	3	6	0	2	81	repeat_indels_would_bridge
12717796	12752291	34495	split	12721236	False	0	7	73	73	20	22	12696236	12746236	sites_not_called	msa_discovery_required	20	3	1	0	7	7	repeat_indels_would_bridge
12954878	13136021	181143	split	12956010	False	0	0	70	69	25	28	12931010	12981010	thin_linkage	gated_admission_then_msa	25	3	2	0	0	64	low_af_sites_would_bridge
13429829	13631825	201996	split	13429829	True	0	0	53	53	2	2	13404829	13454829	thin_linkage	gated_admission_then_msa	2	2	2	0	0	16	low_af_sites_would_bridge
13689552	13751618	62066	split	13691487	False	0	0	74	73	8	11	13666487	13716487	thin_linkage	gated_admission_then_msa	6	8	5	0	31	44	repeat_indels_would_bridge
13820991	14272741	451750	split	13846398	False	0	0	72	70	1	3	13821398	13871398	thin_linkage	gated_admission_then_msa	1	2	1	0	0	57	low_af_sites_would_bridge
14446295	14499928	53633	split	14446295	True	0	0	63	63	6	8	14421295	14471295	thin_linkage	gated_admission_then_msa	5	11	3	0	54	54	repeat_indels_would_bridge
14577646	14612632	34986	split	14584622	False	0	0	80	80	13	18	14559622	14609622	thin_linkage	gated_admission_then_msa	12	2	1	0	0	0	no_linkage_from_any_site_class
14644189	14729749	85560	split	14644189	True	0	0	78	77	2	3	14619189	14669189	thin_linkage	gated_admission_then_msa	2	1	1	0	0	3	low_af_sites_would_bridge
15015554	15115387	99833	split	15019915	False	0	4	67	67	10	11	14994915	15044915	sites_not_called	msa_discovery_required	7	8	9	0	36	56	repeat_indels_would_bridge
15308016	15413105	105089	split	15336224	False	0	0	90	89	5	5	15311224	15361224	thin_linkage	gated_admission_then_msa	1	2	3	0	5	16	repeat_indels_would_bridge
15568336	15606878	38542	split	15569536	False	0	0	68	65	39	43	15544536	15594536	thin_linkage	gated_admission_then_msa	38	7	0	0	20	20	repeat_indels_would_bridge
16673759	16715241	41482	split	16692666	False	0	0	81	81	17	20	16667666	16717666	thin_linkage	gated_admission_then_msa	15	6	4	0	0	62	low_af_sites_would_bridge
17607780	17679082	71302	split	17642045	False	0	1	75	75	2	4	17617045	17667045	thin_linkage	gated_admission_then_msa	1	4	6	0	73	73	repeat_indels_would_bridge
17839398	17883582	44184	split	17865342	False	0	5	60	60	21	30	17840342	17890342	sites_not_called	msa_discovery_required	21	14	2	0	45	45	repeat_indels_would_bridge
18414333	18442592	28259	split	18414333	True	0	0	64	62	44	51	18389333	18439333	thin_linkage	gated_admission_then_msa	42	12	2	0	5	5	repeat_indels_would_bridge
19464219	19526088	61869	split	19464219	True	0	0	65	65	18	19	19439219	19489219	thin_linkage	gated_admission_then_msa	18	5	3	0	36	37	repeat_indels_would_bridge
20493042	20523889	30847	split	20493042	True	0	10	60	60	39	47	20468042	20518042	sites_not_called	msa_discovery_required	38	8	3	0	10	36	repeat_indels_would_bridge
20555485	20617179	61694	split	20555485	True	0	0	59	59	2	4	20530485	20580485	thin_linkage	gated_admission_then_msa	2	1	4	0	0	4	low_af_sites_would_bridge
20662569	20813640	151071	split	20738089	False	0	0	73	73	2	2	20713089	20763089	thin_linkage	gated_admission_then_msa	1	2	4	0	0	8	low_af_sites_would_bridge
21105723	21759513	653790	split	21105723	True	0	0	62	62	8	13	21080723	21130723	thin_linkage	gated_admission_then_msa	6	2	1	0	0	0	no_linkage_from_any_site_class
21778576	21866681	88105	split	21779126	False	0	0	57	57	6	16	21754126	21804126	thin_linkage	gated_admission_then_msa	6	11	8	0	0	50	low_af_sites_would_bridge
21899185	21961092	61907	split	21899185	True	0	0	64	64	3	3	21874185	21924185	thin_linkage	gated_admission_then_msa	2	3	2	0	0	0	no_linkage_from_any_site_class
22451097	22481532	30435	split	22451097	True	0	0	80	79	23	33	22426097	22476097	thin_linkage	gated_admission_then_msa	24	13	4	0	0	0	no_linkage_from_any_site_class
22497901	22520628	22727	split	22497901	True	0	0	77	77	5	8	22472901	22522901	thin_linkage	gated_admission_then_msa	4	2	2	0	57	62	repeat_indels_would_bridge
22540640	22565021	24381	partial	22540792	False	0	0	72	72	5	6	22515792	22565792	thin_linkage	gated_admission_then_msa	2	9	2	0	60	60	repeat_indels_would_bridge
22582976	22668436	85460	partial	22598462	False	0	0	71	71	3	5	22573462	22623462	thin_linkage	gated_admission_then_msa	1	9	10	0	11	11	repeat_indels_would_bridge
23421003	23449834	28831	split	23421003	True	0	0	59	59	2	5	23396003	23446003	thin_linkage	gated_admission_then_msa	3	7	4	0	0	0	no_linkage_from_any_site_class
23680458	23810819	130361	split	23689412	False	0	0	57	57	8	13	23664412	23714412	thin_linkage	gated_admission_then_msa	8	6	7	0	46	46	repeat_indels_would_bridge
23888763	24012605	123842	split	23910435	False	0	0	66	66	14	14	23885435	23935435	thin_linkage	gated_admission_then_msa	14	8	2	0	42	42	repeat_indels_would_bridge
24081165	24142287	61122	split	24081165	True	0	0	62	62	5	5	24056165	24106165	thin_linkage	gated_admission_then_msa	4	1	0	0	0	0	no_linkage_from_any_site_class
25834662	25883079	48417	split	25870298	False	0	27	51	1	20	98	25845298	25895298	mapq_starved	gated_admission_then_msa	7	3	1	0	0	0	no_linkage_from_any_site_class
25944471	25986123	41652	split	25948371	False	0	0	66	0	29	40	25923371	25973371	thin_linkage	gated_admission_then_msa	15	3	11	0	0	0	no_linkage_from_any_site_class
26029591	26088679	59088	split	26065753	False	0	39	42	0	4	108	26040753	26090753	mapq_starved	gated_admission_then_msa	4	0	0	0	0	0	no_linkage_from_any_site_class
26407782	26417736	9954	split	26407906	False	1	40	41	5	182	226	26382906	26432906	sites_not_called	msa_discovery_required	38	0	45	0	0	0	no_linkage_from_any_site_class
26624953	26644453	19500	partial	26634996	False	0	19	19	0	170	249	26609996	26659996	mapq_starved	gated_admission_then_msa	31	0	5	0	0	0	no_linkage_from_any_site_class
26731281	26749891	18610	partial	26736733	False	0	12	16	2	105	406	26711733	26761733	sites_not_called	msa_discovery_required	5	0	2	0	0	0	no_linkage_from_any_site_class
26784052	26804346	20294	partial	26784682	False	3	11	14	7	159	229	26759682	26809682	linkage_present	solver_or_stitch	15	0	0	0	0	0	no_linkage_from_any_site_class
26843664	26844572	908	open	26843664	True	1	69	70	3	119	212	26818664	26868664	sites_not_called	msa_discovery_required	33	2	0	0	0	0	no_linkage_from_any_site_class
26875440	26908135	32695	partial	26877480	False	0	17	21	0	49	180	26852480	26902480	mapq_starved	gated_admission_then_msa	39	2	0	0	0	0	no_linkage_from_any_site_class
27063087	27132648	69561	partial	27098675	False	0	13	14	1	0	120	27073675	27123675	mapq_starved	gated_admission_then_msa	0	0	0	0	0	0	no_linkage_from_any_site_class
27133886	29068243	1934357	split	27593268	False	0	0	39	0	0	47	27568268	27618268	mapq_starved	gated_admission_then_msa	0	0	0	0	0	0	no_linkage_from_any_site_class
29123905	29172443	48538	partial	29162386	False	0	5	10	0	102	142	29137386	29187386	mapq_starved	gated_admission_then_msa	6	0	0	0	0	0	no_linkage_from_any_site_class
29194107	29222306	28199	partial	29197803	False	0	35	46	0	116	163	29172803	29222803	mapq_starved	gated_admission_then_msa	6	0	0	0	0	0	no_linkage_from_any_site_class
29310061	29310099	38	partial	29310061	True	5	53	56	21	115	195	29285061	29335061	linkage_present	solver_or_stitch	1	0	3	0	0	0	no_linkage_from_any_site_class
29322393	29392801	70408	partial	29355833	False	0	3	4	1	0	65	29330833	29380833	mapq_starved	gated_admission_then_msa	0	0	0	0	0	0	no_linkage_from_any_site_class
29467402	29496553	29151	partial	29480506	False	1	16	28	1	18	95	29455506	29505506	mapq_starved	gated_admission_then_msa	15	0	0	0	0	0	no_linkage_from_any_site_class
29496882	29510999	14117	partial	29498202	False	0	26	35	5	84	137	29473202	29523202	sites_not_called	msa_discovery_required	34	1	0	0	0	0	no_linkage_from_any_site_class
30670536	30787916	117380	split	30676400	False	0	0	7	2	60	105	30651400	30701400	thin_linkage	gated_admission_then_msa	26	0	2	0	0	0	no_linkage_from_any_site_class
31789190	31887527	98337	split	31848748	False	0	0	25	0	0	14	31823748	31873748	mapq_starved	gated_admission_then_msa	0	0	0	0	0	0	no_linkage_from_any_site_class
32025359	32174938	149579	partial	32060851	False	0	0	37	0	0	62	32035851	32085851	mapq_starved	gated_admission_then_msa	0	0	0	0	0	0	no_linkage_from_any_site_class
32184751	32203229	18478	partial	32190386	False	0	14	27	17	92	226	32165386	32215386	sites_not_called	msa_discovery_required	7	5	0	0	0	0	no_linkage_from_any_site_class
32312702	32315103	2401	open	32312702	True	0	12	14	6	129	74	32287702	32337702	sites_not_called	msa_discovery_required	79	15	0	0	6	6	repeat_indels_would_bridge
32337036	32397764	60728	partial	32382895	False	0	0	22	17	63	15	32357895	32407895	thin_linkage	gated_admission_then_msa	80	10	0	0	2	2	repeat_indels_would_bridge
32432281	32449137	16856	split	32433121	False	0	8	24	2	32	22	32408121	32458121	sites_not_called	msa_discovery_required	51	17	0	0	0	0	no_linkage_from_any_site_class
32449720	32516870	67150	partial	32454748	False	0	0	23	11	28	8	32429748	32479748	thin_linkage	gated_admission_then_msa	53	18	1	0	0	0	no_linkage_from_any_site_class
32521867	32907753	385886	partial	32524278	False	0	0	27	24	31	8	32499278	32549278	thin_linkage	gated_admission_then_msa	1	6	36	0	0	0	no_linkage_from_any_site_class
33295976	33360820	64844	split	33311771	False	0	0	52	51	2	9	33286771	33336771	thin_linkage	gated_admission_then_msa	2	29	22	0	48	48	repeat_indels_would_bridge
33747591	33792638	45047	partial	33749839	False	0	0	62	62	2	7	33724839	33774839	thin_linkage	gated_admission_then_msa	2	5	2	0	42	42	repeat_indels_would_bridge
33797964	33843276	45312	partial	33797964	True	0	0	55	55	2	4	33772964	33822964	thin_linkage	gated_admission_then_msa	2	8	7	0	2	29	repeat_indels_would_bridge
33865506	34018169	152663	partial	33866460	False	0	0	62	62	5	6	33841460	33891460	thin_linkage	gated_admission_then_msa	3	21	8	0	43	61	repeat_indels_would_bridge
34030463	34055920	25457	partial	34030463	True	0	6	76	76	3	5	34005463	34055463	sites_not_called	msa_discovery_required	2	17	15	0	69	70	repeat_indels_would_bridge
34079290	34134418	55128	split	34079290	True	0	0	70	69	3	4	34054290	34104290	thin_linkage	gated_admission_then_msa	3	8	13	0	19	41	repeat_indels_would_bridge
34864445	34893642	29197	split	34874273	False	0	3	68	68	7	8	34849273	34899273	sites_not_called	msa_discovery_required	5	2	1	0	1	1	no_linkage_from_any_site_class
35079659	35517815	438156	split	35101563	False	0	0	63	63	1	5	35076563	35126563	thin_linkage	gated_admission_then_msa	1	13	11	0	7	57	repeat_indels_would_bridge
35919404	36156319	236915	split	35959364	False	0	0	61	61	4	5	35934364	35984364	thin_linkage	gated_admission_then_msa	0	6	5	0	11	16	repeat_indels_would_bridge
36268558	36317511	48953	split	36317511	True	0	3	55	54	3	4	36292511	36342511	sites_not_called	msa_discovery_required	2	8	3	0	30	43	repeat_indels_would_bridge
36332599	36381019	48420	split	36332599	True	0	0	68	68	2	9	36307599	36357599	thin_linkage	gated_admission_then_msa	2	11	4	0	48	48	repeat_indels_would_bridge
37393302	37426498	33196	split	37393302	True	0	0	67	67	2	3	37368302	37418302	thin_linkage	gated_admission_then_msa	2	13	11	0	6	29	repeat_indels_would_bridge
37442035	37497514	55479	split	37442035	True	0	0	82	81	4	8	37417035	37467035	thin_linkage	gated_admission_then_msa	3	8	15	0	32	68	repeat_indels_would_bridge
37513407	37567375	53968	split	37526550	False	0	0	77	77	3	6	37501550	37551550	thin_linkage	gated_admission_then_msa	2	17	10	0	62	70	repeat_indels_would_bridge
37610223	37667751	57528	split	37642892	False	0	0	55	55	3	3	37617892	37667892	thin_linkage	gated_admission_then_msa	2	12	9	0	36	45	repeat_indels_would_bridge
