# Current noncentromeric chr20 gaps that pgphase leaves open and frozen HiPhase spans.
# Purity is orientation-independent among truth-scored reads physically crossing both flanks.
# Selection: local_phase_purity >= 0.98; low-support rows remain test targets but are labeled.
gap_left	gap_right	gap_bp	competitor_scored	competitor_purity	support_class
865572	882277	16705	1	1.0000	low
882277	890261	7984	28	1.0000	high
4778792	4785719	6927	35	1.0000	high
11495992	11497008	1016	73	1.0000	high
11796979	11813446	16467	5	1.0000	low
14264549	14272741	8192	35	1.0000	high
14679241	14679247	6	76	0.9868	high
14719378	14729749	10371	26	1.0000	high
15023123	15039543	16420	7	1.0000	low
15056025	15071132	15107	13	1.0000	low
18194808	18218259	23451	1	1.0000	low
21669098	21688374	19276	3	1.0000	low
21823066	21844359	21293	2	1.0000	low
25985709	25986123	414	17	1.0000	low
30813841	30814005	164	43	1.0000	high
31886648	31901501	14853	2	1.0000	low
32035459	32050364	14905	1	1.0000	low
32234664	32246127	11463	4	1.0000	low
32910395	32910411	16	31	1.0000	high
33792638	33797964	5326	34	1.0000	high
35281130	35305645	24515	1	1.0000	low
35328965	35347817	18852	6	1.0000	low
38283561	38303247	19686	1	1.0000	low
45230668	45252114	21446	1	1.0000	low
46727050	46747598	20548	2	1.0000	low
46895038	46896191	1153	66	1.0000	high
55381221	55381472	251	57	1.0000	high
55381472	55382729	1257	53	1.0000	high
56064697	56083708	19011	4	1.0000	low
57854341	57866713	12372	11	1.0000	low
58834248	58836037	1789	49	1.0000	high
60971452	60980031	8579	34	1.0000	high
61373859	61375344	1485	56	1.0000	high
62623253	62642316	19063	2	1.0000	low
