region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_1912570_1913054	CHM13#0#chr20	1901899	1902079	1	1862570	1952079	0	0	0	1	1	0	partial
chr20_1912570_1913054	CHM13#0#chr20	1901899	1902079	2	1862570	1952079	114	110	0	1	1	7	joined
chr20_24357615_24379633	CHM13#0#chr20	24357615	24379633	1	24307615	24429633	0	0	0	1	1	0	partial
chr20_24357615_24379633	CHM13#0#chr20	24357615	24379633	2	24307615	24429633	0	0	0	1	1	0	partial
chr20_24357615_24379633	CHM13#0#chr20	24357615	24379633	3	24307615	24429633	1	0	1	1	1	0	joined
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	1	60013142	60108235	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	2	60013142	60108235	2	1	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	3	60013142	60108235	31	1	26	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	4	60013142	60108235	0	1	26	1	1	0	rejected
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	1	60040439	60164911	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	2	60040439	60164911	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	3	60040439	60164911	16	0	13	1	1	0	joined
chr20_26602087_26651086	CHM13#0#chr20	26625353	26647105	1	26575353	26697105	0	0	0	1	1	1	partial
chr20_26602087_26651086	CHM13#0#chr20	26625353	26647105	2	26575353	26697105	235	223	0	1	1	1	partial
chr20_26602087_26651086	CHM13#0#chr20	26625353	26647105	3	26575353	26697105	75	223	75	1	1	0	partial
