chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr18	16635477	8	17045	0	4	0	4	4	4	0.5000	1	0	HP1=MAT,HP2=PAT
chr18	17421615	10	764648	0	5	0	5	5	5	0.5000	2	0	HP1=MAT,HP2=PAT
chr18	17126941	35	480431	0	17	0	18	18	17	0.5143	1	0	HP1=MAT,HP2=PAT
chr18	20814763	69	1839872	12	13	23	21	36	33	0.5217	2	3	HP1=PAT,HP2=MAT
chr18	17052135	53	1500278	0	28	0	25	28	25	0.5283	7	1	HP1=PAT,HP2=MAT
chr18	17010251	37	1105598	0	20	0	17	20	17	0.5405	1	0	HP1=PAT,HP2=MAT
chr18	17176639	11	1035016	0	5	0	6	6	5	0.5455	2	0	HP1=MAT,HP2=PAT
chr18	17478633	11	772110	0	5	0	6	6	5	0.5455	3	0	HP1=MAT,HP2=PAT
chr18	17770627	11	1078988	0	5	0	6	6	5	0.5455	1	0	HP1=MAT,HP2=PAT
chr18	20372675	49	1715467	12	13	14	10	27	22	0.5510	6	6	HP1=PAT,HP2=MAT
chr18	19919635	9	10730	0	5	0	4	5	4	0.5556	1	1	HP1=PAT,HP2=MAT
chr18	19543243	144	2272633	41	35	46	22	81	63	0.5625	13	1	HP1=PAT,HP2=MAT
chr18	48191444	3041	2583495	859	649	676	857	1716	1325	0.5643	3	1	HP1=MAT,HP2=PAT
chr18	19726228	7	1511164	1	3	0	3	4	3	0.5714	1	1	HP1=MAT,HP2=PAT
chr18	16152315	5	18304	0	2	0	3	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr18	16928998	5	30606	0	2	0	3	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr18	17733004	5	1273398	0	3	0	2	3	2	0.6000	2	0	HP1=PAT,HP2=MAT
chr18	26385292	3807	2573723	1107	766	739	1195	2302	1505	0.6047	3	1	HP1=MAT,HP2=PAT
chr18	16199699	45	154729	6	15	13	11	28	17	0.6222	5	1	HP1=PAT,HP2=MAT
chr18	17649942	16	1377921	0	6	0	10	10	6	0.6250	1	0	HP1=MAT,HP2=PAT
chr18	20027315	40	1659936	4	19	6	11	25	15	0.6250	2	3	HP1=PAT,HP2=MAT
chr18	16049619	19	16706	0	7	0	12	12	7	0.6316	1	5	HP1=MAT,HP2=PAT
chr18	17213081	14	483349	0	9	0	5	9	5	0.6429	3	0	HP1=PAT,HP2=MAT
chr18	15466776	242	150616	77	45	41	79	156	86	0.6446	1	5	HP1=MAT,HP2=PAT
chr18	20093007	79	1687985	36	14	14	15	51	28	0.6456	7	4	HP1=MAT,HP2=PAT
chr18	17348844	21	814774	0	7	0	14	14	7	0.6667	1	1	HP1=MAT,HP2=PAT
chr18	19905848	9	30475	0	6	0	3	6	3	0.6667	1	0	HP1=PAT,HP2=MAT
chr18	20295387	25	1693374	3	15	2	5	17	8	0.6800	3	0	HP1=PAT,HP2=MAT
chr18	20328658	30	1680621	18	9	0	3	21	9	0.7000	2	0	HP1=MAT,HP2=PAT
chr18	15714701	184	356408	33	62	73	16	135	49	0.7337	19	12	HP1=PAT,HP2=MAT
chr18	19415126	19	2053734	2	7	7	3	14	5	0.7368	3	1	HP1=PAT,HP2=MAT
chr18	16347161	31	711022	3	11	12	5	23	8	0.7419	2	0	HP1=PAT,HP2=MAT
chr18	0	24	1641654	6	18	0	0	18	6	0.7500	1	0	HP1=PAT,HP2=MAT
chr18	16503817	21	231144	0	16	0	5	16	5	0.7619	1	1	HP1=PAT,HP2=MAT
chr18	19683001	22	1587810	3	15	2	2	17	5	0.7727	2	0	HP1=PAT,HP2=MAT
chr18	17255097	36	1491293	0	28	0	8	28	8	0.7778	2	0	HP1=PAT,HP2=MAT
chr18	16467785	14	613638	3	8	3	0	11	3	0.7857	1	1	HP1=PAT,HP2=MAT
chr18	20923494	98	1828426	51	10	10	27	78	20	0.7959	8	2	HP1=MAT,HP2=PAT
chr18	17442960	22	773859	0	18	0	4	18	4	0.8182	1	0	HP1=PAT,HP2=MAT
chr18	19752176	75	1659504	5	40	23	7	63	12	0.8400	4	3	HP1=PAT,HP2=MAT
chr18	19872356	25	1703404	8	3	0	14	22	3	0.8800	3	0	HP1=MAT,HP2=PAT
chr18	19972910	10	1592403	6	1	0	3	9	1	0.9000	1	0	HP1=MAT,HP2=PAT
chr18	16327076	12	98193	6	0	1	5	11	1	0.9167	0	1	HP1=MAT,HP2=PAT
chr18	62155708	33	1644382	1	25	6	1	31	2	0.9394	0	2	HP1=PAT,HP2=MAT
chr18	48015399	50	1656905	24	2	1	23	47	3	0.9400	0	3	HP1=MAT,HP2=PAT
chr18	7492204	1820	486627	54	851	868	47	1719	101	0.9445	1	1	HP1=PAT,HP2=MAT
chr18	50443752	38	1665395	18	0	2	18	36	2	0.9474	2	0	HP1=MAT,HP2=PAT
chr18	15623275	113	102653	53	0	5	55	108	5	0.9558	1	0	HP1=MAT,HP2=PAT
chr18	32795267	35	1684500	18	1	0	16	34	1	0.9714	0	1	HP1=MAT,HP2=PAT
chr18	14988840	39	25799	17	1	0	21	38	1	0.9744	0	1	HP1=MAT,HP2=PAT
