region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_863640_890261	CHM13#0#chr20	864134	890260	1	814134	940260	0	0	0	1	1	0	partial
chr20_863640_890261	CHM13#0#chr20	864134	890260	2	814134	940260	12	4	0	1	1	2	partial
chr20_863640_890261	CHM13#0#chr20	864134	890260	3	814134	940260	34	4	17	1	1	0	partial
chr20_37984529_38008026	CHM13#0#chr20	37982955	38008026	1	37934529	38058026	0	0	0	1	1	0	partial
chr20_37984529_38008026	CHM13#0#chr20	37982955	38008026	2	37934529	38058026	2	2	0	1	1	16	partial
chr20_37984529_38008026	CHM13#0#chr20	37982955	38008026	3	37934529	38058026	10	2	6	1	1	18	joined
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	1	62360496	62482427	0	0	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	2	62360496	62482427	1	1	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	3	62360496	62482427	1	1	2	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	4	62360496	62482427	0	1	2	1	1	0	joined
