region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	1	18933414	19049993	0	0	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	2	18933414	19049993	4	3	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	3	18933414	19049993	9	3	6	1	1	0	joined
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	1	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	2	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	3	46334021	46455048	14	0	13	1	1	0	joined
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	1	55949561	56090612	0	0	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	2	55949561	56090612	2	2	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	3	55949561	56090612	19	2	15	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	4	55949561	56090612	0	2	15	1	1	0	rejected
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	1	57037239	57169478	0	0	0	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	2	57037239	57169478	1	1	0	1	1	23	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	3	57037239	57169478	12	4	7	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	4	57037239	57169478	0	4	7	1	1	0	joined
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	1	62360496	62482427	0	0	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	2	62360496	62482427	1	1	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	3	62360496	62482427	1	1	2	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	4	62360496	62482427	0	1	2	1	1	0	joined
chr20_54547514_54590762	CHM13#0#chr20	54547514	54569072	1	54497514	54619072	0	0	0	1	1	0	partial
chr20_54547514_54590762	CHM13#0#chr20	54547514	54569072	2	54497514	54619072	2	2	0	1	1	9	partial
chr20_54547514_54590762	CHM13#0#chr20	54547514	54569072	3	54497514	54619072	14	2	13	1	1	0	partial
chr20_54547514_54590762	CHM13#0#chr20	54547514	54569072	4	54497514	54619072	0	2	13	1	1	0	rejected
