gap_left	gap_right	gap_bp	status	reads_added	depth_all	depth_pass_mapq	depth_lost_pct	our_candidates	our_cand_per_kb	competitor_phased_hets
78356	130540	52184	split	114	58.2	56.5	2.9	29	0.56	3
1086625	1142089	55464	split	137	69.1	68.7	0.6	52	0.94	6
1651447	1690618	39171	split	124	63.1	62.3	1.2	8	0.2	2
2225498	2264116	38618	split	88	71.6	71.0	0.8	38	0.98	3
3573979	3597791	23812	split	0	70.2	69.7	0.7	5	0.21	2
3956345	3981464	25119	split	140	66.5	66.4	0.2	62	2.47	2
4460397	4501106	40709	split	48	72.6	72.3	0.5	9	0.22	3
4517865	4570122	52257	split	30	75.8	75.4	0.6	28	0.54	6
4854217	4886360	32143	split	24	52.0	51.8	0.4	52	1.62	5
5174971	5239260	64289	split	116	65.4	64.8	0.9	22	0.34	4
5364960	5393717	28757	split	227	74.0	73.7	0.4	55	1.91	3
6129144	6184388	55244	split	86	63.1	62.8	0.5	81	1.47	4
6467655	6536071	68416	split	88	86.5	86.4	0.1	36	0.53	5
6545826	6582249	36423	split	190	76.8	76.5	0.3	71	1.95	3
6621472	6647988	26516	split	48	65.2	65.0	0.3	60	2.26	4
6927750	6997093	69343	split	86	66.7	66.1	0.8	50	0.72	5
7028815	7064047	35232	split	84	80.5	80.4	0.2	3	0.09	3
7073919	7118617	44698	split	71	73.2	72.7	0.7	46	1.03	2
7163303	7206650	43347	split	235	80.3	79.6	0.8	16	0.37	4
7305204	7343405	38201	split	112	60.8	60.1	1.1	13	0.34	4
7786257	7861288	75031	split	245	67.5	67.0	0.7	112	1.49	4
7862614	7887136	24522	split	57	69.9	69.5	0.5	68	2.77	2
8081718	8106314	24596	split	221	73.1	72.7	0.5	16	0.65	2
8727358	8769855	42497	split	3	70.5	70.0	0.7	114	2.68	2
8915795	8946528	30733	split	20	68.2	67.6	0.7	54	1.76	2
10296487	10343595	47108	split	412	70.5	70.0	0.7	50	1.06	4
11127753	11157086	29333	split	14	78.6	78.1	0.7	13	0.44	3
11231667	11262361	30694	split	45	77.3	76.6	1.0	52	1.69	4
11451978	11599138	147160	split	40	73.3	72.9	0.6	268	1.82	14
11701272	11813668	112396	split	251	71.4	70.7	1.0	67	0.6	5
12717796	12752291	34495	split	1	70.0	69.1	1.2	62	1.8	4
12954878	13136021	181143	split	10	68.1	67.8	0.4	313	1.73	3
13429829	13631825	201996	split	184	75.8	75.4	0.6	49	0.24	10
13689552	13751618	62066	split	301	62.9	62.8	0.3	21	0.34	4
13820991	14272741	451750	split	25	67.0	66.6	0.7	183	0.41	34
14446295	14499928	53633	split	89	60.2	59.4	1.2	62	1.16	6
14577646	14612632	34986	split	32	74.3	74.2	0.2	72	2.06	3
14644189	14729749	85560	split	273	71.1	70.6	0.7	72	0.84	6
15015554	15115387	99833	split	113	67.4	67.1	0.4	41	0.41	15
15308016	15413105	105089	split	158	76.3	75.8	0.7	44	0.42	13
15568336	15606878	38542	split	123	67.7	66.8	1.4	49	1.27	4
16673759	16715241	41482	split	118	72.1	71.9	0.2	7	0.17	3
17607780	17679082	71302	split	41	65.4	65.3	0.1	25	0.35	7
17839398	17883582	44184	split	170	69.3	68.7	0.9	82	1.86	6
18414333	18442592	28259	split	38	70.5	69.6	1.3	49	1.73	2
19464219	19526088	61869	split	281	66.7	66.3	0.6	12	0.19	3
20493042	20523889	30847	split	240	66.5	65.8	1.1	9	0.29	7
20555485	20617179	61694	split	4	73.3	72.7	0.7	11	0.18	2
20662569	20813640	151071	split	183	66.2	65.7	0.8	22	0.15	8
21105723	21759513	653790	split	190	68.8	68.3	0.7	111	0.17	47
21778576	21866681	88105	split	85	70.6	69.9	1.0	59	0.67	6
21899185	21961092	61907	split	235	74.5	74.0	0.6	154	2.49	3
22451097	22481532	30435	split	176	69.9	69.7	0.3	50	1.64	2
22497901	22520628	22727	split	100	68.0	67.8	0.3	47	2.07	2
22540640	22565021	24381	partial	0	74.7	74.4	0.5	24	0.98	1
22582976	22668436	85460	partial	160	60.9	60.6	0.5	30	0.35	8
23421003	23449834	28831	split	95	60.0	59.5	0.8	26	0.9	3
23680458	23810819	130361	split	123	62.6	61.9	1.2	212	1.63	16
23888763	24012605	123842	split	121	61.4	60.8	1.0	124	1.0	7
24081165	24142287	61122	split	256	67.5	67.0	0.7	66	1.08	4
25834662	25883079	48417	split	148	68.2	3.7	94.5	17	0.35	103
25944471	25986123	41652	split	0	47.9	0.6	98.8	4	0.1	21
26029591	26088679	59088	split	5	61.4	0.4	99.3	2	0.03	101
26407782	26417736	9954	split	2	50.5	2.4	95.3	4	0.4	47
26624953	26644453	19500	partial	0	39.2	2.3	94.0	15	0.77	126
26731281	26749891	18610	partial	1	12.7	3.4	73.3	30	1.61	83
26784052	26804346	20294	partial	1	35.5	6.2	82.5	174	8.57	85
26843664	26844572	908	open	0	69.4	3.0	95.7	2	2.2	3
26875440	26908135	32695	partial	0	34.5	1.2	96.5	7	0.21	95
27063087	27132648	69561	partial	0	29.7	1.0	96.6	5	0.07	126
27133886	29068243	1934357	split	0	79.3	2.0	97.5	1591	0.82	2602
29123905	29172443	48538	partial	0	28.5	1.1	96.2	5	0.1	82
29194107	29222306	28199	partial	1	42.4	2.1	95.0	55	1.95	47
29310061	29310099	38	partial	4	38.1	7.2	81.2	2	52.63	0
29322393	29392801	70408	partial	2	24.3	0.8	96.5	28	0.4	104
29467402	29496553	29151	partial	1	27.5	1.5	94.5	5	0.17	22
29496882	29510999	14117	partial	0	60.1	4.6	92.4	22	1.56	41
30670536	30787916	117380	split	41	2.8	0.5	82.0	194	1.65	85
31789190	31887527	98337	split	1	26.1	0.3	98.7	3	0.03	34
32025359	32174938	149579	partial	0	16.9	0.6	96.2	5	0.03	197
32184751	32203229	18478	partial	20	28.3	17.7	37.6	24	1.3	3
32312702	32315103	2401	open	0	10.9	5.0	54.4	240	99.96	4
32337036	32397764	60728	partial	0	21.7	6.1	71.9	70	1.15	41
32432281	32449137	16856	split	1	23.7	5.3	77.9	26	1.54	2
32449720	32516870	67150	partial	0	23.7	12.5	47.1	227	3.38	79
32521867	32907753	385886	partial	18	27.3	4.9	82.1	140	0.36	224
33295976	33360820	64844	split	65	56.0	55.6	0.8	38	0.59	9
33747591	33792638	45047	partial	143	70.8	70.6	0.3	55	1.22	3
33797964	33843276	45312	partial	0	59.4	59.1	0.5	13	0.29	4
33865506	34018169	152663	partial	0	64.7	64.2	0.7	45	0.29	13
34030463	34055920	25457	partial	127	78.1	77.7	0.5	9	0.35	3
34079290	34134418	55128	split	46	72.3	71.6	1.0	30	0.54	4
34864445	34893642	29197	split	26	68.8	68.4	0.7	70	2.4	2
35079659	35517815	438156	split	271	59.0	58.7	0.6	28	0.06	40
35919404	36156319	236915	split	79	62.4	61.6	1.2	432	1.82	27
36268558	36317511	48953	split	105	55.9	55.6	0.5	58	1.18	4
36332599	36381019	48420	split	94	69.8	69.2	0.8	66	1.36	8
37393302	37426498	33196	split	337	68.3	68.3	0.1	23	0.69	3
37442035	37497514	55479	split	92	68.7	68.3	0.6	19	0.34	6
37513407	37567375	53968	split	83	72.4	72.1	0.4	18	0.33	8
37610223	37667751	57528	split	86	53.7	53.3	0.7	11	0.19	4
38053801	38153151	99350	split	6	64.4	64.0	0.7	93	0.94	5
