chrom	left	right	baseline_cache_reused	baseline_seconds	baseline_status	baseline_selected_reads	graph_bam_cache_reused	graph_bam_seconds	graph_bam_status	graph_bam_selected_reads
chr20	863640	890261	True	0.932	joined	0	True	0.924	joined	0
chr20	1086625	1110921	True	0.836	split	0	True	0.937	split	180
chr20	12721112	12752291	True	1.095	split	0	True	1.225	split	211
chr20	17607780	17667022	True	0.915	split	0	True	1.019	split	294
chr20	19358995	19395544	True	0.788	joined	0	True	0.765	joined	0
chr20	23460963	23480815	True	0.687	joined	0	True	0.693	joined	0
chr20	23460963	23481134	True	0.674	joined	0	True	0.69	joined	0
chr20	37984529	38008026	True	0.729	joined	0	True	0.747	joined	0
chr20	47671540	47713869	True	0.721	split	0	True	0.778	split	147
chr20	53926537	53962801	True	0.804	joined	0	True	0.799	joined	0
chr20	55999561	56040612	True	0.993	split	0	True	1.082	split	235
