region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_1912570_1913054	1862825	1862825	163	2	2	0	False
chr20_1912570_1913054	1902079	1862825	189	1	1	0	False
chr20_3956345_3981464	3907852	3907852	171	0	0	0	False
chr20_3956345_3981464	3981464	3907852	119	0	0	0	False
chr20_4854217_4878943	4820631	4820631	160	0	0	0	False
chr20_4854217_4878943	4886360	4820631	179	0	0	0	False
chr20_7028815_7064047	6997093	6997093	221	0	0	0	False
chr20_7028815_7064047	7064047	6997093	25	0	0	0	False
chr20_12256072_12277078	12207456	12207456	119	0	0	0	False
chr20_12256072_12277078	12243047	12207456	69	0	0	0	False
chr20_12256072_12277078	12277078	12207456	245	0	0	0	False
chr20_20493042_20540928	20443112	20443112	253	0	0	0	False
chr20_20493042_20540928	20540928	20443112	8	0	0	1	False
chr20_21117402_21148338	21067527	21067527	158	0	0	0	False
chr20_21117402_21148338	21148338	21067527	69	0	0	0	False
chr20_23403554_23445252	23360562	23360562	144	0	0	0	False
chr20_23403554_23445252	23449834	23360562	32	0	32	1	True
chr20_23403554_23445252	23481134	23481134	60	0	0	0	False
chr20_38211030_38236063	38173189	38173189	114	1	1	0	False
chr20_38211030_38236063	38236063	38173189	44	0	0	1	False
chr20_55843827_55889113	55824242	55824242	105	0	0	0	False
chr20_55843827_55889113	55883023	55824242	253	0	0	1	False
chr20_57087239_57119478	57039576	57039576	175	0	0	0	False
chr20_57087239_57119478	57123860	57123860	191	0	0	0	False
chr20_57764235_57785772	57715037	57715037	213	0	0	0	False
chr20_57764235_57785772	57785772	57715037	70	1	1	0	False
chr20_60063142_60114911	60058235	60058235	39	0	0	0	False
chr20_60063142_60114911	60114911	60058235	167	0	0	1	False
chr20_62410496_62432427	62385548	62385548	157	0	0	0	False
chr20_62410496_62432427	62432427	62385548	229	0	0	0	False
