tool	chromosomes	assessed_pairs	switches	flips	switchflips	hamming	phased_variants	blocks	phased_reads	evaluated_reads	discordant_reads	read_switchflips	variant_hamming_rate	read_hamming_rate	median_chromosome_ngc50_bp	median_read_block_n50_bp	total_phasing_elapsed_seconds	max_rss_kb
graph	3	251641	77	25	52	86	270679	1146	811382	811288	893	391	0.000341756708962371	0.0011007188569287355	251461	937061	64.01	23708600
bam	3	253738	173	42	131	1308	276745	1356	998736	998703	18873	9201	0.005154923582593068	0.018897510070561518	277617	1095879	222.2	23702872
hybrid	3	251679	87	27	60	731	270301	851	814172	814170	3756	356	0.0029044934221766614	0.004613287151332032	295094	1000292	161.5	31821312
graph_lock	3	251886	79	26	53	87	270939	1142	822021	821927	1007	435	0.00034539434506086086	0.0012251696318529505	252420	943810	NA	NA
whatshap	3	261464	1387	534	853	11060	303670	853	1028246	1028176	55645	8569	0.042300278432212464	0.05412011173184358	358783	1114771	1300.0	1451068
whatshap_opt	3	259356	604	193	411	7637	295668	873	1026344	1026274	37909	6714	0.029446012430790112	0.036938478418044304	501556	1054668	1456.19	1790732
hiphase	3	260676	509	144	365	9160	298343	746	1064369	1064328	46586	10141	0.035139406773159014	0.04377034147368104	643698	1294888	423.36	871324
longphase	3	225783	394	112	282	1818	245165	1006	1027359	1027356	24030	10711	0.008051979112687846	0.023390139347996216	454238	1419821	67.33	2669296
