region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_528852_545002	CHM13#0#chr20	514902	545002	1	478852	595002	0	0	0	1	1	0	partial
chr20_528852_545002	CHM13#0#chr20	514902	545002	2	478852	595002	10	7	0	1	1	13	joined
chr20_863640_890261	CHM13#0#chr20	863406	890260	1	813640	940260	0	0	0	1	1	0	partial
chr20_863640_890261	CHM13#0#chr20	863406	890260	2	813640	940260	12	4	0	1	1	1	partial
chr20_863640_890261	CHM13#0#chr20	863406	890260	3	813640	940260	37	4	20	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	1	1036625	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	2	1036625	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	3	1036625	1160921	2	0	3	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	1	1065860	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	2	1065860	1160921	1	1	0	1	1	3	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	3	1065860	1160921	5	1	4	1	1	0	partial
chr20_1499101_1523721	CHM13#0#chr20	1499101	1523721	1	1449101	1573721	0	0	0	1	1	0	partial
chr20_1499101_1523721	CHM13#0#chr20	1499101	1523721	2	1449101	1573721	2	0	0	1	1	0	partial
chr20_1499101_1523721	CHM13#0#chr20	1499101	1523721	3	1449101	1573721	3	0	1	1	1	0	joined
chr20_1912570_1913054	CHM13#0#chr20	1897814	1902079	1	1862570	1952079	0	0	0	1	1	0	partial
chr20_1912570_1913054	CHM13#0#chr20	1897814	1902079	2	1862570	1952079	120	117	0	1	1	0	joined
chr20_3529324_3550839	CHM13#0#chr20	3529324	3550839	1	3479324	3600839	0	0	0	1	1	0	partial
chr20_3529324_3550839	CHM13#0#chr20	3529324	3550839	2	3479324	3600839	1	1	0	1	1	38	joined
chr20_3529324_3550839	CHM13#0#chr20	3573979	3597791	1	3523979	3600839	0	0	0	1	1	0	partial
chr20_3529324_3550839	CHM13#0#chr20	3573979	3597791	2	3523979	3600839	2	2	0	1	1	13	partial
chr20_3529324_3550839	CHM13#0#chr20	3573979	3597791	3	3523979	3600839	3	2	2	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	1	3906345	4031464	0	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	2	3906345	4031464	1	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	3	3906345	4031464	20	0	16	1	1	0	partial
chr20_4618685_4642430	CHM13#0#chr20	4618685	4642430	1	4568685	4692430	0	0	0	1	1	0	partial
chr20_4618685_4642430	CHM13#0#chr20	4618685	4642430	2	4568685	4692430	1	1	0	1	1	0	partial
chr20_4618685_4642430	CHM13#0#chr20	4618685	4642430	3	4568685	4692430	8	1	7	1	1	0	joined
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	1	4804217	4928943	0	0	0	1	1	0	partial
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	2	4804217	4928943	2	2	0	1	1	8	partial
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	3	4804217	4928943	7	2	8	1	1	4	joined
chr20_5242390_5272413	CHM13#0#chr20	5242390	5272413	1	5192390	5322413	0	0	0	1	1	0	partial
chr20_5242390_5272413	CHM13#0#chr20	5242390	5272413	2	5192390	5322413	1	1	0	1	1	0	partial
