chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr12	111305649	24	59061	8	5	7	4	12	12	0.5000	4	3	HP1=MAT,HP2=PAT
chr12	47569860	186	91464	40	42	52	52	94	92	0.5054	1	0	HP1=PAT,HP2=MAT
chr12	71300672	122	95506	28	24	36	34	62	60	0.5082	5	5	HP1=MAT,HP2=PAT
chr12	55857714	60	33614	21	19	10	10	31	29	0.5167	12	8	HP1=MAT,HP2=PAT
chr12	57657016	112	88162	28	27	22	35	63	49	0.5625	1	0	HP1=MAT,HP2=PAT
chr12	48710950	5	23626	1	4	0	0	4	1	0.8000	1	0	HP1=PAT,HP2=MAT
chr12	133268657	145	57753	3	73	64	5	137	8	0.9448	2	4	HP1=PAT,HP2=MAT
chr12	14606609	2047	667563	1010	28	28	981	1991	56	0.9726	1	1	HP1=MAT,HP2=PAT
chr12	65870079	41	60916	19	1	0	21	40	1	0.9756	0	1	HP1=MAT,HP2=PAT
chr12	87029583	91	73741	36	2	0	53	89	2	0.9780	1	1	HP1=MAT,HP2=PAT
chr12	2252796	140	50154	78	2	1	59	137	3	0.9786	0	3	HP1=MAT,HP2=PAT
chr12	74850004	48	55338	21	1	0	26	47	1	0.9792	0	1	HP1=MAT,HP2=PAT
chr12	82690158	146	68973	1	75	68	2	143	3	0.9795	0	3	HP1=PAT,HP2=MAT
chr12	56293152	105	59368	0	52	51	2	103	2	0.9810	0	2	HP1=PAT,HP2=MAT
chr12	122253454	61	113468	23	0	1	37	60	1	0.9836	0	1	HP1=MAT,HP2=PAT
chr12	51716748	64	32185	1	31	32	0	63	1	0.9844	0	1	HP1=PAT,HP2=MAT
chr12	55958858	64	35596	31	0	1	32	63	1	0.9844	0	1	HP1=MAT,HP2=PAT
chr12	44471515	145	39579	77	0	2	66	143	2	0.9862	0	2	HP1=MAT,HP2=PAT
chr12	81376794	79	55619	1	45	33	0	78	1	0.9873	0	1	HP1=PAT,HP2=MAT
chr12	20305124	91	46093	37	0	1	53	90	1	0.9890	0	1	HP1=MAT,HP2=PAT
chr12	64950409	100	63558	1	51	48	0	99	1	0.9900	0	1	HP1=PAT,HP2=MAT
chr12	60655410	104	94949	1	63	40	0	103	1	0.9904	0	1	HP1=PAT,HP2=MAT
chr12	86396039	104	71570	49	0	1	54	103	1	0.9904	0	1	HP1=MAT,HP2=PAT
chr12	123744174	116	94366	53	0	1	62	115	1	0.9914	1	0	HP1=MAT,HP2=PAT
chr12	132101544	118	49329	52	0	1	65	117	1	0.9915	0	1	HP1=MAT,HP2=PAT
chr12	48626063	122	59188	0	75	46	1	121	1	0.9918	0	1	HP1=PAT,HP2=MAT
chr12	23858836	761	208426	373	3	3	382	755	6	0.9921	0	6	HP1=MAT,HP2=PAT
chr12	86745735	134	75014	62	1	0	71	133	1	0.9925	0	1	HP1=MAT,HP2=PAT
chr12	29417815	173	112516	89	1	0	83	172	1	0.9942	0	1	HP1=MAT,HP2=PAT
chr12	40342650	200	75702	89	1	0	110	199	1	0.9950	0	1	HP1=MAT,HP2=PAT
chr12	49879985	208	73693	1	113	94	0	207	1	0.9952	0	1	HP1=PAT,HP2=MAT
chr12	129521465	534	200652	260	1	1	272	532	2	0.9963	0	2	HP1=MAT,HP2=PAT
chr12	15803821	549	169691	1	285	262	1	547	2	0.9964	0	2	HP1=PAT,HP2=MAT
chr12	97370965	729	241189	1	382	345	1	727	2	0.9973	0	2	HP1=PAT,HP2=MAT
chr12	8286837	388	122249	1	186	201	0	387	1	0.9974	0	1	HP1=PAT,HP2=MAT
chr12	3115178	2471	693353	1216	2	4	1249	2465	6	0.9976	2	4	HP1=MAT,HP2=PAT
chr12	39098290	836	321611	1	389	445	1	834	2	0.9976	0	2	HP1=PAT,HP2=MAT
chr12	93624375	425	154551	1	221	203	0	424	1	0.9976	0	1	HP1=PAT,HP2=MAT
chr12	51758759	435	169635	0	237	197	1	434	1	0.9977	0	1	HP1=PAT,HP2=MAT
chr12	93329013	437	175512	224	0	1	212	436	1	0.9977	0	1	HP1=MAT,HP2=PAT
chr12	122667395	492	241493	252	1	0	239	491	1	0.9980	0	1	HP1=MAT,HP2=PAT
chr12	79474523	497	214486	0	245	251	1	496	1	0.9980	0	1	HP1=PAT,HP2=MAT
chr12	48779495	578	192661	0	296	281	1	577	1	0.9983	0	1	HP1=PAT,HP2=MAT
chr12	112802342	1969	613764	986	2	1	980	1966	3	0.9985	0	3	HP1=MAT,HP2=PAT
chr12	113612975	689	232523	0	354	334	1	688	1	0.9985	0	1	HP1=PAT,HP2=MAT
chr12	55406042	800	250806	405	1	0	394	799	1	0.9988	0	1	HP1=MAT,HP2=PAT
chr12	16935942	968	240053	0	512	455	1	967	1	0.9990	0	1	HP1=PAT,HP2=MAT
chr12	87262488	2915	886831	0	1445	1467	3	2912	3	0.9990	0	3	HP1=PAT,HP2=MAT
chr12	40763301	2131	488930	2	1011	1118	0	2129	2	0.9991	0	2	HP1=PAT,HP2=MAT
chr12	15295677	1183	324515	1	612	570	0	1182	1	0.9992	0	1	HP1=PAT,HP2=MAT
