gap_left	gap_right	gap_bp	hiphase_spans	hiphase_interior_sites	longphase_spans	longphase_interior_sites	whatshap_opt_spans	whatshap_opt_interior_sites	n_tools_spanning
78356	130540	52184	0	0	0	0	0	0	0
163697	195305	31608	1	7	1	5	1	6	3
514902	545002	30100	1	7	1	6	1	7	3
865232	865235	3	1	0	0	0	1	0	2
866355	890261	23906	1	4	0	0	1	4	2
1086625	1142089	55464	0	0	0	0	0	0	0
1152444	1196967	44523	1	10	1	6	1	10	3
1499101	1523721	24620	1	3	0	0	1	3	2
1651447	1690618	39171	0	0	0	0	0	0	0
1905268	1905278	10	1	0	1	0	1	0	3
1905440	1905474	34	1	0	1	0	1	0	3
1905558	1905563	5	1	1	1	1	1	1	3
1905698	1905703	5	1	1	1	1	1	1	3
1905833	1905842	9	1	0	1	0	1	0	3
1906087	1906092	5	1	1	1	1	1	1	3
1906307	1906316	9	1	1	1	1	1	1	3
1906495	1906548	53	1	1	1	1	1	1	3
1906805	1906824	19	1	1	1	1	1	1	3
1906908	1906922	14	1	0	1	0	1	0	3
1906992	1907005	13	1	0	1	0	1	0	3
1907406	1907521	115	1	1	1	0	1	1	3
2225498	2264116	38618	0	0	0	0	0	0	0
2298732	2342132	43400	0	0	0	0	0	0	0
2524991	2550439	25448	1	5	1	3	1	5	3
3505292	3542973	37681	1	4	1	3	1	4	3
3573979	3597791	23812	0	0	0	0	0	0	0
3786668	3806891	20223	1	6	1	2	1	5	3
3835043	3890462	55419	1	11	0	0	0	0	1
3956345	3981464	25119	1	3	0	0	0	0	1
4460397	4502100	41703	0	0	0	0	0	0	0
4516004	4570122	54118	0	0	0	0	0	0	0
4618685	4642430	23745	1	3	1	2	1	2	3
4761808	4792960	31152	1	6	0	0	1	3	2
4854217	4884284	30067	1	4	0	0	1	3	2
5174971	5239260	64289	0	0	0	0	0	0	0
5242390	5272413	30023	1	4	0	0	1	3	2
5309406	5350508	41102	1	5	0	0	1	4	2
5364960	5393717	28757	0	0	0	0	0	0	0
5511231	5533785	22554	1	3	0	0	1	2	2
6129144	6184388	55244	0	0	0	0	0	0	0
6467655	6536071	68416	0	0	0	0	0	0	0
6545826	6582249	36423	0	0	0	0	0	0	0
6621472	6647988	26516	0	0	0	0	0	0	0
6927750	6997093	69343	0	0	0	0	0	0	0
7028815	7064047	35232	1	3	0	0	1	3	2
7073919	7118616	44697	0	0	0	0	0	0	0
7163303	7206650	43347	0	0	0	0	0	0	0
7250571	7280356	29785	1	5	0	0	1	3	2
7313515	7343405	29890	0	0	0	0	0	0	0
7786257	7861288	75031	0	0	0	0	0	0	0
7862614	7887136	24522	0	0	0	0	0	0	0
7901325	7924485	23160	1	2	1	3	1	3	3
8081718	8106314	24596	0	0	0	0	0	0	0
8165210	8176552	11342	1	4	1	2	1	3	3
8632381	8662983	30602	1	3	1	3	1	3	3
8727358	8769855	42497	0	0	0	0	0	0	0
8915795	8946528	30733	0	0	0	0	0	0	0
8977829	9014032	36203	1	3	0	0	0	0	1
10296487	10343595	47108	1	5	0	0	1	6	2
10706319	10760419	54100	1	6	0	0	1	5	2
11127752	11157086	29334	0	0	0	0	0	0	0
11202282	11230331	28049	1	8	1	7	1	8	3
11231667	11262361	30694	1	6	0	0	0	0	1
11360353	11386626	26273	1	5	1	3	1	5	3
11426743	11447789	21046	1	2	1	2	1	2	3
11451978	11497008	45030	0	0	0	0	0	0	0
11517849	11599138	81289	1	11	0	0	0	0	1
11701272	11813617	112345	0	0	0	0	0	0	0
11844320	11869724	25404	1	8	1	2	1	4	3
12256072	12277078	21006	1	2	1	2	1	2	3
12411075	12458901	47826	1	6	1	5	1	6	3
12673533	12700826	27293	1	4	1	3	1	3	3
12717796	12752291	34495	1	4	0	0	1	4	2
12954878	13136021	181143	0	0	0	0	0	0	0
13177852	13208341	30489	1	4	0	0	1	4	2
13230102	13253590	23488	1	3	1	2	1	2	3
13331034	13353672	22638	1	4	1	4	1	4	3
13377530	13410186	32656	1	5	1	3	1	4	3
13429829	13631825	201996	0	0	0	0	0	0	0
13689552	13751618	62066	0	0	0	0	0	0	0
13820991	13882832	61841	0	0	0	0	0	0	0
13892362	14272741	380379	0	0	0	0	0	0	0
14446295	14470800	24505	0	0	0	0	0	0	0
14577646	14612632	34986	0	0	0	0	0	0	0
14644189	14729749	85560	0	0	0	0	0	0	0
15015554	15071175	55621	1	10	0	0	1	8	2
15087221	15115387	28166	1	6	0	0	1	5	2
15308016	15367800	59784	0	0	0	0	0	0	0
15380509	15413105	32596	1	4	1	3	1	4	3
15568336	15606878	38542	0	0	0	0	0	0	0
15635341	15668483	33142	1	5	1	5	1	5	3
16673759	16715241	41482	0	0	0	0	0	0	0
16733530	16773052	39522	1	8	1	6	1	8	3
16827898	16854021	26123	1	5	1	4	1	5	3
16900331	16926069	25738	1	4	1	3	1	4	3
17487837	17521341	33504	1	5	1	4	1	4	3
17607780	17679082	71302	1	7	0	0	1	6	2
17824022	17883198	59176	0	0	0	0	0	0	0
18194808	18218259	23451	1	2	1	2	1	2	3
18414333	18442592	28259	0	0	0	0	0	0	0
18967634	18999993	32359	1	4	0	0	1	3	2
19321044	19341833	20789	1	5	1	4	1	4	3
19358995	19414719	55724	1	8	0	0	0	0	1
19464219	19526088	61869	0	0	0	0	0	0	0
20493042	20523884	30842	1	6	0	0	1	5	2
20523884	20540928	17044	1	5	1	3	1	3	3
20555485	20617179	61694	0	0	0	0	0	0	0
20662569	20813640	151071	0	0	0	0	0	0	0
20874447	20895876	21429	1	2	1	2	1	3	3
21105723	21172501	66778	1	6	0	0	1	6	2
21179806	21777525	597719	0	0	0	0	0	0	0
21778610	21866681	88071	0	0	0	0	0	0	0
21899185	21961092	61907	0	0	0	0	0	0	0
22451097	22481532	30435	0	0	0	0	0	0	0
22497901	22520628	22727	0	0	0	0	0	0	0
22524082	22668436	144354	0	0	0	0	0	0	0
22980600	23008891	28291	1	5	0	0	1	4	2
23421003	23445252	24249	1	2	0	0	1	2	2
23460963	23503225	42262	1	8	1	5	1	7	3
23689247	23810819	121572	0	0	0	0	0	0	0
23888763	24012605	123842	0	0	0	0	0	0	0
24081165	24142287	61122	0	0	0	0	0	0	0
24355821	24379633	23812	1	3	1	3	1	3	3
24566868	24601281	34413	1	5	0	0	1	5	2
25077613	25102178	24565	1	3	1	3	1	3	3
25933230	25971072	37842	0	0	0	0	0	0	0
26394371	26400369	5998	1	0	1	0	1	0	3
26544113	26544218	105	1	0	1	0	1	0	3
26611358	26611640	282	1	1	1	1	1	1	3
26614478	26614787	309	1	1	1	0	1	0	3
26915455	26916293	838	1	3	1	0	1	0	3
26951053	26951055	2	1	0	1	0	1	0	3
26951443	26951453	10	1	0	1	0	1	0	3
26969720	27003155	33435	1	11	1	11	1	11	3
27164551	28993414	1828863	0	0	0	0	0	0	0
29043653	29043819	166	1	0	1	0	0	0	2
29145463	29146724	1261	1	8	1	8	1	8	3
29155260	29160891	5631	1	12	1	12	1	12	3
29370661	29409009	38348	1	81	1	81	0	0	2
29416346	29440378	24032	1	54	1	51	0	0	2
29469069	29471151	2082	1	6	1	8	1	9	3
29471245	29471253	8	1	0	1	1	1	1	3
30660651	30791916	131265	0	0	0	0	0	0	0
30791984	30794399	2415	1	8	1	6	1	7	3
30794962	30814005	19043	1	102	1	92	1	100	3
31744065	31766466	22401	1	87	1	84	1	85	3
31778706	31787078	8372	1	10	1	5	1	10	3
31812875	31815950	3075	1	0	1	1	0	0	2
31819025	31832998	13973	1	4	1	1	0	0	2
31857230	31865219	7989	0	0	0	0	0	0	0
32050348	32161078	110730	0	0	0	0	0	0	0
32176512	32206530	30018	1	69	0	0	1	69	2
32207031	32233534	26503	1	137	0	0	1	138	2
32252487	32279126	26639	0	0	0	0	0	0	0
32279423	32312705	33282	0	0	0	0	0	0	0
32312945	32312955	10	1	0	0	0	1	0	2
32312976	32312979	3	1	0	0	0	1	0	2
32315214	32333068	17854	1	14	0	0	1	9	2
32334744	32337918	3174	1	18	1	1	1	18	3
32349283	32432269	82986	0	0	0	0	0	0	0
32433123	32449112	15989	0	0	0	0	1	2	1
32450027	32467816	17789	0	0	0	0	0	0	0
32467836	32483491	15655	0	0	0	0	0	0	0
32520316	32598895	78579	0	0	0	0	0	0	0
32607369	32626387	19018	1	7	0	0	0	0	1
32627679	32869206	241527	0	0	0	0	0	0	0
33210662	33233843	23181	1	3	0	0	1	3	2
33295976	33360820	64844	0	0	0	0	0	0	0
33747584	33843268	95684	0	0	0	0	0	0	0
33865506	33901531	36025	0	0	0	0	0	0	0
33909864	34018169	108305	0	0	0	0	0	0	0
34026369	34055920	29551	1	4	0	0	1	4	2
34079290	34134418	55128	1	5	0	0	0	0	1
34135104	34162219	27115	0	0	0	0	0	0	0
34748986	34772931	23945	1	3	1	3	1	3	3
34791342	34811747	20405	1	2	1	2	1	2	3
34818318	34844579	26261	1	4	1	3	1	3	3
34864445	34893642	29197	0	0	0	0	0	0	0
35079659	35517815	438156	0	0	0	0	0	0	0
35919404	36156319	236915	0	0	0	0	0	0	0
36172778	36209945	37167	1	7	1	4	1	4	3
36217274	36268291	51017	1	8	1	4	1	5	3
36268558	36317511	48953	1	5	0	0	1	4	2
36332599	36381019	48420	1	9	0	0	1	7	2
36598127	36629321	31194	1	12	0	0	1	10	2
37393302	37426498	33196	0	0	0	0	0	0	0
37442035	37497514	55479	0	0	0	0	0	0	0
37513407	37567375	53968	0	0	0	0	0	0	0
37577111	37606622	29511	0	0	0	0	0	0	0
37610223	37667751	57528	0	0	0	0	0	0	0
37982955	38005400	22445	1	3	0	0	1	2	2
38053801	38153151	99350	0	0	0	0	0	0	0
38153384	38177812	24428	1	6	1	4	1	7	3
38203612	38259278	55666	1	7	0	0	1	5	2
38279170	38303247	24077	1	4	1	2	1	3	3
38310579	38368718	58139	1	13	0	0	1	11	2
38370611	38393470	22859	1	4	1	2	1	4	3
38927602	38963711	36109	1	6	1	3	1	5	3
39113185	39149079	35894	1	8	1	5	1	7	3
39171490	39212666	41176	0	0	0	0	0	0	0
39241049	39286408	45359	0	0	0	0	0	0	0
39838293	39868811	30518	1	7	1	3	1	7	3
40620806	40741068	120262	0	0	0	0	0	0	0
41351604	41404861	53257	0	0	0	0	0	0	0
41425338	41539049	113711	0	0	0	0	0	0	0
41866917	41898323	31406	1	6	0	0	1	4	2
41900800	41924682	23882	1	5	1	2	1	3	3
42006406	42128667	122261	0	0	0	0	0	0	0
42184827	42208160	23333	1	4	1	2	1	3	3
42414096	42543112	129016	0	0	0	0	0	0	0
43104113	43123517	19404	1	15	1	5	1	12	3
43688351	45896820	2208469	0	0	0	0	0	0	0
45916036	45945176	29140	1	6	1	4	1	4	3
46367825	46407462	39637	1	9	1	3	1	8	3
46605441	46634216	28775	1	5	1	4	1	5	3
46636707	46663811	27104	0	0	0	0	0	0	0
46727050	46748667	21617	1	5	1	5	1	7	3
46807567	46828646	21079	1	4	1	3	1	4	3
46835333	46896191	60858	0	0	0	0	0	0	0
47003846	47035760	31914	1	7	1	1	1	6	3
47085348	47121694	36346	1	4	1	4	1	4	3
