chromosome	tool	competitor_ps	competitor_accuracy	competitor_reads	competitor_discordant_reads	gap_start	gap_end	gap_bp	left_graph_ps	right_graph_ps	truth_hets	shared_hets	catalog_sites	graph_candidates	graph_phased_sites	private_sites	competitor_phased_sites	clean_het_snps	clean_het_indels	repeat_het_indels	filtered_ref_only	filtered_high_af	filtered_low_af	filtered_low_depth	filtered_no_reads	primary_reason
chr12	hiphase	46709288	0.9921	631	5	46725702	46838918	113216	46709288	46832734	15	17	1350	8	2	0	17	2	0	7	1221	141	3	1	0	block_stitching
chr12	hiphase	62813954	0.9985	5254	8	63758735	63866834	108099	63183980	63878915	27	27	1156	33	3	1	25	8	1	28	1102	12	14	0	0	block_stitching
chr12	hiphase	67715332	0.9982	6247	11	68757844	68841697	83853	68462321	68808608	7	6	1064	18	4	0	6	3	1	16	1028	7	13	0	0	block_stitching
chr12	hiphase	78062464	0.9959	731	3	78062641	78138755	76114	78062464	78123387	10	9	935	6	2	0	6	2	0	5	718	214	3	4	4	block_stitching
chr12	hiphase	15696672	0.9926	2829	21	15723767	15798039	74272	15696672	15803821	4	4	904	12	1	0	4	1	0	11	878	5	11	0	0	block_stitching
chr12	hiphase	87227486	0.9937	6209	39	87661162	87735057	73895	87262488	87757052	11	11	1005	21	4	1	11	5	1	16	975	8	7	2	0	block_stitching
chr12	hiphase	94509663	0.999	9789	10	95750003	95822767	72764	94683651	95813559	10	12	827	19	2	0	11	2	0	20	759	51	12	1	0	block_stitching
chr12	hiphase	49829339	0.9985	7551	11	49840592	49901233	60641	49829339	49904294	5	5	991	5	2	0	5	2	0	3	903	84	2	0	0	block_stitching
chr12	hiphase	123744174	0.9944	1954	11	123829379	123886846	57467	123822475	123886846	5	6	779	3	0	0	6	0	0	4	711	68	3	2	1	repeat_indels_excluded
chr12	hiphase	127768136	0.9966	3268	11	127889344	127946395	57051	127778845	127949282	4	3	946	3	0	0	3	0	0	5	926	12	7	2	1	repeat_indels_excluded
chr12	hiphase	21226317	0.9971	3508	10	21555274	21605811	50537	21520197	21605811	3	3	647	11	1	0	3	2	0	11	620	19	1	0	0	block_stitching
chr12	hiphase	107519685	0.9919	1364	11	107748944	107799383	50439	107653833	107814035	2	2	836	4	1	0	2	1	0	3	683	147	0	0	8	block_stitching
chr12	hiphase	113877375	0.9974	6867	18	115324804	115374567	49763	115321090	115390318	3	3	780	9	2	0	3	2	0	8	745	13	17	0	1	block_stitching
chr12	hiphase	113877375	0.9974	6867	18	113944129	113992649	48520	113883045	113976310	10	12	917	14	2	0	9	2	1	12	757	138	7	13	11	block_stitching
chr12	hiphase	26654396	0.9989	12813	14	26664531	26712777	48246	26657598	26722053	9	8	584	9	0	0	8	0	0	10	553	21	3	0	0	repeat_indels_excluded
chr12	hiphase	88672112	0.9949	2172	11	88697394	88744635	47241	88682789	88750349	6	5	508	10	0	0	4	0	0	11	490	4	11	2	0	repeat_indels_excluded
chr12	hiphase	47157890	0.9964	3873	14	47636066	47683118	47052	47558144	47689100	3	3	518	5	1	0	3	1	0	4	483	35	0	0	0	block_stitching
chr12	hiphase	21226317	0.9971	3508	10	21473633	21520197	46564	21297420	21520197	3	3	619	4	0	0	3	2	0	2	591	22	3	0	0	clean_candidate_unphased
chr12	hiphase	93620517	0.9927	1236	9	93730029	93776433	46404	93624375	93790220	3	3	504	6	1	0	3	2	0	5	411	89	3	1	0	block_stitching
chr12	hiphase	44471515	0.9945	4010	22	44498878	44543246	44368	44471515	44543246	3	4	559	5	0	0	3	0	0	6	549	1	4	0	0	repeat_indels_excluded
chr12	hiphase	486909	0.9904	6369	61	1861231	1905447	44216	1612109	1905447	2	2	593	2	1	0	2	1	0	1	588	3	1	0	0	block_stitching
chr12	hiphase	127768136	0.9966	3268	11	128368764	128412372	43608	127949282	128412372	3	3	623	9	0	0	3	0	0	10	603	9	10	0	0	repeat_indels_excluded
chr12	hiphase	65929643	0.9976	7175	17	67027793	67070984	43191	66197743	67070984	3	2	501	4	0	0	2	0	0	5	468	31	2	1	0	repeat_indels_excluded
chr12	hiphase	97370965	0.9967	6035	20	97378951	97421383	42432	97370965	97425743	6	5	503	12	0	2	4	1	0	12	488	1	7	0	0	clean_candidate_unphased
chr12	hiphase	71300657	0.9958	3556	15	71496751	71538332	41581	71373459	71539975	2	3	484	2	1	0	3	1	0	2	445	37	3	0	0	block_stitching
chr12	hiphase	29423503	0.9965	1130	4	29497212	29538391	41179	29423503	29538391	2	3	648	2	0	0	3	0	0	2	633	9	6	0	0	repeat_indels_excluded
chr12	hiphase	132175918	0.9952	2900	14	132680226	132721219	40993	132269706	132721219	3	2	567	3	1	0	2	0	1	2	559	1	5	0	0	block_stitching
chr12	hiphase	128607742	0.9984	4256	7	129345515	129386314	40799	128733401	129390056	2	1	635	3	1	0	1	1	0	2	609	25	0	1	0	block_stitching
chr12	hiphase	78793157	0.9936	935	6	78927554	78968346	40792	78793157	78949346	7	7	466	6	1	0	6	2	0	5	443	23	6	2	0	block_stitching
chr12	hiphase	107884588	0.9997	7607	2	108964809	109005512	40703	108963909	109005512	4	4	495	5	0	0	4	0	0	6	457	39	1	1	0	repeat_indels_excluded
chr12	hiphase	67715332	0.9982	6247	11	68421680	68462321	40641	68061404	68462321	3	3	525	10	1	1	3	1	0	10	512	2	4	0	0	block_stitching
chr12	hiphase	16391848	0.9958	8304	35	17167993	17208561	40568	16935942	17208561	3	4	544	10	0	0	3	2	0	9	534	0	7	0	0	clean_candidate_unphased
chr12	hiphase	2569088	0.9974	1949	5	2980405	3020923	40518	2970124	3020923	6	6	579	3	0	0	5	0	0	3	574	2	0	0	0	repeat_indels_excluded
chr12	hiphase	41912119	0.9949	4115	21	42182585	42222250	39665	42146984	42232108	3	3	655	5	0	0	3	0	0	7	643	4	4	0	0	repeat_indels_excluded
chr12	hiphase	131894154	0.9953	634	3	131983193	132022841	39648	131955227	132022841	3	3	487	8	0	2	3	0	1	8	474	1	6	0	0	clean_candidate_unphased
chr12	hiphase	13166071	0.9986	2074	3	13594134	13633697	39563	13166071	13617651	2	1	438	3	1	0	1	1	0	2	393	49	0	0	0	block_stitching
chr12	hiphase	55378381	0.9921	1271	10	55494788	55533763	38975	55436166	55516225	6	6	772	5	1	2	5	1	0	5	766	0	1	0	0	block_stitching
chr12	hiphase	55378381	0.9921	1271	10	55389184	55427864	38680	55378381	55436166	5	5	583	7	1	1	5	1	0	7	509	69	0	0	0	block_stitching
chr12	hiphase	124572917	0.9964	5806	21	125571087	125609135	38048	125388534	125609135	4	6	528	2	0	2	5	0	0	2	520	3	4	0	0	repeat_indels_excluded
chr12	hiphase	61156279	0.9934	4710	31	61477853	61515890	38037	61207164	61515890	3	4	463	1	0	0	4	0	0	3	406	54	8	2	0	repeat_indels_excluded
