gap_left	gap_right	gap_bp	phase_set	spans	truth_scored	truth_correct	local_truth_purity	competitor_truth_purity	outer_padding
1903021	1903046	25	1854423	1	29	29	1.0000	1.0000	50000
1907007	1907045	38	1903119	1	3	3	1.0000	1.0000	50000
4778793	4785720	6927	4730864	1	13	13	1.0000	1.0000	50000
32168699	32169151	452	31918733	1	10	9	0.9000	1.0000	250000
34094605	34102868	8263	34055920	1	29	29	1.0000	1.0000	50000
35613763	35613765	2	35571202	1	56	56	1.0000	1.0000	50000
36059715	36069697	9982	36016137	1	12	12	1.0000	1.0000	50000
55882617	55883020	403	55833003	1	64	64	1.0000	1.0000	50000
58416190	58418868	2678	58391091	1	47	47	1.0000	1.0000	50000
61763858	61770862	7004	61725696	1	19	19	1.0000	1.0000	50000
65509649	65509898	249	65459860	1	5	5	1.0000	1.0000	50000
65511683	65513879	2196	65462071	1	3	3	1.0000	1.0000	50000
65953554	65953582	28	65903791	1	56	55	0.9821	0.9833	50000
65994906	65995588	682	65949101	1	49	47	0.9592	1.0000	50000
