gap_left	gap_right	gap_bp	status	bottleneck_pos	demoted_informative	demoted_ambiguous	demoted_phantom	demoted_unscorable	link_clean	link_all_demoted	link_truth_validated
1086625	1142089	55464	split	1118111	0	1	4	1	0	61	0
2225498	2264116	38618	split	2232487	4	0	2	0	0	13	0
3956345	3981464	25119	split	3956345	3	2	5	0	0	7	0
4854217	4886360	32143	split	4854217	5	3	5	0	0	15	0
5174971	5239260	64289	split	5196224	0	1	4	0	0	20	0
6129144	6184388	55244	split	6129144	0	0	8	0	0	16	0
6621472	6647988	26516	split	6621472	0	0	2	0	0	17	0
6927750	6997093	69343	split	6946369	5	2	5	1	0	33	0
7073919	7118617	44698	split	7073919	0	0	2	0	0	17	0
7305204	7343405	38201	split	7313534	1	0	3	0	0	58	0
8727358	8769855	42497	split	8727358	20	4	1	5	0	79	0
10296487	10343595	47108	split	10296487	2	0	3	0	0	57	2
11127753	11157086	29333	split	11127753	1	2	5	0	0	37	0
11231667	11262361	30694	split	11233959	1	0	1	0	0	50	0
11451978	11599138	147160	split	11451978	0	0	2	0	0	47	0
11701272	11813668	112396	split	11701272	0	0	3	0	0	2	0
12717796	12752291	34495	split	12721236	3	0	0	0	0	7	7
13689552	13751618	62066	split	13691487	1	0	7	0	0	31	0
14446295	14499928	53633	split	14446295	1	0	10	0	0	54	0
15015554	15115387	99833	split	15019915	2	1	4	1	0	36	0
15308016	15413105	105089	split	15336224	0	0	2	0	0	5	0
15568336	15606878	38542	split	15569536	5	0	2	0	0	20	0
17607780	17679082	71302	split	17642045	1	0	3	0	0	73	0
17839398	17883582	44184	split	17865342	2	4	8	0	0	45	5
18414333	18442592	28259	split	18414333	7	4	1	0	0	5	0
19464219	19526088	61869	split	19464219	0	1	4	0	0	36	0
20493042	20523889	30847	split	20493042	4	1	2	1	0	10	10
22497901	22520628	22727	split	22497901	1	0	1	0	0	57	0
22540640	22565021	24381	partial	22540792	3	0	5	1	0	60	0
22582976	22668436	85460	partial	22598462	1	0	5	3	0	11	0
23680458	23810819	130361	split	23689412	3	0	3	0	0	46	0
23888763	24012605	123842	split	23910435	1	0	7	0	0	42	0
32312702	32315103	2401	open	32312702	0	2	4	9	0	6	0
32337036	32397764	60728	partial	32382895	0	1	0	9	0	2	0
33295976	33360820	64844	split	33311771	2	3	24	0	0	48	7
33747591	33792638	45047	partial	33749839	1	1	3	0	0	42	0
33797964	33843276	45312	partial	33797964	0	0	8	0	0	2	0
33865506	34018169	152663	partial	33866460	2	2	15	2	0	43	0
34030463	34055920	25457	partial	34030463	1	5	11	0	0	69	6
34079290	34134418	55128	split	34079290	1	2	5	0	0	19	0
35079659	35517815	438156	split	35101563	0	4	9	0	0	7	0
35919404	36156319	236915	split	35959364	0	1	5	0	0	11	0
36268558	36317511	48953	split	36317511	0	0	7	1	0	30	0
36332599	36381019	48420	split	36332599	0	1	8	2	0	48	0
37393302	37426498	33196	split	37393302	2	0	11	0	0	6	0
37442035	37497514	55479	split	37442035	0	0	6	2	0	32	0
37513407	37567375	53968	split	37526550	1	2	14	0	0	62	0
37610223	37667751	57528	split	37642892	0	0	12	0	0	36	0
38203612	38236063	32451	split	38236063	1	0	11	1	0	26	0
39241049	39286408	45359	split	39241049	0	0	3	1	0	10	0
40620806	40741068	120262	split	40636577	1	4	7	0	0	28	0
42006406	42128667	122261	split	42018630	4	1	1	0	0	14	0
45143095	45896820	753725	split	45143095	0	0	5	1	0	29	0
46636707	46663811	27104	split	46636707	0	0	4	0	0	31	0
48094709	48229446	134737	split	48097235	2	0	4	0	0	21	0
48952538	49062203	109665	split	48982678	0	1	3	1	0	16	0
