region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_1086625_1110921	1037387	1037387	220	0	0	0	False
chr20_1086625_1110921	1110921	1110921	54	0	0	0	False
chr20_1086625_1110921	1142089	1142089	57	0	0	0	False
chr20_3956345_3981464	3907852	3907852	171	0	0	0	False
chr20_3956345_3981464	3981464	3981464	119	0	0	0	False
chr20_11233845_11262361	11183861	11183861	277	0	0	0	False
chr20_11233845_11262361	11262361	11262361	286	0	0	0	False
chr20_12721112_12752291	12672265	12672265	230	0	0	0	False
chr20_12721112_12752291	12752291	12752291	244	0	0	0	False
chr20_17607780_17667022	17559224	17559224	215	0	0	0	False
chr20_17607780_17667022	17667022	17667022	74	0	0	0	False
chr20_19358995_19395544	19310196	19310196	93	0	0	0	False
chr20_19358995_19395544	19395544	19395544	166	1	1	0	False
chr20_23403554_23445252	23360562	23360562	144	0	0	0	False
chr20_23403554_23445252	23449834	23449834	32	0	0	0	False
chr20_23403554_23445252	23481134	23481134	60	0	0	0	False
chr20_23460963_23481134	23449834	23449834	32	0	0	0	False
chr20_23460963_23481134	23481134	23481134	60	0	0	0	False
chr20_23460963_23481134	23503225	23481134	113	0	0	0	False
chr20_24105188_24142287	24058168	24058168	34	0	0	0	False
chr20_24105188_24142287	24103779	24103779	53	0	0	0	False
chr20_24105188_24142287	24142287	24142287	265	0	0	0	False
chr20_34079290_34134418	34055830	34055830	42	0	0	0	False
chr20_34079290_34134418	34134418	34134418	65	2	2	0	False
chr20_34079290_34134418	34162219	34134418	81	0	0	1	False
chr20_34791342_34811747	34748986	34748986	130	0	0	0	False
chr20_34791342_34811747	34811747	34811747	123	0	0	0	False
chr20_35244059_35357391	35228062	35228062	8	0	0	0	False
chr20_35244059_35357391	35357391	35357391	15	0	0	0	False
chr20_47671540_47713869	47622631	47622631	166	0	0	0	False
chr20_47671540_47713869	47713869	47713869	24	0	0	0	False
chr20_53926537_53962801	53881508	53881508	230	0	0	0	False
chr20_53926537_53962801	53962801	53962801	256	0	0	0	False
chr20_57087239_57119478	57039576	57039576	175	0	0	0	False
chr20_57087239_57119478	57123860	57123860	191	0	0	0	False
chr20_60033052_60056028	59983294	59983294	105	0	0	0	False
chr20_60033052_60056028	60058235	60058235	39	0	0	0	False
chr20_61664136_61690751	61615092	61615092	139	0	0	0	False
chr20_61664136_61690751	61690751	61690751	123	0	0	0	False
chr20_64902581_64905482	64852683	64852683	165	0	0	0	False
chr20_64902581_64905482	64913827	64913827	170	0	0	0	False
chr20_26602087_26651086	26552098	26552098	28	11	11	0	False
chr20_26602087_26651086	26644453	26644453	70	24	24	0	False
chr20_34864445_34893642	34818318	34818318	113	0	0	0	False
chr20_34864445_34893642	34893642	34893642	204	0	0	0	False
chr20_26626247_26651086	26576361	26576361	20	7	7	0	False
chr20_26626247_26651086	26644453	26644453	70	24	24	0	False
