region	before_target	after_target	before_reads	after_reads	before_discordant	after_discordant	before_switchflips	after_switchflips
chr20_528852_545002	joined	joined	439	439	0	0	0	0
chr20_863640_890261	split	split	433	433	0	0	0	0
chr20_1086625_1110921	split	split	335	335	0	0	0	0
chr20_1499101_1523721	joined	joined	517	517	0	0	0	0
chr20_1912570_1913054	joined	endpoint_unphased	354	354	136	29	7	9
chr20_3529324_3550839	joined	joined	328	328	0	0	0	0
chr20_3956345_3981464	split	split	294	294	0	0	0	0
chr20_4618685_4642430	joined	joined	547	547	0	0	0	0
chr20_4854217_4878943	joined	joined	351	351	0	0	0	0
chr20_5242390_5272413	split	joined	216	216	0	0	0	0
chr20_5309406_5331265	joined	joined	213	213	0	0	0	0
chr20_5506914_5533786	joined	joined	440	440	0	0	0	0
chr20_7028815_7064047	split	split	246	246	0	0	0	0
chr20_7218910_7250571	joined	joined	179	179	1	1	1	1
chr20_7264321_7280356	joined	joined	181	181	0	0	0	0
chr20_8977829_9014032	joined	joined	397	397	0	0	0	0
chr20_10296487_10343595	joined	joined	567	567	0	0	0	0
chr20_11233845_11262361	joined	joined	563	563	0	0	0	0
chr20_11426743_11447789	split	split	266	266	0	0	0	0
chr20_11563166_11599138	split	joined	399	399	0	0	0	0
chr20_12256072_12277078	joined	joined	441	441	0	0	0	0
chr20_12721112_12752291	split	joined	474	474	0	0	0	0
chr20_13180644_13230102	joined	joined	438	438	0	0	0	0
chr20_17499524_17521341	joined	joined	457	457	0	0	0	0
chr20_17607780_17667022	split	split	291	291	0	0	0	0
chr20_18194808_18218259	split	split	532	532	0	0	0	0
chr20_18983414_19005497	endpoint_unphased	endpoint_unphased	489	489	208	208	1	1
chr20_19358995_19395544	joined	joined	259	259	94	94	2	2
chr20_20493042_20540928	joined	joined	319	319	0	0	0	0
chr20_20662569_20731688	joined	joined	240	240	1	1	1	1
chr20_20874447_20895876	joined	joined	443	443	0	0	0	0
chr20_21117402_21148338	joined	joined	254	254	0	0	0	0
chr20_22702346_22729320	split	split	308	308	2	2	2	2
chr20_23403554_23445252	split	split	237	237	0	0	0	0
chr20_23460963_23481134	joined	joined	206	206	0	0	0	0
chr20_23482489_23503225	split	joined	303	303	0	0	0	0
chr20_24105188_24142287	joined	joined	352	352	0	0	0	0
chr20_24357615_24379633	split	split	388	388	0	0	0	0
chr20_24574099_24601281	joined	joined	468	468	0	0	0	0
chr20_34030463_34072055	joined	joined	157	157	69	0	7	0
chr20_34079290_34134418	split	split	188	188	63	63	5	5
chr20_34791342_34811747	split	split	254	254	0	0	0	0
chr20_35244059_35357391	split	split	23	23	0	0	0	0
chr20_35919404_35939110	joined	joined	293	293	0	0	0	0
chr20_36247421_36268291	joined	joined	160	160	1	1	1	1
chr20_36268558_36299817	joined	joined	103	103	0	0	0	0
chr20_36332599_36381019	joined	joined	324	324	1	1	1	1
chr20_36614185_36629321	joined	joined	380	380	0	0	0	0
chr20_37005134_37018950	joined	joined	439	439	0	0	0	0
chr20_37984529_38008026	split	split	440	440	1	1	1	1
chr20_38211030_38236063	joined	joined	158	158	1	1	1	1
chr20_38259286_38303247	split	split	157	157	0	0	0	0
chr20_38370611_38393470	joined	joined	319	319	3	3	3	3
chr20_39848887_39856144	joined	joined	413	413	0	0	0	0
chr20_42191762_42208160	joined	joined	336	336	0	0	0	0
chr20_46384021_46405048	split	joined	420	420	0	0	0	0
chr20_46727050_46747637	joined	joined	415	415	188	188	4	4
chr20_47019175_47026671	joined	joined	324	324	0	0	0	0
chr20_47671540_47713869	joined	joined	191	191	0	0	0	0
chr20_47738673_47762233	joined	joined	235	235	0	0	0	0
chr20_48022132_48043584	joined	joined	321	321	0	0	0	0
chr20_48925908_48950388	joined	joined	237	237	0	0	0	0
chr20_49072885_49096906	joined	joined	91	91	0	0	0	0
chr20_50540995_50562066	joined	joined	437	437	175	175	5	5
chr20_51145921_51165532	joined	joined	399	399	1	1	1	1
chr20_53926537_53962801	joined	joined	486	486	0	0	0	0
chr20_54675445_54702072	joined	joined	444	444	0	0	0	0
chr20_54894127_54912022	joined	joined	419	419	0	0	0	0
chr20_54976339_54988434	joined	joined	488	488	0	0	0	0
chr20_55472966_55492323	joined	joined	452	452	0	0	0	0
chr20_55843827_55889113	joined	joined	358	358	0	0	0	0
chr20_55999561_56040612	split	split	308	308	0	0	0	0
chr20_56064697_56100715	joined	joined	274	274	0	0	0	0
chr20_56671109_56679959	joined	joined	366	366	0	0	0	0
chr20_56726836_56740521	joined	joined	408	408	0	0	0	0
chr20_56881860_56909075	joined	joined	476	476	0	0	0	0
chr20_57087239_57119478	split	split	389	389	0	0	0	0
chr20_57667169_57688923	split	split	325	325	0	0	0	0
chr20_57764235_57785772	joined	joined	284	284	69	1	4	1
chr20_57841772_57866713	joined	joined	167	167	0	0	0	0
chr20_57911734_57934951	joined	joined	339	339	0	0	0	0
chr20_58392336_58419975	joined	joined	291	291	52	52	4	4
chr20_58703912_58758263	joined	joined	348	348	1	1	1	1
chr20_59825454_59867460	joined	joined	427	427	0	0	0	0
chr20_60033052_60056028	joined	joined	180	180	0	0	0	0
chr20_60063142_60114911	split	split	246	246	0	0	0	0
chr20_61664136_61690751	split	split	296	296	0	0	0	0
chr20_62410496_62432427	split	split	385	385	0	0	0	0
chr20_62623253_62637077	joined	joined	313	313	1	1	1	1
chr20_63945865_63969922	joined	joined	422	422	0	0	0	0
chr20_64902581_64905482	split	split	335	335	0	0	0	0
chr20_26602087_26651086	endpoint_unphased	endpoint_unphased	100	100	36	36	13	13
chr20_34864445_34893642	split	split	317	317	0	0	0	0
chr20_26626247_26651086	endpoint_unphased	endpoint_unphased	92	92	32	32	10	10
chr20_33210466_33233843	joined	joined	302	302	0	0	0	0
chr20_1912570_1913912	joined	endpoint_unphased	354	354	136	29	7	9
chr20_3786668_3806891	joined	joined	330	330	0	0	0	0
chr20_4011717_4022923	joined	joined	302	302	0	0	0	0
chr20_36032227_36056601	joined	joined	117	117	0	0	0	0
chr20_39838293_39856144	joined	joined	460	460	0	0	0	0
chr20_42184827_42208160	joined	joined	336	336	0	0	0	0
chr20_46384021_46407462	split	joined	424	424	0	0	0	0
chr20_46609387_46629630	joined	joined	366	366	0	0	0	0
chr20_47002481_47026671	joined	joined	324	324	0	0	0	0
chr20_49071976_49102876	joined	joined	91	91	0	0	0	0
chr20_51142695_51165532	joined	joined	438	438	1	1	1	1
chr20_54547514_54590762	split	split	541	541	0	0	0	0
chr20_54976282_54993445	joined	joined	514	514	0	0	0	0
chr20_55472966_55492791	joined	joined	452	452	0	0	0	0
chr20_56662188_56679959	joined	joined	404	404	0	0	0	0
chr20_56880401_56909075	joined	joined	477	477	0	0	0	0
chr20_61732321_61782778	joined	joined	327	327	0	0	0	0
chr20_62623253_62645168	joined	joined	342	342	1	1	1	1
chr20_64128828_64144962	joined	joined	316	316	0	0	0	0
