gap_left	gap_right	gap_bp	reads_in_gap	n_tools_spanning	hiphase_spans	hiphase_scored	hiphase_concordant	hiphase_acc	longphase_spans	longphase_scored	longphase_concordant	longphase_acc	whatshap_opt_spans	whatshap_opt_scored	whatshap_opt_concordant	whatshap_opt_acc
1087046	1115860	28814	190	3	1	158	158	1.0	1	155	155	1.0	1	158	158	1.0
3956345	3981464	25119	161	1	1	135	129	0.9556	0	119	113	0.9496	0	121	118	0.9752
4854217	4878943	24726	138	2	1	108	107	0.9907	0	85	85	1.0	1	108	107	0.9907
7047080	7064047	16967	155	2	1	143	141	0.986	0	74	72	0.973	1	141	73	0.5177
10317938	10337661	19723	154	2	1	134	123	0.9179	0	110	109	0.9909	1	136	135	0.9926
11235279	11262361	27082	210	1	1	180	180	1.0	0	141	141	1.0	0	141	141	1.0
11517849	11573074	55225	323	3	1	317	314	0.9905	1	301	298	0.99	1	302	298	0.9868
11573074	11586531	13457	134	1	1	124	121	0.9758	0	90	87	0.9667	0	90	87	0.9667
12721112	12752291	31179	204	2	1	186	186	1.0	0	112	112	1.0	1	186	133	0.7151
13820991	13844727	23736	174	2	1	166	166	1.0	0	68	68	1.0	1	165	165	1.0
15019255	15039543	20288	144	2	1	119	119	1.0	0	110	110	1.0	1	118	117	0.9915
17642038	17667022	24984	166	2	1	129	129	1.0	0	55	55	1.0	1	129	129	1.0
20493042	20506159	13117	124	2	1	118	116	0.9831	0	88	87	0.9886	1	117	117	1.0
21736539	21757517	20978	143	2	1	116	116	1.0	0	55	55	1.0	1	116	116	1.0
23421003	23445252	24249	147	2	1	115	114	0.9913	0	96	95	0.9896	1	114	113	0.9912
23942879	23976798	33919	203	1	1	164	161	0.9817	0	0	0	0.0	0	51	51	1.0
24103779	24142287	38508	233	1	1	194	194	1.0	0	141	141	1.0	0	141	141	1.0
31765624	31766466	842	40	3	1	33	19	0.5758	1	40	26	0.65	1	15	11	0.7333
32433106	32449137	16031	50	1	0	20	18	0.9	0	23	14	0.6087	1	15	12	0.8
32497245	32518798	21553	74	3	1	48	43	0.8958	1	62	57	0.9194	1	55	47	0.8545
32800076	32804987	4911	45	1	1	7	4	0.5714	0	33	23	0.697	0	1	0	0.0
33960300	33985339	25039	165	3	1	159	156	0.9811	1	159	156	0.9811	1	153	152	0.9935
33985339	34018169	32830	200	1	1	179	176	0.9832	0	90	87	0.9667	0	146	144	0.9863
34102867	34134418	31551	211	1	1	167	165	0.988	0	69	67	0.971	0	100	97	0.97
35981809	36016138	34329	198	1	1	171	165	0.9649	0	76	75	0.9868	0	132	130	0.9848
36032227	36059715	27488	155	3	1	130	128	0.9846	1	118	116	0.9831	1	143	137	0.958
36059715	36099955	40240	221	1	1	201	64	0.3184	0	181	172	0.9503	0	189	181	0.9577
36268558	36286778	18220	109	2	1	101	100	0.9901	0	74	73	0.9865	1	100	100	1.0
38218840	38236063	17223	136	2	1	127	98	0.7717	0	89	84	0.9438	1	113	80	0.708
47738673	47755890	17217	110	2	1	102	100	0.9804	0	82	81	0.9878	1	96	94	0.9792
48176830	48229446	52616	304	2	1	252	252	1.0	0	60	60	1.0	1	252	252	1.0
49716796	49788561	71765	381	2	1	300	175	0.5833	0	161	161	1.0	1	304	297	0.977
55871836	55883023	11187	103	2	1	86	86	1.0	0	37	37	1.0	1	92	84	0.913
56007504	56040612	33108	210	1	1	179	178	0.9944	0	96	96	1.0	0	131	127	0.9695
56156525	56192736	36211	245	1	1	194	189	0.9742	0	105	105	1.0	0	194	191	0.9845
57085410	57104654	19244	155	1	1	139	139	1.0	0	85	84	0.9882	0	95	95	1.0
58719467	58747200	27733	161	1	1	148	148	1.0	0	78	78	1.0	0	77	77	1.0
58994554	59046421	51867	276	1	1	234	84	0.359	0	128	127	0.9922	0	211	177	0.8389
59825454	59842964	17510	127	1	1	119	119	1.0	0	87	87	1.0	0	92	91	0.9891
60033052	60058235	25183	170	2	1	160	159	0.9938	0	129	116	0.8992	1	139	61	0.4388
60090439	60114911	24472	164	1	1	140	107	0.7643	0	102	101	0.9902	0	126	73	0.5794
60447075	60467115	20040	147	2	1	143	143	1.0	0	67	67	1.0	1	144	144	1.0
60946298	60949871	3573	91	2	1	90	86	0.9556	0	78	72	0.9231	1	87	84	0.9655
61016271	61037147	20876	172	1	1	143	105	0.7343	0	66	65	0.9848	0	69	69	1.0
61664136	61690751	26615	205	3	1	150	150	1.0	1	150	150	1.0	1	150	150	1.0
62408056	62432427	24371	177	2	1	159	157	0.9874	0	146	144	0.9863	1	157	157	1.0
64905482	64913827	8345	38	2	1	36	36	1.0	0	35	35	1.0	1	36	36	1.0
