region	before_target	after_target	before_reads	after_reads	before_discordant	after_discordant	before_switchflips	after_switchflips
chr20_3956345_3981464	split	split	290	290	0	0	0	0
chr20_4854217_4878943	joined	joined	343	343	0	0	0	0
chr20_11426743_11447789	split	split	267	267	0	0	0	0
chr20_18983414_19005497	joined	joined	489	489	0	0	0	0
chr20_23403554_23445252	split	split	237	237	0	0	0	0
chr20_24105188_24142287	split	split	352	352	0	0	0	0
chr20_35919404_35939110	joined	joined	293	293	0	48	0	3
chr20_46384021_46405048	joined	joined	420	420	0	0	0	0
chr20_46727050_46747637	split	split	415	415	1	1	1	1
chr20_54894127_54912022	split	joined	419	419	0	0	0	0
chr20_55999561_56040612	joined	joined	308	308	0	0	0	0
chr20_57087239_57119478	split	split	391	391	0	0	0	0
chr20_57841772_57866713	joined	joined	167	167	0	0	0	0
chr20_58392336_58419975	joined	joined	291	291	1	1	1	1
chr20_60063142_60114911	joined	joined	206	206	39	0	3	0
chr20_62410496_62432427	joined	joined	386	386	0	0	0	0
chr20_36032227_36056601	joined	joined	117	117	0	0	0	0
chr20_54547514_54590762	joined	joined	541	541	0	0	0	0
