gap_left	gap_right	gap_bp	left_ps	right_ps	left_block_bp	right_block_bp	left_block_sites	right_block_sites	reads_overlapping	reads_contained	reads_untagged	reads_untagged_pass_mapq30
78356	130540	52184	59458	130540	18898	33157	12	6	266	138	138	127
163697	195305	31608	130540	195305	33157	319597	6	570	216	66	66	62
514902	545002	30100	195305	545002	319597	320230	570	390	189	66	33	28
865232	865235	3	545002	865235	320230	1120	390	3	17	0	0	0
866355	890261	23906	865235	890261	1120	196364	3	275	102	26	27	24
1086625	1142089	55464	890261	1142089	196364	10355	275	3	301	164	88	85
1152444	1196967	44523	1142089	1196966	10355	302134	3	321	243	109	109	102
1499101	1523721	24620	1196966	1523721	302134	127726	321	390	197	40	41	40
1651447	1690618	39171	1523721	1690618	127726	214650	390	412	233	101	102	96
1905268	1905278	10	1690618	1905278	214650	162	412	19	33	0	0	0
1905440	1905474	34	1905278	1905474	162	84	19	7	33	0	0	0
1905558	1905563	5	1905474	1905563	84	135	7	6	33	0	0	0
1905698	1905703	5	1905563	1905703	135	130	6	8	33	0	0	0
1905833	1905842	9	1905703	1905842	130	245	8	18	33	0	0	0
1906087	1906092	5	1905842	1906092	245	215	18	20	33	0	0	0
1906307	1906316	9	1906092	1906316	215	179	20	14	33	0	0	0
1906495	1906548	53	1906316	1906548	179	257	14	16	33	0	0	0
1906805	1906824	19	1906548	1906824	257	84	16	8	33	0	0	0
1906908	1906922	14	1906824	1906922	84	70	8	7	33	0	0	0
1906992	1907005	13	1906922	1907005	70	401	7	20	32	0	0	0
1907406	1907521	115	1907005	1907520	401	317977	20	402	33	0	0	0
2225498	2264116	38618	1907520	2264116	317977	34616	402	66	239	114	114	108
2298732	2342132	43400	2264116	2342132	34616	182859	66	290	248	108	108	106
2524991	2550439	25448	2342132	2550439	182859	954853	290	958	185	59	59	52
3505292	3542973	37681	2550439	3542973	954853	31006	958	6	241	103	111	106
3573979	3597791	23812	3542973	3597791	31006	188877	6	130	168	32	32	29
3786668	3806891	20223	3597791	3806891	188877	28152	130	17	137	23	23	21
3835043	3890462	55419	3806891	3890462	28152	65883	17	35	297	181	181	170
3956345	3981464	25119	3890462	3981464	65883	478933	35	601	161	33	33	32
4460397	4502100	41703	3981464	4502100	478933	13904	601	19	268	122	122	118
4516004	4570122	54118	4502100	4570122	13904	48563	19	20	345	174	174	171
4618685	4642430	23745	4570122	4642430	48563	119378	20	141	184	33	33	31
4761808	4792960	31152	4642430	4792960	119378	61257	141	108	200	66	66	63
4854217	4884284	30067	4792960	4884284	61257	290687	108	273	145	47	53	52
5174971	5239260	64289	4884284	5239260	290687	3130	273	3	320	209	158	150
5242390	5272413	30023	5239260	5272413	3130	36993	3	14	172	50	50	48
5309406	5350508	41102	5272413	5350508	36993	14452	14	2	252	106	106	101
5364960	5393717	28757	5350508	5393717	14452	117514	2	123	196	58	58	56
5511231	5533785	22554	5393717	5533785	117514	595359	123	873	177	35	35	33
6129144	6184388	55244	5533785	6184388	595359	283267	873	268	290	157	100	95
6467655	6536071	68416	6184388	6536071	283267	9755	268	3	460	292	202	200
6545826	6582249	36423	6536071	6582249	9755	39223	3	4	255	95	95	93
6621472	6647988	26516	6582249	6647988	39223	279762	4	283	168	37	37	36
6927750	6997093	69343	6647988	6997093	279762	31722	283	30	369	223	223	216
7028815	7064047	35232	6997093	7064047	31722	9872	30	2	246	97	97	96
7073919	7118616	44697	7064047	7118616	9872	44687	2	8	292	143	143	138
7163303	7206650	43347	7118616	7206650	44687	43921	8	4	281	139	139	133
7250571	7280356	29785	7206650	7280356	43921	33159	4	8	203	68	69	67
7313515	7343405	29890	7280356	7343405	33159	442852	8	545	171	44	44	40
7786257	7861288	75031	7343405	7861288	442852	1326	545	2	381	264	188	180
7862614	7887136	24522	7861288	7887136	1326	14189	2	3	178	48	48	46
7901325	7924485	23160	7887136	7924485	14189	157233	3	149	172	38	38	35
8081718	8106314	24596	7924485	8106314	157233	58896	149	15	178	41	41	40
8165210	8176552	11342	8106314	8176552	58896	455829	15	522	116	3	16	14
8632381	8662983	30602	8176552	8662983	455829	64375	522	123	221	56	56	53
8727358	8769855	42497	8662983	8769855	64375	145940	123	337	267	114	114	111
8915795	8946528	30733	8769855	8946528	145940	31301	337	46	192	62	62	58
8977829	9014032	36203	8946528	9014032	31301	1282455	46	1271	223	96	96	94
10296487	10343595	47108	9014032	10343595	1282455	362724	1271	369	287	139	139	133
10706319	10760419	54100	10343595	10760419	362724	367333	369	326	313	182	182	172
11127752	11157086	29334	10760419	11157086	367333	45196	326	86	224	59	60	57
