chromosome	tool	assessed_pairs	switches	flips	switchflips	hamming	phased_variants	blocks	n50_bp	chromosome_ngc50_bp	phased_reads	evaluated_reads	discordant_reads	read_hamming_rate	read_switchflips	read_block_n50_bp	phasing_elapsed_seconds	max_rss_kb	vcf
chr12	graph	124066	29	10	19	32	132506	532	328934	309333	410740	410699	257	0.000626	125	422422	27.08	14703960	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/graph/shared.vcf.gz
chr12	bam	124721	45	10	35	451	133391	598	409030	405571	496971	496962	7381	0.014852	3740	1095879	89.11	23702872	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/bam/shared.vcf.gz
chr12	hybrid	124136	31	10	21	31	132411	399	407376	396249	412134	412132	390	0.000946	132	552773	74.91	31821312	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/hybrid/shared.vcf.gz
chr12	graph_lock	124154	31	11	20	33	132595	531	330283	320081	415418	415377	284	0.000684	139	425298	NA	NA	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/graph_lock/shared.vcf.gz
chr12	whatshap	127679	529	227	302	4275	140300	358	922858	368946	512518	512503	24799	0.048388	3667	1114771	635.45	1451068	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/whatshap/phased.vcf.gz
chr12	whatshap_opt	126878	164	59	105	2278	137970	371	887199	646175	511302	511287	13626	0.02665	2648	1035427	715.0	1790732	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/whatshap_opt/phased.vcf.gz
chr12	hiphase	127408	126	44	82	4214	138849	324	929608	784773	525447	525427	19803	0.037689	3545	1294888	202.74	871324	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/hiphase/phased.vcf.gz
chr12	longphase	109439	94	36	58	471	112304	473	516178	506653	505568	505568	7168	0.014178	3755	1198904	31.7	2669296	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr12/longphase/phased.vcf.gz
chr18	graph	68466	24	6	18	38	73414	338	252420	251461	224772	224746	388	0.001726	131	1746048	15.08	7388328	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/graph/shared.vcf.gz
chr18	bam	69276	60	11	49	150	76536	440	280514	277617	281840	281816	4953	0.017575	2312	1718322	83.31	21340052	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/bam/shared.vcf.gz
chr18	hybrid	68489	28	6	22	680	73504	245	300613	295094	224747	224747	3108	0.013829	94	1821567	42.59	18110252	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/hybrid/shared.vcf.gz
chr18	graph_lock	68517	24	6	18	38	73465	337	259217	252420	228032	228006	402	0.001763	137	1748648	NA	NA	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/graph_lock/shared.vcf.gz
chr18	whatshap	71276	383	141	242	3589	86803	267	657650	358783	291444	291430	17984	0.06171	2240	1786952	363.27	986780	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/whatshap/phased.vcf.gz
chr18	whatshap_opt	70681	175	54	121	3345	83720	272	617116	501556	291072	291058	16228	0.055755	1878	1774915	404.65	1241668	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/whatshap_opt/phased.vcf.gz
chr18	hiphase	71004	145	34	111	2667	84444	238	733281	617116	305569	305559	17233	0.056398	3059	1827971	114.44	538392	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/hiphase/phased.vcf.gz
chr18	longphase	61665	112	31	81	742	70574	307	469571	454238	293658	293658	10105	0.034411	3770	1780319	19.74	1689476	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr18/longphase/phased.vcf.gz
chr20	graph	59109	24	9	15	16	64759	276	215328	203547	175870	175843	248	0.00141	135	937061	23.29	23710552	/home/kokyriakidis/Downloads/pgphase-eval-data/results/chr12-18-20-comparison/chr20/graph/shared.vcf.gz
