region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_3956345_3981464	3907852	3907852	171	0	0	0	False
chr20_3956345_3981464	3981464	3981464	119	0	0	0	False
chr20_4854217_4878943	4820631	4820631	160	0	0	0	False
chr20_4854217_4878943	4886360	4820631	179	0	0	0	False
chr20_11426743_11447789	11386626	11386626	143	0	0	0	False
chr20_11426743_11447789	11447789	11447789	50	0	0	0	False
chr20_11426743_11447789	11495992	11495992	73	0	0	0	False
chr20_18983414_19005497	18933942	18933942	208	0	0	0	False
chr20_18983414_19005497	18999993	18933942	281	0	0	1	False
chr20_23403554_23445252	23360562	23360562	144	0	0	0	False
chr20_23403554_23445252	23449834	23449834	33	0	0	0	False
chr20_23403554_23445252	23481134	23481134	60	0	0	0	False
chr20_24105188_24142287	24058168	24058168	34	0	0	0	False
chr20_24105188_24142287	24103779	24103779	53	0	0	0	False
chr20_24105188_24142287	24142287	24142287	265	0	0	0	False
chr20_35919404_35939110	35873360	35873360	245	0	0	0	False
chr20_35919404_35939110	35939110	35873360	48	0	48	1	True
chr20_46384021_46405048	46334126	46334126	195	0	0	0	False
chr20_46384021_46405048	46407462	46334126	225	0	0	0	False
chr20_46727050_46747637	46677273	46677273	229	1	1	0	False
chr20_46727050_46747637	46748667	46748667	172	0	0	0	False
chr20_54894127_54912022	54844260	54844260	199	0	0	0	False
chr20_54894127_54912022	54912022	54844260	220	0	0	0	False
chr20_55999561_56040612	55949998	55949998	269	0	0	0	False
chr20_55999561_56040612	56040612	55949998	39	0	0	1	False
chr20_57087239_57119478	57039576	57039576	175	0	0	0	False
chr20_57087239_57119478	57123860	57123860	191	0	0	0	False
chr20_57841772_57866713	57836194	57836194	63	0	0	0	False
chr20_57841772_57866713	57866713	57836194	104	0	0	1	False
chr20_58392336_58419975	58347188	58347188	63	0	0	0	False
chr20_58392336_58419975	58391091	58391091	61	1	1	0	False
chr20_58392336_58419975	58419975	58391091	51	0	0	0	False
chr20_58392336_58419975	58452672	58391091	116	0	0	0	False
chr20_60063142_60114911	60058235	60058235	39	0	39	0	True
chr20_60063142_60114911	60114911	60058235	167	0	0	0	False
chr20_62410496_62432427	62385548	62385548	157	0	0	0	False
chr20_62410496_62432427	62432427	62385548	229	0	0	0	False
chr20_36032227_36056601	36011708	36011708	67	0	0	0	False
chr20_36032227_36056601	36056601	36011708	45	0	0	0	False
chr20_36032227_36056601	36083127	36083127	5	0	0	0	False
chr20_54547514_54590762	54497560	54497560	286	0	0	0	False
chr20_54547514_54590762	54569072	54497560	246	0	0	0	False
