region	left	right	clean_target	clean_total_reads_evaluated	clean_discordant_reads	clean_total_phase_sets	clean_switchflip_errors	recovery2_target	recovery2_total_reads_evaluated	recovery2_discordant_reads	recovery2_total_phase_sets	recovery2_switchflip_errors	original_reads_preserved	added_tagged_reads
chr20_1912570_1913054	1912570	1913054	split	352	3	2	3	joined	354	3	1	3	352	2
chr20_3956345_3981464	3956345	3981464	split	290	0	2	0	split	290	0	2	0	290	0
chr20_4854217_4878943	4854217	4878943	split	339	0	2	0	joined	343	0	1	0	339	4
chr20_7028815_7064047	7028815	7064047	split	246	0	2	0	split	246	0	2	0	246	0
chr20_12256072_12277078	12256072	12277078	split	433	0	3	0	joined	434	0	1	0	433	1
chr20_20493042_20540928	20493042	20540928	split	261	0	2	0	split	318	0	2	0	261	57
chr20_21117402_21148338	21117402	21148338	split	227	0	2	0	split	227	0	2	0	227	0
chr20_23403554_23445252	23403554	23445252	split	236	0	3	0	split	236	0	3	0	236	0
chr20_38211030_38236063	38211030	38236063	split	158	1	2	1	split	158	1	2	1	158	0
chr20_57764235_57785772	57764235	57785772	split	283	1	2	1	joined	284	1	1	1	283	1
chr20_60063142_60114911	60063142	60114911	split	206	0	3	0	joined	206	0	2	0	210	0
