region	left	right	clean_target	clean_total_reads_evaluated	clean_discordant_reads	clean_total_phase_sets	clean_switchflip_errors	recovery2_target	recovery2_total_reads_evaluated	recovery2_discordant_reads	recovery2_total_phase_sets	recovery2_switchflip_errors	original_reads_preserved	added_tagged_reads
chr20_1086625_1110921	1086625	1110921	split	331	0	3	0	split	351	0	3	0	331	20
chr20_3956345_3981464	3956345	3981464	split	290	0	2	0	split	290	0	2	0	290	0
chr20_11233845_11262361	11233845	11262361	split	563	0	2	0	split	563	0	2	0	563	0
chr20_12721112_12752291	12721112	12752291	split	474	0	2	0	split	474	0	2	0	474	0
chr20_17607780_17667022	17607780	17667022	split	289	0	2	0	split	291	0	2	0	289	2
chr20_19358995_19395544	19358995	19395544	split	259	1	2	1	split	259	1	2	1	259	0
chr20_23403554_23445252	23403554	23445252	split	236	0	3	0	split	236	0	3	0	236	0
chr20_23460963_23481134	23460963	23481134	split	205	0	3	0	split	205	0	2	0	205	0
chr20_24105188_24142287	24105188	24142287	split	352	0	3	0	split	353	0	3	0	352	1
chr20_34079290_34134418	34079290	34134418	split	188	2	3	2	split	188	2	2	2	188	0
chr20_34791342_34811747	34791342	34811747	split	253	0	2	0	split	253	0	2	0	253	0
chr20_35244059_35357391	35244059	35357391	split	23	0	2	0	split	23	0	2	0	23	0
chr20_47671540_47713869	47671540	47713869	split	190	0	2	0	split	190	0	2	0	190	0
chr20_53926537_53962801	53926537	53962801	split	486	0	2	0	split	486	0	2	0	486	0
chr20_57087239_57119478	57087239	57119478	split	366	0	2	0	split	416	1	2	1	366	50
chr20_60033052_60056028	60033052	60056028	split	144	0	2	0	split	144	0	2	0	144	0
chr20_61664136_61690751	61664136	61690751	split	262	0	2	0	split	283	0	2	0	262	21
chr20_64902581_64905482	64902581	64905482	split	335	0	2	0	split	335	0	2	0	335	0
chr20_26602087_26651086	26602087	26651086	split	98	35	2	15	split	99	35	2	16	98	1
chr20_34864445_34893642	34864445	34893642	split	317	0	2	0	split	317	0	2	0	317	0
chr20_26626247_26651086	26626247	26651086	split	90	31	2	11	split	91	31	2	12	90	1
