region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	1	3906345	4031464	0	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	2	3906345	4031464	1	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	3	3906345	4031464	20	0	14	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	4	3906345	4031464	0	0	14	1	1	0	rejected
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	1	4804217	4928943	0	0	0	1	1	0	partial
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	2	4804217	4928943	2	2	0	1	1	4	partial
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	3	4804217	4928943	15	4	12	1	1	0	partial
chr20_4854217_4878943	CHM13#0#chr20	4854217	4886360	4	4804217	4928943	0	4	12	1	1	0	joined
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	1	11376743	11497789	0	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	2	11376743	11497789	2	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	3	11376743	11497789	9	0	2	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	4	11376743	11497789	0	0	2	1	1	0	rejected
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	1	11401978	11497789	0	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	2	11401978	11497789	8	1	0	1	1	1	partial
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	3	11401978	11497789	11	1	2	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	1	18933414	19049993	0	0	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	2	18933414	19049993	4	3	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	3	18933414	19049993	9	3	6	1	1	0	joined
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	1	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	2	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	3	23371003	23495252	11	0	9	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	4	23371003	23495252	0	0	9	1	1	0	rejected
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	1	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	2	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	3	23410963	23495252	5	0	3	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	4	23410963	23495252	0	0	3	1	1	0	rejected
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	1	24055188	24153779	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	2	24055188	24153779	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	3	24055188	24153779	4	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	1	24055188	24192287	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	2	24055188	24192287	2	1	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	3	24055188	24192287	4	1	3	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	4	24055188	24192287	0	1	3	1	1	0	rejected
chr20_35919404_35939110	CHM13#0#chr20	35919404	35939110	1	35869404	35989110	0	0	0	1	1	0	partial
chr20_35919404_35939110	CHM13#0#chr20	35919404	35939110	2	35869404	35989110	6	1	0	1	1	0	partial
chr20_35919404_35939110	CHM13#0#chr20	35919404	35939110	3	35869404	35989110	11	1	6	1	1	0	joined
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	1	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	2	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	3	46334021	46455048	14	0	13	1	1	0	joined
chr20_46727050_46747637	CHM13#0#chr20	46727050	46748667	1	46677050	46797637	0	0	0	1	1	0	partial
chr20_46727050_46747637	CHM13#0#chr20	46727050	46748667	2	46677050	46797637	3	3	0	1	1	14	partial
chr20_46727050_46747637	CHM13#0#chr20	46727050	46748667	3	46677050	46797637	5	3	5	1	1	0	partial
chr20_46727050_46747637	CHM13#0#chr20	46727050	46748667	4	46677050	46797637	0	3	5	1	1	0	rejected
chr20_54894127_54912022	CHM13#0#chr20	54894127	54912022	1	54844127	54962022	0	0	0	1	1	0	partial
chr20_54894127_54912022	CHM13#0#chr20	54894127	54912022	2	54844127	54962022	1	0	0	1	1	0	partial
chr20_54894127_54912022	CHM13#0#chr20	54894127	54912022	3	54844127	54962022	12	0	5	1	1	0	joined
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	1	55949561	56090612	0	0	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	2	55949561	56090612	2	2	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	3	55949561	56090612	19	2	15	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	4	55949561	56090612	0	2	15	1	1	0	joined
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	1	57037239	57169478	0	0	0	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	2	57037239	57169478	1	1	0	1	1	25	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	3	57037239	57169478	14	4	8	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	4	57037239	57169478	0	4	8	1	1	0	rejected
chr20_57841772_57866713	CHM13#0#chr20	57841772	57866713	1	57791772	57916713	0	0	0	1	1	0	partial
