chrom	left	right	before	after	discordant_before	discordant_after	evaluated_before	evaluated_after	switchflip_before	switchflip_after
chr20	863640	890261	split	split	0	0	435	435	0	0
chr20	1086625	1110921	split	split	0	0	352	352	0	0
chr20	12721112	12752291	split	split	0	0	474	474	0	0
chr20	17607780	17667022	split	split	0	0	302	302	0	0
chr20	19358995	19395544	split	split	1	1	260	260	1	1
chr20	23460963	23480815	unresolved_endpoint	unresolved_endpoint	0	0	205	205	0	0
chr20	23460963	23481134	split	split	0	0	205	205	0	0
chr20	37984529	38008026	split	split	1	1	459	459	1	1
chr20	47671540	47713869	split	split	0	0	192	192	0	0
chr20	53926537	53962801	split	joined	0	0	486	486	0	0
chr20	55999561	56040612	split	split	0	0	308	308	0	0
