region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	1	1036625	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	2	1036625	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1086625	1110921	3	1036625	1160921	2	0	3	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	1	1065860	1160921	0	0	0	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	2	1065860	1160921	1	1	0	1	1	20	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	3	1065860	1160921	6	1	5	1	1	0	partial
chr20_1086625_1110921	CHM13#0#chr20	1115860	1142089	4	1065860	1160921	0	1	5	1	1	0	rejected
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	1	3906345	4031464	0	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	2	3906345	4031464	1	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	3	3906345	4031464	20	0	14	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	4	3906345	4031464	0	0	14	1	1	0	rejected
chr20_11233845_11262361	CHM13#0#chr20	11233845	11262361	1	11183845	11312361	0	0	0	1	1	0	partial
chr20_11233845_11262361	CHM13#0#chr20	11233845	11262361	2	11183845	11312361	2	0	0	1	1	0	partial
chr20_11233845_11262361	CHM13#0#chr20	11233845	11262361	3	11183845	11312361	9	0	2	1	1	0	partial
chr20_11233845_11262361	CHM13#0#chr20	11233845	11262361	4	11183845	11312361	0	0	2	1	1	0	rejected
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	1	12671112	12802291	0	0	0	1	1	0	partial
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	2	12671112	12802291	1	0	0	1	1	0	partial
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	3	12671112	12802291	14	0	11	1	1	0	partial
chr20_17607780_17667022	CHM13#0#chr20	17607780	17667022	1	17557780	17717022	0	0	0	1	1	0	partial
chr20_17607780_17667022	CHM13#0#chr20	17607780	17667022	2	17557780	17717022	6	6	0	1	1	2	partial
chr20_17607780_17667022	CHM13#0#chr20	17607780	17667022	3	17557780	17717022	21	6	19	1	1	0	partial
chr20_17607780_17667022	CHM13#0#chr20	17607780	17667022	4	17557780	17717022	0	6	19	1	1	0	rejected
chr20_19358995_19395544	CHM13#0#chr20	19358995	19395544	1	19308995	19445544	0	0	0	1	1	0	partial
chr20_19358995_19395544	CHM13#0#chr20	19358995	19395544	2	19308995	19445544	0	0	0	1	1	0	partial
chr20_19358995_19395544	CHM13#0#chr20	19358995	19395544	3	19308995	19445544	9	0	9	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	1	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	2	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	3	23371003	23495252	11	0	9	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	4	23371003	23495252	0	0	9	1	1	0	rejected
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	1	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	2	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	3	23410963	23495252	5	0	3	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	4	23410963	23495252	0	0	3	1	1	0	rejected
chr20_23460963_23481134	CHM13#0#chr20	23460963	23481134	1	23410963	23531134	0	0	0	1	1	0	partial
chr20_23460963_23481134	CHM13#0#chr20	23460963	23481134	2	23410963	23531134	0	0	0	1	1	0	partial
chr20_23460963_23481134	CHM13#0#chr20	23460963	23481134	3	23410963	23531134	5	0	3	1	1	0	partial
chr20_23460963_23481134	CHM13#0#chr20	23460963	23481134	4	23410963	23531134	0	0	3	1	1	0	rejected
