region	left	right	clean_target	clean_total_reads_evaluated	clean_discordant_reads	clean_total_phase_sets	clean_switchflip_errors	recovery2_target	recovery2_total_reads_evaluated	recovery2_discordant_reads	recovery2_total_phase_sets	recovery2_switchflip_errors	original_reads_preserved	added_tagged_reads
chr20_3956345_3981464	3956345	3981464	split	294	0	2	0	split	294	0	2	0	294	0
chr20_4854217_4878943	4854217	4878943	split	339	0	2	0	joined	343	0	1	0	339	4
chr20_11426743_11447789	11426743	11447789	split	266	0	3	0	split	267	0	3	0	266	1
chr20_18983414_19005497	18983414	19005497	split	489	0	2	0	joined	489	0	1	0	489	0
chr20_23403554_23445252	23403554	23445252	split	237	0	3	0	split	237	0	3	0	237	0
chr20_24105188_24142287	24105188	24142287	split	352	0	3	0	split	352	0	3	0	352	0
chr20_35919404_35939110	35919404	35939110	split	293	0	2	0	joined	293	48	1	3	293	0
chr20_46384021_46405048	46384021	46405048	split	420	0	2	0	joined	420	0	1	0	420	0
chr20_46727050_46747637	46727050	46747637	split	401	2	2	2	joined	414	187	1	4	401	13
chr20_54894127_54912022	54894127	54912022	split	419	0	2	0	split	419	0	2	0	419	0
chr20_55999561_56040612	55999561	56040612	split	308	0	2	0	joined	308	0	1	0	308	0
chr20_57087239_57119478	57087239	57119478	split	366	0	2	0	split	391	0	2	0	366	25
chr20_57841772_57866713	57841772	57866713	split	167	0	2	0	joined	167	0	1	0	167	0
chr20_58392336_58419975	58392336	58419975	split	291	1	4	1	joined	291	1	2	1	291	0
chr20_60063142_60114911	60063142	60114911	split	246	0	3	0	joined	246	39	2	3	246	0
chr20_62410496_62432427	62410496	62432427	split	385	0	2	0	joined	385	0	1	0	385	0
chr20_36032227_36056601	36032227	36056601	split	117	0	3	0	joined	117	0	2	0	117	0
chr20_54547514_54590762	54547514	54590762	split	532	0	2	0	joined	541	0	1	0	532	9
