region	before_target	after_target	before_reads	after_reads	before_discordant	after_discordant	before_switchflips	after_switchflips
chr20_528852_545002	joined	joined	436	436	0	0	0	0
chr20_863640_890261	split	split	433	433	0	0	0	0
chr20_1086625_1110921	split	split	341	341	0	0	0	0
chr20_1499101_1523721	joined	joined	517	517	0	0	0	0
chr20_1912570_1913054	endpoint_unphased	endpoint_unphased	354	354	30	30	10	10
chr20_3529324_3550839	joined	joined	319	319	0	0	0	0
chr20_3956345_3981464	split	split	290	290	0	0	0	0
chr20_4618685_4642430	joined	joined	547	547	0	0	0	0
chr20_4854217_4878943	joined	joined	343	343	0	0	0	0
chr20_5242390_5272413	joined	joined	216	216	0	0	0	0
chr20_5309406_5331265	joined	joined	213	213	0	0	0	0
chr20_5506914_5533786	joined	joined	440	440	0	0	0	0
chr20_7028815_7064047	joined	joined	246	246	0	0	0	0
chr20_7218910_7250571	joined	joined	179	179	1	1	1	1
chr20_7264321_7280356	joined	joined	181	181	0	0	0	0
chr20_8977829_9014032	split	joined	397	397	0	0	0	0
chr20_10296487_10343595	joined	joined	567	567	0	0	0	0
chr20_11233845_11262361	split	split	563	563	0	0	0	0
chr20_11426743_11447789	split	split	267	267	0	0	0	0
chr20_11563166_11599138	split	joined	399	399	0	0	0	0
chr20_12256072_12277078	joined	joined	434	434	0	0	0	0
chr20_12721112_12752291	split	split	474	474	0	0	0	0
chr20_13180644_13230102	joined	joined	438	438	0	0	0	0
chr20_17499524_17521341	joined	joined	457	457	0	0	0	0
chr20_17607780_17667022	split	split	291	291	0	0	0	0
chr20_18194808_18218259	split	split	533	533	0	0	0	0
chr20_18983414_19005497	joined	joined	489	489	0	0	0	0
chr20_19358995_19395544	split	split	259	259	1	1	1	1
chr20_20493042_20540928	joined	joined	318	318	0	0	0	0
chr20_20662569_20731688	joined	joined	240	240	1	1	1	1
chr20_20874447_20895876	split	split	443	443	0	0	0	0
chr20_21117402_21148338	joined	joined	228	228	0	0	0	0
chr20_22702346_22729320	split	split	308	308	2	2	2	2
chr20_23403554_23445252	split	split	237	237	0	0	0	0
chr20_23460963_23481134	split	split	206	206	0	0	0	0
chr20_23482489_23503225	joined	joined	303	303	0	0	0	0
chr20_24105188_24142287	split	split	352	352	0	0	0	0
chr20_24357615_24379633	split	split	388	388	0	0	0	0
chr20_24574099_24601281	joined	joined	468	468	0	0	0	0
chr20_34030463_34072055	joined	joined	155	155	0	0	0	0
chr20_34079290_34134418	split	split	188	188	2	2	2	2
chr20_34791342_34811747	split	split	254	254	0	0	0	0
chr20_35244059_35357391	split	split	23	23	0	0	0	0
chr20_35919404_35939110	joined	joined	293	293	0	0	0	0
chr20_36247421_36268291	joined	joined	160	160	1	1	1	1
chr20_36268558_36299817	joined	joined	103	103	0	0	0	0
chr20_36332599_36381019	joined	joined	304	304	0	0	0	0
chr20_36614185_36629321	joined	joined	380	380	0	0	0	0
chr20_37005134_37018950	joined	joined	439	439	0	0	0	0
chr20_37984529_38008026	split	split	440	440	1	1	1	1
chr20_38211030_38236063	joined	joined	158	158	1	1	1	1
chr20_38259286_38303247	split	split	155	155	0	0	0	0
chr20_38370611_38393470	joined	joined	319	319	3	3	3	3
chr20_39848887_39856144	joined	joined	413	413	0	0	0	0
chr20_42191762_42208160	joined	joined	336	336	0	0	0	0
chr20_46384021_46405048	joined	joined	420	420	0	0	0	0
chr20_46727050_46747637	split	split	415	415	1	1	1	1
chr20_47019175_47026671	joined	joined	322	322	0	0	0	0
chr20_47671540_47713869	split	split	190	190	0	0	0	0
chr20_47738673_47762233	joined	joined	234	234	0	0	0	0
chr20_48022132_48043584	joined	joined	321	321	0	0	0	0
chr20_48925908_48950388	joined	joined	237	237	0	0	0	0
chr20_49072885_49096906	joined	joined	90	90	0	0	0	0
chr20_50540995_50562066	joined	joined	437	437	2	2	2	2
chr20_51145921_51165532	joined	joined	399	399	1	1	1	1
chr20_53926537_53962801	split	split	486	486	0	0	0	0
chr20_54675445_54702072	joined	joined	444	444	0	0	0	0
chr20_54894127_54912022	split	split	419	419	0	0	0	0
chr20_54976339_54988434	joined	joined	488	488	0	0	0	0
chr20_55472966_55492323	split	joined	452	452	0	0	0	0
chr20_55843827_55889113	joined	joined	358	358	0	0	0	0
chr20_55999561_56040612	joined	joined	308	308	0	0	0	0
chr20_56064697_56100715	joined	joined	274	274	0	0	0	0
chr20_56671109_56679959	joined	joined	366	366	0	0	0	0
chr20_56726836_56740521	joined	joined	410	410	0	0	0	0
chr20_56881860_56909075	joined	joined	476	476	0	0	0	0
chr20_57087239_57119478	split	split	391	391	0	0	0	0
chr20_57667169_57688923	split	split	325	325	0	0	0	0
chr20_57764235_57785772	joined	joined	284	284	1	1	1	1
chr20_57841772_57866713	joined	joined	167	167	0	0	0	0
chr20_57911734_57934951	joined	joined	339	339	0	0	0	0
chr20_58392336_58419975	joined	joined	291	291	1	1	1	1
chr20_58703912_58758263	split	joined	348	348	1	1	1	1
chr20_59825454_59867460	joined	joined	427	427	0	0	0	0
