region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	1	3906345	4031464	0	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	2	3906345	4031464	1	0	0	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	3	3906345	4031464	20	0	14	1	1	0	partial
chr20_3956345_3981464	CHM13#0#chr20	3956345	3981464	4	3906345	4031464	0	0	14	1	1	0	rejected
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	1	11376743	11497789	0	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	2	11376743	11497789	2	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	3	11376743	11497789	9	0	2	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11426743	11447789	4	11376743	11497789	0	0	2	1	1	0	rejected
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	1	11401978	11497789	0	0	0	1	1	0	partial
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	2	11401978	11497789	8	1	0	1	1	1	partial
chr20_11426743_11447789	CHM13#0#chr20	11451978	11495992	3	11401978	11497789	8	1	2	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	1	18933414	19049993	0	0	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	2	18933414	19049993	4	3	0	1	1	0	partial
chr20_18983414_19005497	CHM13#0#chr20	18967586	18999993	3	18933414	19049993	9	3	6	1	1	0	joined
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	1	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	2	23371003	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	3	23371003	23495252	11	0	9	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23421003	23449834	4	23371003	23495252	0	0	9	1	1	0	rejected
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	1	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	2	23410963	23495252	0	0	0	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	3	23410963	23495252	6	0	4	1	1	0	partial
chr20_23403554_23445252	CHM13#0#chr20	23460963	23481134	4	23410963	23495252	0	0	4	1	1	0	rejected
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	1	24055188	24153779	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	2	24055188	24153779	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24081165	24103779	3	24055188	24153779	4	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	1	24055188	24192287	0	0	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	2	24055188	24192287	2	1	0	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	3	24055188	24192287	5	1	4	1	1	0	partial
chr20_24105188_24142287	CHM13#0#chr20	24105188	24142287	4	24055188	24192287	0	1	4	1	1	0	rejected
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	1	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	2	46334021	46455048	0	0	0	1	1	0	partial
chr20_46384021_46405048	CHM13#0#chr20	46384021	46407462	3	46334021	46455048	14	0	13	1	1	0	joined
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	1	55949561	56090612	0	0	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	2	55949561	56090612	2	2	0	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	3	55949561	56090612	19	2	15	1	1	0	partial
chr20_55999561_56040612	CHM13#0#chr20	55999561	56040612	4	55949561	56090612	0	2	15	1	1	0	rejected
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	1	57037239	57169478	0	0	0	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	2	57037239	57169478	1	1	0	1	1	23	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	3	57037239	57169478	12	4	7	1	1	0	partial
chr20_57087239_57119478	CHM13#0#chr20	57085410	57123860	4	57037239	57169478	0	4	7	1	1	0	rejected
chr20_58392336_58419975	CHM13#0#chr20	58366458	58391091	1	58342336	58441091	0	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58366458	58391091	2	58342336	58441091	2	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58366458	58391091	3	58342336	58441091	16	0	9	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58366458	58391091	4	58342336	58441091	0	0	9	1	1	0	rejected
chr20_58392336_58419975	CHM13#0#chr20	58392336	58419975	1	58342336	58469975	0	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58392336	58419975	2	58342336	58469975	0	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58392336	58419975	3	58342336	58469975	8	0	6	1	1	0	joined
chr20_58392336_58419975	CHM13#0#chr20	58421174	58452672	1	58371174	58469975	0	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58421174	58452672	2	58371174	58469975	0	0	0	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58421174	58452672	3	58371174	58469975	14	0	8	1	1	0	partial
chr20_58392336_58419975	CHM13#0#chr20	58421174	58452672	4	58371174	58469975	0	0	8	1	1	0	joined
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	1	62360496	62482427	0	0	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	2	62360496	62482427	1	1	0	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	3	62360496	62482427	1	1	2	1	1	0	partial
chr20_62410496_62432427	CHM13#0#chr20	62408056	62432427	4	62360496	62482427	0	1	2	1	1	0	joined
