chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr12	111305479	27	59061	8	5	8	6	14	13	0.5185	6	2	HP1=MAT,HP2=PAT
chr12	47558144	209	92150	55	63	47	44	110	99	0.5263	1	2	HP1=PAT,HP2=MAT
chr12	64923006	175	102791	58	33	31	53	111	64	0.6343	11	15	HP1=MAT,HP2=PAT
chr12	55958858	66	35596	31	0	3	32	63	3	0.9545	0	3	HP1=MAT,HP2=PAT
chr12	133216094	220	113182	3	112	100	5	212	8	0.9636	2	4	HP1=PAT,HP2=MAT
chr12	65870079	41	60916	19	1	0	21	40	1	0.9756	0	1	HP1=MAT,HP2=PAT
chr12	132175917	123	59950	57	3	0	63	120	3	0.9756	0	3	HP1=MAT,HP2=PAT
chr12	74821923	45	56576	29	0	1	15	44	1	0.9778	0	1	HP1=MAT,HP2=PAT
chr12	87029583	91	73741	36	2	0	53	89	2	0.9780	1	1	HP1=MAT,HP2=PAT
chr12	2252787	142	50154	1	61	78	2	139	3	0.9789	0	3	HP1=PAT,HP2=MAT
chr12	24036248	48	35130	25	1	0	22	47	1	0.9792	0	1	HP1=MAT,HP2=PAT
chr12	74850004	48	55338	21	1	0	26	47	1	0.9792	0	1	HP1=MAT,HP2=PAT
chr12	82690158	146	68973	1	75	68	2	143	3	0.9795	0	3	HP1=PAT,HP2=MAT
chr12	122251691	50	61683	19	0	1	30	49	1	0.9800	0	1	HP1=MAT,HP2=PAT
chr12	40082646	54	20652	28	1	0	25	53	1	0.9815	0	1	HP1=MAT,HP2=PAT
chr12	51716748	64	32185	32	0	1	31	63	1	0.9844	0	1	HP1=MAT,HP2=PAT
chr12	44471515	145	39579	77	0	2	66	143	2	0.9862	0	2	HP1=MAT,HP2=PAT
chr12	56293152	147	66968	0	76	69	2	145	2	0.9864	0	2	HP1=PAT,HP2=MAT
chr12	81376794	79	55619	1	45	33	0	78	1	0.9873	0	1	HP1=PAT,HP2=MAT
chr12	20305124	91	46093	1	53	37	0	90	1	0.9890	0	1	HP1=PAT,HP2=MAT
chr12	86396039	106	71570	1	55	50	0	105	1	0.9906	0	1	HP1=PAT,HP2=MAT
chr12	132101544	118	49329	52	0	1	65	117	1	0.9915	0	1	HP1=MAT,HP2=PAT
chr12	48626063	122	59188	0	75	46	1	121	1	0.9918	0	1	HP1=PAT,HP2=MAT
chr12	123744174	129	94366	62	0	1	66	128	1	0.9922	1	0	HP1=MAT,HP2=PAT
chr12	86745735	134	75014	62	1	0	71	133	1	0.9925	0	1	HP1=MAT,HP2=PAT
chr12	74725382	285	107855	131	2	0	152	283	2	0.9930	0	2	HP1=MAT,HP2=PAT
chr12	29423503	173	112516	0	83	89	1	172	1	0.9942	0	1	HP1=PAT,HP2=MAT
chr12	122803362	176	107137	0	86	89	1	175	1	0.9943	0	1	HP1=PAT,HP2=MAT
chr12	40342650	200	75702	0	110	89	1	199	1	0.9950	0	1	HP1=PAT,HP2=MAT
chr12	49904294	207	73693	93	0	1	113	206	1	0.9952	0	1	HP1=MAT,HP2=PAT
chr12	124387741	432	199792	2	219	211	0	430	2	0.9954	2	0	HP1=PAT,HP2=MAT
chr12	51853315	246	84435	0	134	111	1	245	1	0.9959	0	1	HP1=PAT,HP2=MAT
chr12	129521465	535	200652	261	1	1	272	533	2	0.9963	0	2	HP1=MAT,HP2=PAT
chr12	45196016	270	86199	136	1	0	133	269	1	0.9963	0	1	HP1=MAT,HP2=PAT
chr12	15803821	549	169691	1	285	262	1	547	2	0.9964	0	2	HP1=PAT,HP2=MAT
chr12	8286940	388	122249	1	186	201	0	387	1	0.9974	0	1	HP1=PAT,HP2=MAT
chr12	93624375	425	154551	1	221	203	0	424	1	0.9976	0	1	HP1=PAT,HP2=MAT
chr12	93329013	437	175512	224	0	1	212	436	1	0.9977	0	1	HP1=MAT,HP2=PAT
chr12	79476124	564	214486	302	1	0	261	563	1	0.9982	0	1	HP1=MAT,HP2=PAT
chr12	48779495	578	192661	0	296	281	1	577	1	0.9983	0	1	HP1=PAT,HP2=MAT
chr12	14650919	1875	579313	945	3	0	927	1872	3	0.9984	1	1	HP1=MAT,HP2=PAT
chr12	15295677	1257	324515	1	638	617	1	1255	2	0.9984	0	2	HP1=PAT,HP2=MAT
chr12	94509663	638	205479	0	338	299	1	637	1	0.9984	0	1	HP1=PAT,HP2=MAT
chr12	112802342	1975	613764	987	2	1	985	1972	3	0.9985	0	3	HP1=MAT,HP2=PAT
chr12	113623816	697	232523	0	359	337	1	696	1	0.9986	0	1	HP1=PAT,HP2=MAT
chr12	121340340	1448	515621	1	730	716	1	1446	2	0.9986	0	2	HP1=PAT,HP2=MAT
chr12	56978140	897	272570	0	470	426	1	896	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr12	88123461	906	274954	433	1	0	472	905	1	0.9989	0	1	HP1=MAT,HP2=PAT
chr12	8404941	965	298724	1	482	482	0	964	1	0.9990	0	1	HP1=PAT,HP2=MAT
chr12	30966265	14668	4317621	7263	13	2	7390	14653	15	0.9990	7	4	HP1=MAT,HP2=PAT
