region	left	right	clean_target	clean_total_reads_evaluated	clean_discordant_reads	clean_total_phase_sets	clean_switchflip_errors	recovery2_target	recovery2_total_reads_evaluated	recovery2_discordant_reads	recovery2_total_phase_sets	recovery2_switchflip_errors	original_reads_preserved	added_tagged_reads
chr20_528852_545002	528852	545002	split	423	0	2	0	joined	436	0	1	0	423	13
chr20_863640_890261	863640	890261	split	431	0	2	0	split	433	0	2	0	431	2
chr20_1086625_1110921	1086625	1110921	split	331	0	3	0	split	341	0	3	0	331	10
chr20_1499101_1523721	1499101	1523721	split	517	0	2	0	joined	517	0	1	0	517	0
chr20_1912570_1913054	1912570	1913054	split	354	30	2	7	endpoint_unphased	354	30	1	10	354	0
chr20_3529324_3550839	3529324	3550839	split	277	0	3	0	joined	319	0	2	0	277	42
chr20_3956345_3981464	3956345	3981464	split	290	0	2	0	split	290	0	2	0	290	0
chr20_4618685_4642430	4618685	4642430	split	547	0	2	0	joined	547	0	1	0	547	0
chr20_4854217_4878943	4854217	4878943	split	339	0	2	0	joined	343	0	1	0	339	4
chr20_5242390_5272413	5242390	5272413	split	216	0	2	0	joined	216	0	1	0	216	0
chr20_5309406_5331265	5309406	5331265	split	213	0	2	0	joined	213	0	1	0	213	0
chr20_5506914_5533786	5506914	5533786	split	440	0	2	0	joined	440	0	1	0	440	0
chr20_7028815_7064047	7028815	7064047	split	246	0	2	0	split	246	0	2	0	246	0
chr20_7218910_7250571	7218910	7250571	split	114	0	3	0	joined	179	1	1	1	114	65
chr20_7264321_7280356	7264321	7280356	split	181	0	2	0	joined	181	0	1	0	181	0
chr20_8977829_9014032	8977829	9014032	split	397	0	2	0	joined	397	0	1	0	397	0
chr20_10296487_10343595	10296487	10343595	split	567	0	2	0	joined	567	0	1	0	567	0
chr20_11233845_11262361	11233845	11262361	split	563	0	2	0	split	563	0	2	0	563	0
chr20_11426743_11447789	11426743	11447789	split	266	0	3	0	joined	267	0	2	0	266	1
chr20_11563166_11599138	11563166	11599138	split	399	0	2	0	joined	399	0	1	0	399	0
chr20_12256072_12277078	12256072	12277078	split	434	0	3	0	joined	434	0	1	0	434	0
chr20_12721112_12752291	12721112	12752291	split	474	0	2	0	joined	474	0	1	0	474	0
chr20_13180644_13230102	13180644	13230102	split	438	0	2	0	joined	438	0	1	0	438	0
chr20_17499524_17521341	17499524	17521341	split	453	0	2	0	joined	457	0	1	0	453	4
chr20_17607780_17667022	17607780	17667022	split	289	0	2	0	split	291	0	2	0	289	2
chr20_18194808_18218259	18194808	18218259	split	533	0	2	0	joined	533	0	1	0	533	0
chr20_18983414_19005497	18983414	19005497	split	489	0	2	0	joined	489	0	1	0	489	0
chr20_19358995_19395544	19358995	19395544	split	259	1	2	1	split	259	1	2	1	259	0
chr20_20493042_20540928	20493042	20540928	split	261	0	2	0	split	318	0	2	0	261	57
chr20_20662569_20731688	20662569	20731688	split	217	1	2	1	joined	240	1	1	1	217	23
chr20_20874447_20895876	20874447	20895876	split	443	0	2	0	joined	443	0	1	0	443	0
chr20_21117402_21148338	21117402	21148338	split	228	0	2	0	split	228	0	2	0	228	0
chr20_22702346_22729320	22702346	22729320	split	302	2	2	2	split	308	2	2	2	302	6
chr20_23403554_23445252	23403554	23445252	split	237	0	3	0	split	237	0	3	0	237	0
chr20_23460963_23481134	23460963	23481134	split	206	0	3	0	split	206	0	2	0	206	0
chr20_23482489_23503225	23482489	23503225	split	303	0	3	0	joined	303	0	2	0	303	0
chr20_24105188_24142287	24105188	24142287	split	352	0	3	0	split	352	0	3	0	352	0
chr20_24357615_24379633	24357615	24379633	split	388	0	2	0	joined	388	0	1	0	388	0
chr20_24574099_24601281	24574099	24601281	split	468	0	2	0	joined	468	0	1	0	468	0
chr20_34030463_34072055	34030463	34072055	split	99	0	2	0	joined	156	0	1	0	99	57
chr20_34079290_34134418	34079290	34134418	split	188	2	3	2	split	188	2	2	2	188	0
chr20_34791342_34811747	34791342	34811747	split	254	0	2	0	split	254	0	2	0	254	0
chr20_35244059_35357391	35244059	35357391	split	23	0	2	0	split	23	0	2	0	23	0
chr20_35919404_35939110	35919404	35939110	split	293	0	2	0	joined	293	0	1	0	293	0
chr20_36247421_36268291	36247421	36268291	split	160	1	3	1	joined	160	1	1	1	160	0
chr20_36268558_36299817	36268558	36299817	split	103	0	3	0	joined	103	0	1	0	103	0
chr20_36332599_36381019	36332599	36381019	split	214	0	2	0	joined	304	0	1	0	214	90
chr20_36614185_36629321	36614185	36629321	split	380	0	2	0	joined	380	0	1	0	380	0
chr20_37005134_37018950	37005134	37018950	split	432	0	2	0	joined	439	0	1	0	432	7
chr20_37984529_38008026	37984529	38008026	split	440	1	2	1	split	440	1	2	1	440	0
chr20_38211030_38236063	38211030	38236063	split	158	1	2	1	split	158	1	2	1	158	0
chr20_38259286_38303247	38259286	38303247	split	152	0	3	0	joined	155	0	1	0	152	3
chr20_38370611_38393470	38370611	38393470	split	319	3	2	3	joined	319	3	1	3	319	0
chr20_39848887_39856144	39848887	39856144	split	407	0	2	0	joined	413	0	1	0	407	6
chr20_42191762_42208160	42191762	42208160	split	336	0	2	0	joined	336	0	1	0	336	0
chr20_46384021_46405048	46384021	46405048	split	420	0	2	0	joined	420	0	1	0	420	0
chr20_46727050_46747637	46727050	46747637	split	401	1	2	1	split	415	1	2	1	401	14
chr20_47019175_47026671	47019175	47026671	split	293	0	2	0	joined	322	0	1	0	293	29
chr20_47671540_47713869	47671540	47713869	split	190	0	2	0	split	190	0	2	0	190	0
chr20_47738673_47762233	47738673	47762233	split	234	0	2	0	joined	234	0	1	0	234	0
chr20_48022132_48043584	48022132	48043584	split	321	0	2	0	joined	321	0	1	0	321	0
chr20_48925908_48950388	48925908	48950388	split	237	0	2	0	joined	237	0	1	0	237	0
chr20_49072885_49096906	49072885	49096906	split	80	0	2	0	joined	90	0	1	0	80	10
