region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_12721112_12752291	12672265	12672265	230	0	0	0	False
chr20_12721112_12752291	12752291	12752291	244	0	0	0	False
chr20_18194808_18218259	18144870	18144870	272	0	0	0	False
chr20_18194808_18218259	18218259	18144870	260	0	0	0	False
chr20_35919404_35939110	35873360	35873360	245	0	0	0	False
chr20_35919404_35939110	35939110	35873360	48	0	0	0	False
chr20_46727050_46747637	46677273	46677273	228	1	1	0	False
chr20_46727050_46747637	46748667	46748667	172	0	0	0	False
chr20_54894127_54912022	54844260	54844260	198	0	0	0	False
chr20_54894127_54912022	54912022	54844260	220	0	0	0	False
chr20_60063142_60114911	60058235	60058235	39	0	0	0	False
chr20_60063142_60114911	60114911	60058235	167	0	0	1	False
