region	before_target	after_target	before_reads	after_reads	before_discordant	after_discordant	before_switchflips	after_switchflips
chr20_528852_545002	joined	joined	436	485	0	0	0	0
chr20_863640_890261	split	split	433	433	0	0	0	0
chr20_1086625_1110921	split	split	341	351	0	0	0	0
chr20_1499101_1523721	joined	joined	517	517	0	0	0	0
chr20_1912570_1913054	joined	joined	354	354	3	3	3	3
chr20_3529324_3550839	joined	joined	319	322	0	0	0	0
chr20_3956345_3981464	split	split	290	290	0	0	0	0
chr20_4618685_4642430	joined	joined	547	572	0	0	0	0
chr20_4854217_4878943	joined	joined	343	346	0	0	0	0
chr20_5242390_5272413	joined	joined	216	223	0	0	0	0
chr20_5309406_5331265	joined	joined	213	213	0	0	0	0
chr20_5506914_5533786	joined	joined	440	440	0	0	0	0
chr20_7028815_7064047	joined	joined	246	246	0	0	0	0
chr20_7218910_7250571	joined	joined	179	201	1	2	1	2
chr20_7264321_7280356	joined	joined	181	181	0	0	0	0
chr20_8977829_9014032	joined	joined	397	397	0	0	0	0
chr20_10296487_10343595	joined	joined	567	567	0	0	0	0
chr20_11233845_11262361	split	split	563	563	0	0	0	0
chr20_11426743_11447789	joined	joined	267	267	0	0	0	0
chr20_11563166_11599138	joined	joined	399	399	0	0	0	0
chr20_12256072_12277078	joined	joined	434	434	0	0	0	0
chr20_12721112_12752291	split	split	474	474	0	0	0	0
chr20_13180644_13230102	joined	joined	438	438	0	0	0	0
chr20_17499524_17521341	joined	joined	457	457	0	0	0	0
chr20_17607780_17667022	split	split	291	291	0	0	0	0
chr20_18194808_18218259	joined	joined	533	533	0	0	0	0
chr20_18983414_19005497	joined	joined	489	489	0	0	0	0
chr20_19358995_19395544	split	split	259	259	1	1	1	1
chr20_20493042_20540928	joined	joined	318	319	0	0	0	0
chr20_20662569_20731688	joined	joined	240	240	1	1	1	1
chr20_20874447_20895876	joined	joined	443	443	0	0	0	0
chr20_21117402_21148338	joined	joined	227	227	0	0	0	0
chr20_22702346_22729320	split	joined	308	320	2	2	2	2
chr20_23403554_23445252	split	split	236	236	0	0	0	0
chr20_23460963_23481134	split	split	205	205	0	0	0	0
chr20_23482489_23503225	joined	joined	302	302	0	0	0	0
chr20_24105188_24142287	split	split	352	353	0	0	0	0
chr20_24357615_24379633	joined	joined	388	388	0	0	0	0
chr20_24574099_24601281	joined	joined	468	492	0	0	0	0
chr20_34030463_34072055	joined	joined	155	167	0	0	0	0
chr20_34079290_34134418	split	split	188	188	2	2	2	2
chr20_34791342_34811747	split	split	253	253	0	0	0	0
chr20_35244059_35357391	split	split	23	23	0	0	0	0
chr20_35919404_35939110	joined	joined	293	294	0	0	0	0
chr20_36247421_36268291	joined	joined	160	203	1	3	1	3
chr20_36268558_36299817	joined	joined	103	146	0	2	0	2
chr20_36332599_36381019	joined	joined	304	322	0	0	0	0
chr20_36614185_36629321	joined	joined	380	380	0	0	0	0
chr20_37005134_37018950	joined	joined	439	439	0	0	0	0
chr20_37984529_38008026	split	split	440	456	1	1	1	1
chr20_38211030_38236063	joined	joined	158	158	1	1	1	1
chr20_38259286_38303247	joined	joined	155	158	0	0	0	0
chr20_38370611_38393470	joined	joined	319	319	3	3	3	3
chr20_39848887_39856144	joined	joined	413	462	0	0	0	0
chr20_42191762_42208160	joined	joined	336	383	0	0	0	0
chr20_46384021_46405048	joined	joined	420	420	0	0	0	0
chr20_46727050_46747637	joined	joined	415	425	1	5	1	5
chr20_47019175_47026671	joined	joined	322	359	0	2	0	2
chr20_47671540_47713869	split	split	190	190	0	0	0	0
chr20_47738673_47762233	joined	joined	234	234	0	0	0	0
chr20_48022132_48043584	joined	joined	321	321	0	0	0	0
chr20_48925908_48950388	joined	joined	237	237	0	0	0	0
chr20_49072885_49096906	joined	joined	90	90	0	0	0	0
chr20_50540995_50562066	joined	joined	437	437	2	2	2	2
chr20_51145921_51165532	joined	joined	399	399	1	1	1	1
chr20_53926537_53962801	split	split	486	486	0	0	0	0
chr20_54675445_54702072	joined	joined	444	496	0	4	0	4
chr20_54894127_54912022	joined	joined	419	419	0	0	0	0
chr20_54976339_54988434	joined	joined	488	495	0	2	0	2
chr20_55472966_55492323	joined	joined	452	452	0	0	0	0
chr20_55843827_55889113	joined	joined	358	369	0	0	0	0
chr20_55999561_56040612	joined	joined	308	342	0	0	0	0
chr20_56064697_56100715	joined	joined	274	274	0	0	0	0
chr20_56671109_56679959	joined	joined	366	367	0	0	0	0
chr20_56726836_56740521	joined	joined	410	414	0	0	0	0
chr20_56881860_56909075	joined	joined	476	476	0	0	0	0
chr20_57087239_57119478	split	split	391	416	0	1	0	1
chr20_57667169_57688923	joined	joined	325	325	0	0	0	0
chr20_57764235_57785772	joined	joined	284	284	1	1	1	1
chr20_57841772_57866713	joined	joined	167	167	0	0	0	0
chr20_57911734_57934951	joined	joined	339	339	0	0	0	0
chr20_58392336_58419975	joined	joined	291	291	1	1	1	1
chr20_58703912_58758263	joined	joined	348	348	1	1	1	1
chr20_59825454_59867460	joined	joined	427	427	0	0	0	0
chr20_60033052_60056028	split	split	144	196	0	1	0	1
chr20_60063142_60114911	joined	joined	206	262	0	1	0	1
chr20_61664136_61690751	split	split	283	283	0	0	0	0
chr20_62410496_62432427	joined	joined	386	386	0	0	0	0
chr20_62623253_62637077	joined	joined	313	313	1	1	1	1
chr20_63945865_63969922	joined	joined	422	422	0	0	0	0
chr20_64902581_64905482	split	split	335	335	0	0	0	0
chr20_26602087_26651086	split	split	99	100	35	36	16	16
chr20_34864445_34893642	split	split	317	317	0	0	0	0
chr20_26626247_26651086	split	split	91	92	31	32	12	12
chr20_33210466_33233843	joined	joined	298	298	0	0	0	0
chr20_1912570_1913912	joined	joined	354	354	3	3	3	3
chr20_3786668_3806891	joined	joined	330	330	0	0	0	0
chr20_4011717_4022923	joined	joined	302	321	0	0	0	0
chr20_36032227_36056601	joined	joined	117	144	0	1	0	1
chr20_39838293_39856144	joined	joined	460	509	0	0	0	0
chr20_42184827_42208160	joined	joined	336	383	0	0	0	0
chr20_46384021_46407462	joined	joined	424	424	0	0	0	0
chr20_46609387_46629630	joined	joined	366	366	0	0	0	0
chr20_47002481_47026671	joined	joined	322	359	0	2	0	2
chr20_49071976_49102876	joined	joined	90	90	0	0	0	0
chr20_51142695_51165532	joined	joined	438	438	1	1	1	1
chr20_54547514_54590762	joined	joined	541	601	0	2	0	2
chr20_54976282_54993445	joined	joined	514	521	0	2	0	2
chr20_55472966_55492791	joined	joined	452	452	0	0	0	0
chr20_56662188_56679959	joined	joined	404	405	0	0	0	0
chr20_56880401_56909075	joined	joined	477	477	0	0	0	0
chr20_61732321_61782778	split	joined	331	333	3	0	3	0
chr20_62623253_62645168	joined	joined	342	342	1	1	1	1
chr20_64128828_64144962	joined	joined	316	319	0	0	0	0
