region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_528852_545002	487305	487305	167	0	0	0	False
chr20_528852_545002	545002	487305	259	0	0	0	False
chr20_863640_890261	817007	817007	180	0	0	0	False
chr20_863640_890261	890260	890260	252	0	0	0	False
chr20_1086625_1110921	1037387	1037387	220	0	0	0	False
chr20_1086625_1110921	1110921	1110921	54	0	0	0	False
chr20_1086625_1110921	1142089	1110921	58	0	0	1	False
chr20_1499101_1523721	1450106	1450106	283	0	0	0	False
chr20_1499101_1523721	1523721	1450106	234	0	0	1	False
chr20_1912570_1913054	1862825	1862825	164	28	28	0	False
chr20_1912570_1913054	1902079	1862825	190	0	0	1	False
chr20_3529324_3550839	3481320	3481320	132	0	0	0	False
chr20_3529324_3550839	3550839	3481320	88	0	0	1	False
chr20_3529324_3550839	3597791	3597791	57	0	0	0	False
chr20_3956345_3981464	3907852	3907852	175	0	0	0	False
chr20_3956345_3981464	3981464	3907852	119	0	119	1	True
chr20_4618685_4642430	4570122	4570122	300	0	0	0	False
chr20_4618685_4642430	4642430	4570122	247	0	0	0	False
chr20_4854217_4878943	4820631	4820631	160	0	0	0	False
chr20_4854217_4878943	4886360	4820631	179	0	0	0	False
chr20_5242390_5272413	5239260	5239260	63	0	0	0	False
chr20_5242390_5272413	5272413	5239260	153	0	0	1	False
chr20_5309406_5331265	5272413	5272413	153	0	0	0	False
chr20_5309406_5331265	5345085	5272413	60	0	0	0	False
chr20_5506914_5533786	5457491	5457491	213	0	0	0	False
chr20_5506914_5533786	5533785	5457491	227	0	0	1	False
chr20_7028815_7064047	6997093	6997093	221	0	0	0	False
chr20_7028815_7064047	7064047	7064047	25	0	0	0	False
chr20_7218910_7250571	7206650	7206650	14	0	0	0	False
chr20_7218910_7250571	7250571	7206650	18	0	0	0	False
chr20_7218910_7250571	7280356	7206650	82	0	0	0	False
chr20_7264321_7280356	7250571	7250571	18	0	0	0	False
chr20_7264321_7280356	7280356	7250571	163	0	0	0	False
chr20_8977829_9014032	8946528	8946528	174	0	0	0	False
chr20_8977829_9014032	9014032	8946528	223	0	0	1	False
chr20_10296487_10343595	10246595	10246595	293	0	0	0	False
chr20_10296487_10343595	10343595	10246595	274	0	0	1	False
chr20_11233845_11262361	11183861	11183861	277	0	0	0	False
chr20_11233845_11262361	11262361	11183861	286	0	0	0	False
chr20_11426743_11447789	11386626	11386626	143	0	0	0	False
chr20_11426743_11447789	11447789	11386626	50	0	50	1	True
chr20_11426743_11447789	11495992	11495992	73	0	0	0	False
chr20_11563166_11599138	11517849	11517849	124	0	0	0	False
chr20_11563166_11599138	11599138	11517849	275	0	0	1	False
chr20_12256072_12277078	12207456	12207456	196	0	0	0	False
chr20_12256072_12277078	12277078	12207456	245	0	0	0	False
chr20_12721112_12752291	12672265	12672265	230	0	0	0	False
chr20_12721112_12752291	12752291	12672265	244	0	0	1	False
chr20_13180644_13230102	13136021	13136021	251	0	0	0	False
chr20_13180644_13230102	13208341	13136021	187	0	0	1	False
chr20_17499524_17521341	17450003	17450003	222	0	0	0	False
chr20_17499524_17521341	17521341	17450003	231	0	0	1	False
chr20_17607780_17667022	17559224	17559224	215	0	0	0	False
chr20_17607780_17667022	17667022	17559224	74	0	0	0	False
chr20_18194808_18218259	18144870	18144870	273	0	0	0	False
chr20_18194808_18218259	18218259	18218259	259	0	0	0	False
chr20_18983414_19005497	18933942	18933942	208	0	0	0	False
chr20_18983414_19005497	18999993	18933942	281	0	0	1	False
chr20_19358995_19395544	19310196	19310196	93	0	93	0	True
