region	original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
chr20_12256072_12277078	12207456	12207456	119	0	0	0	False
chr20_12256072_12277078	12243047	12207456	70	0	0	0	False
chr20_12256072_12277078	12277078	12207456	245	0	0	0	False
chr20_12721112_12752291	12672265	12672265	230	0	0	0	False
chr20_12721112_12752291	12752291	12752291	244	0	0	0	False
chr20_34079290_34134418	34055830	34055830	42	0	0	0	False
chr20_34079290_34134418	34134418	34134418	65	2	2	0	False
chr20_34079290_34134418	34162219	34134418	81	0	0	1	False
chr20_35919404_35939110	35873360	35873360	245	0	0	0	False
chr20_35919404_35939110	35939110	35873360	48	0	0	0	False
chr20_60063142_60114911	60058235	60058235	39	0	0	0	False
chr20_60063142_60114911	60114911	60114911	167	0	0	0	False
chr20_34864445_34893642	34818318	34818318	113	0	0	0	False
chr20_34864445_34893642	34893642	34893642	204	0	0	0	False
