left	right	gap_bp	pg_left_ps	pg_right_ps	hiphase_left_ps	hiphase_right_ps	hiphase_joined	truth_reads	truth_purity	left_reads	left_purity	right_reads	right_purity	side_agree
528827	528828	1	130541	487305	130540	130540	1	146	0.9863	102	1.0	114	0.9825	1
542052	545002	2950	487305	545002	130540	130540	1	166	0.988	114	0.9825	110	1.0	1
1499101	1508171	9070	1194189	1450106	1142089	1142089	1	184	1.0	105	1.0	105	1.0	1
2523334	2524991	1657	2332869	2475250	2342133	2342133	1	178	0.9775	116	1.0	127	0.9685	1
3597766	3597791	25	3542977	3597791		2342133	0	0		0		0		
3852321	3855872	3551	3804997	3855872	2342133		0	0		0		0		
3870827	3876190	5363	3855872	3876190	2342133		0	0		0		0		
3956345	3959665	3320	3876190	3947822	2342133		0	0		0		0		
4637298	4642430	5132	4570122	4642430		4570122	0	0		0		0		
5256785	5263741	6956	5239260	5263741	5239260	5239260	1	148	0.9797	86	0.9651	92	0.9674	1
6184388	6184576	188	6164985	6164984	5533786	5533786	1	131	1.0	84	1.0	111	1.0	1
6513891	6516221	2330	6513891	6513892	6513891	6513891	1	119	0.916	91	0.8901	107	0.9065	1
6639943	6647270	7327	6582249	6647270		6647270	0	0		0		0		
7859472	7861288	1816	7808916	7861288	7859472	7859472	1	72	0.9583	61	0.9508	66	1.0	1
8166027	8172072	6045	8106314	8172072		8106314	0	0		0		0		
8632381	8638940	6559	8172072	8583493	8106314	8106314	1	188	1.0	138	1.0	102	1.0	1
10706319	10707388	1069	10337661	10659405	9014032	9014032	1	133	0.9398	92	0.9457	102	0.9216	1
11255369	11262361	6992	11157014	11262361		11262361	0	0		0		0		
11357244	11360353	3109	11262361	11262362	11262361	11262361	1	173	0.9827	112	0.9911	124	0.9758	1
11386626	11388407	1781	11262362	11386626	11262361	11262361	1	184	0.9946	120	0.9917	140	1.0	1
12269535	12277078	7543	12236263	12277078	12243047	12243047	1	201	0.9502	130	0.9231	124	1.0	1
12409891	12411075	1184	12277078	12361654	12243047	12243047	1	176	1.0	118	1.0	127	1.0	1
12458901	12459678	777	12361654	12458901	12243047	12243047	1	148	1.0	110	1.0	115	1.0	1
14235594	14239930	4336	14235593	14226685	14235594	14235594	1	71	0.9859	70	0.9857	46	0.9783	1
14577646	14584522	6876	14458292	14528929	14470800	14470800	1	167	1.0	135	1.0	81	1.0	1
15100456	15101262	806	15071132	15101262		14719378	0	0		0		0		
15307854	15308016	162	15101262	15258549	14719378	14719378	1	159	1.0	116	1.0	121	1.0	1
15413105	15413809	704	15367755	15413105	14719378	14719378	1	150	0.9933	109	0.9908	108	1.0	1
15670349	15672865	2516	15606145	15668483	15606145	15606145	1	157	0.9936	110	0.9909	100	1.0	1
16733020	16733530	510	16715241	16715242	16715241	16715241	1	141	0.9787	106	1.0	108	0.9722	1
17616778	17625527	8749	17521341	17625527	16715241	16715241	1	168	0.994	92	1.0	106	0.9906	1
17839393	17839398	5	17774311	17839398	17667022	17667022	1	137	0.5766	87	0.6667	111	0.7117	0
19516910	19526088	9178	19502531	19526088		19502530	0	0		0		0		
20517551	20523887	6336	20517197	20523884	20517197	20517197	1	124	0.9597	69	0.971	91	0.956	1
20782613	20782736	123	20688011	20782736	20782613	20782613	1	112	0.8393	76	1.0	110	0.8364	1
21172487	21172501	14	21148338	21172501	20782613		0	0		0		0		
21179807	21183846	4039	21172501	21179789	20782613	20782613	1	135	0.9037	118	0.8898	72	1.0	1
21508668	21514518	5850	21504840	21514518	21504840	21504840	1	146	0.9726	79	0.962	107	0.9813	1
21514518	21518393	3875	21514518	21518393	21504840	21504840	1	162	0.9753	103	0.9612	110	0.9818	1
22565006	22565036	30	22520628	22565036			0	0		0		0		
22661804	22668436	6632	22625517	22668436	22661804	22661804	1	132	0.8636	70	0.7429	99	0.9899	1
23437698	23445252	7554	23008891	23445252		23008891	0	0		0		0		
25070986	25077613	6627	24601280	25028568	24131707	24131707	1	152	1.0	103	1.0	73	1.0	1
25102178	25109617	7439	25028568	25102178	24131707	24131707	1	139	1.0	74	1.0	92	1.0	1
25855631	25855633	2	25102178	25805896			0	0		0		0		
25978193	25979153	960	25805896	25979153	25972218	25972218	1	29	1.0	4	1.0	29	1.0	1
30791984	30794399	2415	30791916	30794399	30780237	30780237	1	41	0.6341	36	0.6389	35	0.7429	1
31822523	31831079	8556	31807362	31831078		31807199	0	0		0		0		
32431751	32432269	518	32431751	32432269	32431751	32431751	1	8	1.0	7	1.0	8	1.0	1
32490058	32490150	92	32467816	32490150	32467816	32467816	1	40	1.0	35	1.0	33	1.0	1
32597133	32602250	5117	32597133	32602250		32602250	0	0		0		0		
33295976	33302150	6174	33229076	33256748	33233843		0	0		0		0		
33314735	33320808	6073	33256748	33320808		33233843	0	0		0		0		
33812283	33819342	7059	33778263	33819342		33819342	0	0		0		0		
33840457	33843244	2787	33819342	33843244		33843244	0	0		0		0		
33900600	33901531	931	33889001	33901530		33889001	0	0		0		0		
34094604	34102867	8263	34046350	34102867		34018169	0	0		0		0		
34135104	34135913	809	34134418	34134419	34018169	34018169	1	135	0.9556	102	0.9804	97	0.9381	1
34844194	34844579	385	34772931	34844579	34018169	34018169	1	117	1.0	93	1.0	84	1.0	1
35449627	35454560	4933	35405794	35454560	35405794	35405794	1	123	0.7967	76	0.75	85	0.9294	1
35472284	35479836	7552	35454560	35479836	35405794	35405794	1	154	0.9351	97	0.8969	101	1.0	1
36016138	36018966	2828	36016137	36002224	36016138	36016138	1	107	0.9813	58	1.0	99	0.9798	1
36062342	36069696	7354	36056316	36069696			0	0		0		0		
36365794	36373835	8041	36286778	36373835		36299817	0	0		0		0		
36598127	36598549	422	36373835	36549255	36299817	36299817	1	142	0.9789	103	1.0	113	0.9735	1
36611593	36620864	9271	36549255	36620864	36299817		0	0		0		0		
36620864	36623545	2681	36620864	36623545		36299817	0	0		0		0		
37393302	37396847	3545	36623545	37384746	36299817	36299817	1	120	0.9417	109	1.0	58	0.8793	1
37461999	37466820	4821	37425328	37466820	37425328	37425328	1	143	0.993	91	0.989	104	0.9904	1
37598082	37606443	8361	37556826	37606443		37556826	0	0		0		0		
37658460	37667751	9291	37606443	37667751		37556826	0	0		0		0		
38331110	38333011	1901	38303247	38333011	38236063	38236063	1	128	0.9453	85	0.9176	89	0.9551	1
38921063	38927602	6539	38393470	38877977	38236063	38236063	1	178	0.9944	105	1.0	119	0.9916	1
38963711	38963884	173	38877977	38963711	38236063	38236063	1	124	0.9839	93	0.9785	100	1.0	1
39846791	39856144	9353	39286408	39856144		39204674	0	0		0		0		
40633644	40636354	2710	39856144	40636353	39204674		0	0		0		0		
40719136	40722749	3613	40719131	40711983		40722749	0	0		0		0		
41880908	41885033	4125	41539049	41885033		41539049	0	0		0		0		
44418300	44428299	9999	44378720	44428299	44418300	44418300	1	106	0.5377	65	0.5692	69	0.5652	1
44599173	44608934	9761	44591367	44608934		44608934	0	0		0		0		
45190130	45194606	4476	45154020	45194606		45194606	0	0		0		0		
45222248	45223684	1436	45194606	45223684	45222248		0	0		0		0		
45342977	45347747	4770	45306691	45347747		45347747	0	0		0		0		
45756578	45759506	2928	45756578	45759506	45756578		0	0		0		0		
47118148	47121694	3546	47018892	47121694	46895038	46895038	1	163	1.0	101	1.0	125	1.0	1
47746345	47755890	9545	47713869	47755890		46895038	0	0		0		0		
48225786	48229446	3660	48147227	48229446	48225786	48225786	1	135	0.9704	75	0.9467	111	1.0	1
48950388	48952538	2150	48950388	48950389	48225786	48225786	1	134	1.0	91	1.0	95	1.0	1
49060137	49062203	2066	49031428	49062203	49031440	49031440	1	129	0.8527	95	0.8105	89	0.9888	1
49088735	49088749	14	49062203	49088735	49031440		0	0		0		0		
49681894	49682530	636	49470365	49661903	49478563	49478563	1	132	1.0	94	1.0	95	1.0	1
49764957	49768952	3995	49742973	49768952	49716722	49716722	1	139	0.6331	95	0.5368	84	1.0	0
51365957	51366605	648	51262082	51365957	51262081	51262081	1	130	0.9846	91	0.978	93	1.0	1
52294202	52303113	8911	51365957	52303113		52303113	0	0		0		0		
52414285	52422209	7924	52414285	52422209		52414285	0	0		0		0		
54607513	54607515	2	54569072	54569073			0	0		0		0		
55649060	55650523	1463	55489370	55612031	55360776	55360776	1	163	1.0	120	1.0	103	1.0	1
55815775	55824242	8467	55732843	55824242		55824242	0	0		0		0		
55883019	55889113	6094	55824242	55889113		55824242	0	0		0		0		
56347961	56350725	2764	56313636	56350725	56323427	56323427	1	149	1.0	107	1.0	97	1.0	1
56568153	56568895	742	56542358	56542357	56542357	56542357	1	145	0.9931	111	0.991	103	1.0	1
57481586	57481589	3	57119477	57481588			0	0		0		0		
57655293	57661366	6073	57602614	57661366		57661366	0	0		0		0		
58385702	58391091	5389	58305921	58391091	58305921	58305921	1	102	0.9118	82	0.9024	69	0.971	1
58416189	58418867	2678	58391091	58418867	58416189	58416189	1	99	0.8586	58	0.8966	93	0.8925	1
58444151	58452672	8521	58418867	58446801	58416189	58416189	1	148	0.8851	78	0.7821	92	1.0	1
58558416	58559716	1300	58446801	58509855	58416189	58416189	1	117	1.0	80	1.0	75	1.0	1
60033052	60033350	298	59842960	60033350	59046421		0	0		0		0		
60243600	60244194	594	60114911	60194115	59046421		0	0		0		0		
60880575	60887227	6652	60722058	60832115	60674447	60674447	1	174	1.0	97	1.0	100	1.0	1
61763857	61770861	7004	61755063	61770861	61487311		0	0		0		0		
61810469	61817163	6694	61770861	61810469	61487311	61487311	1	174	0.9713	91	0.9451	116	1.0	1
64144256	64144722	466	63957918	64144722		63182011	0	0		0		0		
64637336	64637403	67	64144722	64587601	63182011	63182011	1	115	0.9913	81	1.0	80	0.9875	1
64771026	64771360	334	64587601	64771026	63182011	63182011	1	107	1.0	78	1.0	75	1.0	1
