region	clean_target	recovery_target	clean_reads	recovery_reads	clean_discordant	recovery_discordant	clean_blocks	recovery_blocks
chr12_2030274_2052322	split	joined	360	360	0	0	2	1
chr12_6909704_6924734	split	endpoint_unphased	162	203	0	0	2	1
chr12_7952408_7965829	split	joined	338	345	0	127	2	1
chr12_8025810_8049963	split	joined	305	305	0	0	2	1
chr12_8169830_8183801	split	joined	359	366	0	0	2	1
chr12_15948599_15970450	split	joined	319	319	2	2	2	1
chr12_16487624_16509411	joined	joined	502	502	0	0	1	1
chr12_16916787_16935146	split	joined	484	484	1	1	2	1
chr12_24106886_24124230	split	joined	383	427	0	0	2	1
chr12_26042175_26059676	split	joined	462	469	0	0	2	1
chr12_27291687_27308951	split	joined	384	384	0	0	2	1
chr12_38984963_39004125	joined	joined	385	385	0	0	1	1
chr12_39418286_39433623	split	joined	271	271	0	0	2	1
chr12_47997187_48016989	joined	joined	205	205	0	0	1	1
chr12_49009766_49019258	split	split	216	216	0	0	2	2
chr12_51296213_51307931	split	joined	414	414	0	205	2	1
chr12_52191505_52204083	split	joined	351	351	0	0	2	1
chr12_55318625_55336476	split	joined	362	362	0	0	3	2
chr12_56338270_56352162	split	split	228	245	0	0	2	2
chr12_58739503_58760166	split	split	333	333	0	0	3	3
chr12_61059215_61076209	split	joined	45	45	0	10	2	1
chr12_76926832_76939598	split	joined	448	459	0	0	2	1
chr12_77588922_77604272	split	joined	492	492	0	0	2	1
chr12_79456157_79467212	split	joined	239	239	0	0	2	1
chr12_80073162_80087534	split	joined	350	362	0	0	2	1
chr12_81489285_81507091	split	joined	411	411	0	84	3	1
chr12_82838333_82851520	split	joined	228	242	0	0	2	1
chr12_87242489_87262488	split	joined	239	239	0	0	2	1
chr12_106120441_106139117	split	joined	304	304	0	0	2	1
chr12_108293618_108312667	split	split	301	312	0	0	2	2
chr12_111261972_111286173	split	joined	115	115	9	50	2	1
chr12_112081738_112090471	split	joined	339	348	0	0	2	1
chr12_112393035_112401769	split	joined	248	248	0	0	2	1
chr12_112422574_112435938	split	joined	368	370	0	0	3	1
chr12_115302879_115303511	split	joined	273	286	0	0	2	1
chr12_129490069_129510050	split	joined	400	409	0	0	2	1
chr12_25996808_26016903	joined	joined	457	464	0	0	2	1
chr12_25995177_26016903	joined	joined	457	464	0	0	2	1
chr12_39418286_39439354	split	joined	271	271	0	0	2	1
chr12_80073162_80087548	split	joined	350	362	0	0	2	1
chr12_112078615_112092133	split	joined	346	355	0	0	2	1
chr18_2059597_2071074	split	joined	482	487	0	0	2	1
chr18_4988792_5004829	joined	joined	240	240	0	0	1	1
chr18_7278483_7292932	split	joined	359	359	0	0	2	1
chr18_15453926_15466776	split	split	253	253	0	0	2	2
chr18_21548360_21558542	split	joined	269	287	0	2	2	1
chr18_25294184_25307644	split	split	319	319	0	0	2	2
chr18_25807840_25819841	split	joined	296	308	0	0	2	1
chr18_33105077_33122214	split	joined	252	252	0	0	2	1
chr18_35759574_35777488	split	joined	216	221	0	0	2	1
chr18_37567195_37587399	split	joined	393	393	0	0	2	1
chr18_43569523_43586176	split	joined	455	487	0	0	2	1
chr18_46289780_46302851	split	joined	269	316	0	0	2	1
chr18_49112189_49125990	split	joined	406	406	0	0	2	1
chr18_51314965_51319128	split	split	410	410	2	2	2	2
chr18_61922383_61937244	split	joined	513	513	0	0	2	1
chr18_63008087_63025088	split	joined	436	442	0	0	2	1
chr18_67043163_67055235	split	joined	392	392	1	1	3	1
chr18_68916491_68932410	split	joined	211	211	0	0	2	1
chr18_69215655_69230536	split	joined	410	410	0	0	2	1
chr18_69923179_69943495	split	split	516	517	0	0	2	2
chr18_79077545_79092419	split	joined	321	321	0	0	2	1
chr18_43569523_43589564	split	joined	467	499	0	0	2	1
