region	CHROM	GAP_LEFT	GAP_RIGHT	TIER	WINDOW_BEG	WINDOW_END	NEW_SITES	MSA_HET_SNPS	MSA_HET_INDELS	LEFT_LINK	RIGHT_LINK	READS_ADDED	STATUS
chr20_12256072_12277078	CHM13#0#chr20	12220585	12243047	1	12206072	12293047	0	0	0	1	1	0	partial
chr20_12256072_12277078	CHM13#0#chr20	12220585	12243047	2	12206072	12293047	0	0	0	1	1	0	partial
chr20_12256072_12277078	CHM13#0#chr20	12220585	12243047	3	12206072	12293047	6	0	5	1	1	0	joined
chr20_12256072_12277078	CHM13#0#chr20	12256072	12277078	1	12206072	12327078	0	0	0	1	1	0	partial
chr20_12256072_12277078	CHM13#0#chr20	12256072	12277078	2	12206072	12327078	0	0	0	1	1	0	partial
chr20_12256072_12277078	CHM13#0#chr20	12256072	12277078	3	12206072	12327078	9	0	10	1	1	0	joined
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	1	12671112	12802291	0	0	0	1	1	0	partial
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	2	12671112	12802291	1	0	0	1	1	0	partial
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	3	12671112	12802291	14	0	12	1	1	0	partial
chr20_12721112_12752291	CHM13#0#chr20	12717796	12752291	4	12671112	12802291	0	0	12	1	1	0	rejected
chr20_34079290_34134418	CHM13#0#chr20	34079290	34134418	1	34029290	34184418	0	0	0	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34079290	34134418	2	34029290	34184418	0	0	0	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34079290	34134418	3	34029290	34184418	18	0	14	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34079290	34134418	4	34029290	34184418	0	0	14	1	1	0	rejected
chr20_34079290_34134418	CHM13#0#chr20	34135104	34162219	1	34085913	34184418	0	0	0	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34135104	34162219	2	34085913	34184418	0	0	0	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34135104	34162219	3	34085913	34184418	8	0	5	1	1	0	partial
chr20_34079290_34134418	CHM13#0#chr20	34135104	34162219	4	34085913	34184418	0	0	5	1	1	0	joined
chr20_35919404_35939110	CHM13#0#chr20	35919404	35939110	1	35869404	35989110	0	0	0	1	1	0	partial
chr20_35919404_35939110	CHM13#0#chr20	35919404	35939110	2	35869404	35989110	6	1	0	1	1	0	joined
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	1	60013142	60108235	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	2	60013142	60108235	2	1	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	3	60013142	60108235	31	1	26	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60033052	60058235	4	60013142	60108235	0	1	26	1	1	0	rejected
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	1	60040439	60164911	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	2	60040439	60164911	0	0	0	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	3	60040439	60164911	16	0	13	1	1	0	partial
chr20_60063142_60114911	CHM13#0#chr20	60090439	60114911	4	60040439	60164911	0	0	13	1	1	0	rejected
chr20_34864445_34893642	CHM13#0#chr20	34864445	34893642	1	34814445	34943642	0	0	0	1	1	0	partial
chr20_34864445_34893642	CHM13#0#chr20	34864445	34893642	2	34814445	34943642	6	0	0	1	1	0	partial
chr20_34864445_34893642	CHM13#0#chr20	34864445	34893642	3	34814445	34943642	8	0	0	1	1	0	partial
