gap_left	gap_right	gap_bp	reads_in_gap	n_tools_spanning	hiphase_spans	hiphase_scored	hiphase_concordant	hiphase_acc	longphase_spans	longphase_scored	longphase_concordant	longphase_acc	whatshap_opt_spans	whatshap_opt_scored	whatshap_opt_concordant	whatshap_opt_acc
50488	59458	8970	105	3	1	76	76	1.0	1	98	98	1.0	1	48	48	1.0
514902	545002	30100	189	3	1	175	175	1.0	1	175	175	1.0	1	175	175	1.0
545002	549789	4787	92	3	1	92	92	1.0	1	92	92	1.0	1	91	91	1.0
549789	549797	8	70	3	1	70	70	1.0	1	70	70	1.0	1	69	69	1.0
549797	555423	5626	93	3	1	91	91	1.0	1	92	92	1.0	1	90	89	0.9889
864134	890260	26126	102	2	1	94	88	0.9362	0	75	75	1.0	1	91	83	0.9121
890260	890261	1	58	2	1	58	58	1.0	0	58	58	1.0	1	58	58	1.0
890261	890262	1	58	3	1	58	58	1.0	1	58	58	1.0	1	58	58	1.0
890262	902806	12544	102	3	1	102	102	1.0	1	100	100	1.0	1	101	101	1.0
1086625	1110921	24296	170	3	1	138	138	1.0	1	137	137	1.0	1	138	138	1.0
1172882	1196967	24085	169	3	1	164	160	0.9756	1	154	89	0.5779	1	162	158	0.9753
1196967	1197105	138	78	3	1	78	78	1.0	1	77	75	0.974	1	77	77	1.0
1197105	1200625	3520	90	3	1	90	90	1.0	1	89	87	0.9775	1	89	89	1.0
1499101	1523721	24620	197	2	1	185	185	1.0	0	157	157	1.0	1	185	185	1.0
1893861	1893904	43	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1893904	1893924	20	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1893947	1893961	14	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1893961	1893975	14	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1893989	1894022	33	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1894022	1894126	104	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1894175	1894225	50	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1894242	1894338	96	26	3	1	25	25	1.0	1	26	26	1.0	1	25	25	1.0
1894898	1894979	81	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1894979	1895036	57	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1895039	1895063	24	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1895063	1895209	146	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1896919	1896947	28	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1896947	1896958	11	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1896958	1896975	17	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
1897059	1897073	14	25	3	1	24	24	1.0	1	25	25	1.0	1	24	24	1.0
