region	status	primary_spanning	mapq30_spanning	discordant_reads	reason
chr20_863640_890261	split	0	0	0	no_direct_spanning_primary_read
chr20_1086625_1110921	split	1	1	0	singleton
chr20_1912570_1913054	endpoint_unphased	46	45	29	multiple_reads_need_allele_audit
chr20_3956345_3981464	split	0	0	0	no_direct_spanning_primary_read
chr20_7028815_7064047	split	0	0	0	no_direct_spanning_primary_read
chr20_11426743_11447789	split	1	1	0	singleton
chr20_17607780_17667022	split	0	0	0	no_direct_spanning_primary_read
chr20_18194808_18218259	split	1	1	0	singleton
chr20_18983414_19005497	endpoint_unphased	5	5	208	multiple_reads_need_allele_audit
chr20_22702346_22729320	split	0	0	2	no_direct_spanning_primary_read
chr20_23403554_23445252	split	0	0	0	no_direct_spanning_primary_read
chr20_24357615_24379633	split	1	1	0	singleton
chr20_34079290_34134418	split	0	0	63	no_direct_spanning_primary_read
chr20_34791342_34811747	split	1	1	0	singleton
chr20_35244059_35357391	split	0	0	0	no_direct_spanning_primary_read
chr20_37984529_38008026	split	1	1	1	singleton
chr20_38259286_38303247	split	0	0	0	no_direct_spanning_primary_read
chr20_55999561_56040612	split	0	0	0	no_direct_spanning_primary_read
chr20_57087239_57119478	split	0	0	0	no_direct_spanning_primary_read
chr20_57667169_57688923	split	1	1	0	singleton
chr20_60063142_60114911	split	0	0	0	no_direct_spanning_primary_read
chr20_61664136_61690751	split	1	1	0	singleton
chr20_62410496_62432427	split	4	4	0	multiple_reads_need_allele_audit
chr20_64902581_64905482	split	1	1	0	singleton
chr20_26602087_26651086	endpoint_unphased	0	0	36	no_direct_spanning_primary_read
chr20_34864445_34893642	split	0	0	0	no_direct_spanning_primary_read
chr20_26626247_26651086	endpoint_unphased	0	0	32	no_direct_spanning_primary_read
chr20_1912570_1913912	endpoint_unphased	44	43	29	multiple_reads_need_allele_audit
chr20_54547514_54590762	split	0	0	0	no_direct_spanning_primary_read
