gap_beg	gap_end	gap_bp	graph_left	graph_right	bam_spans	bam_ps	bam_ps_beg	bam_ps_end	bam_het_sites	spanning_reads	scored_reads	concordant_reads	discordant_reads	truth_concordance	local_phase_purity	recovery_spans
2332870	2342132	9263	2332869	2342133	1	2332869	2332869	3529324	1725	26	26	26	0	1.0000	1.0000	0
3855873	3862618	6746	3855872	3862619	0	.	0	0	0	0	0	0	0	.	.	1
3863177	3864838	1662	3863176	3864839	1	3862574	3862574	3870827	8	44	44	40	4	0.9091	0.9091	1
3885836	3890460	4625	3885835	3890461	1	3876190	3876190	3944994	87	32	32	32	0	1.0000	1.0000	1
4778793	4785718	6926	4778792	4785719	0	.	0	0	0	0	0	0	0	.	.	0
6578161	6582248	4088	6578160	6582249	0	.	0	0	0	0	0	0	0	.	.	0
6639944	6647269	7326	6639943	6647270	0	.	0	0	0	0	0	0	0	.	.	0
6992740	6997092	4353	6992739	6997093	1	6992739	6992739	7047080	39	51	51	49	2	0.9608	0.9608	0
7829789	7829793	5	7829788	7829794	1	7808915	7808915	7859472	4	64	64	45	19	0.7031	0.7031	1
7859473	7861287	1815	7859472	7861288	0	.	0	0	0	0	0	0	0	.	.	0
8946172	8946527	356	8946171	8946528	1	8946171	8946171	9000152	57	63	63	63	0	1.0000	1.0000	0
9009184	9014031	4848	9009183	9014032	1	9002216	9002216	10000093	1285	29	29	28	1	0.9655	0.9655	0
10337662	10343594	5933	10337661	10343595	1	10337661	10337661	10727690	503	42	42	42	0	1.0000	1.0000	0
10719152	10727689	8538	10719151	10727690	1	10337661	10337661	10727690	503	25	25	22	3	0.8800	0.8800	0
11157015	11157085	71	11157014	11157086	1	11157014	11157014	11255369	115	90	90	90	0	1.0000	1.0000	0
11255370	11262360	6991	11255369	11262361	0	.	0	0	0	0	0	0	0	.	.	0
12269536	12277077	7542	12269535	12277078	0	.	0	0	0	0	0	0	0	.	.	0
17625528	17633255	7728	17625527	17633256	1	17625527	17625527	17642038	5	47	47	46	1	0.9787	0.9787	0
17839394	17839397	4	17839393	17839398	0	.	0	0	0	0	0	0	0	.	.	0
22565007	22565035	29	22565006	22565036	0	.	0	0	0	0	0	0	0	.	.	0
23709050	23711532	2483	23709049	23711533	1	23709049	23709049	23732133	6	36	36	36	0	1.0000	1.0000	0
26626287	26626494	208	26626286	26626495	1	26623562	26623562	26644854	45	4	4	2	2	0.5000	0.5000	0
26628838	26629496	659	26628837	26629497	1	26623562	26623562	26644854	45	3	3	2	1	0.6667	0.6667	0
26630858	26631781	924	26630857	26631782	1	26623562	26623562	26644854	45	3	3	2	1	0.6667	0.6667	0
26764498	26764632	135	26764497	26764633	0	.	0	0	0	0	0	0	0	.	.	0
26853468	26853477	10	26853467	26853478	0	.	0	0	0	0	0	0	0	.	.	0
26854645	26854826	182	26854644	26854827	0	.	0	0	0	0	0	0	0	.	.	0
26909032	26917465	8434	26909031	26917466	0	.	0	0	0	0	0	0	0	.	.	0
26917467	26925879	8413	26917466	26925880	0	.	0	0	0	0	0	0	0	.	.	0
29164988	29165020	33	29164987	29165021	0	.	0	0	0	0	0	0	0	.	.	1
29244669	29244971	303	29244668	29244972	0	.	0	0	0	0	0	0	0	.	.	0
30786477	30786580	104	30786476	30786581	1	30782288	30782288	31736302	3675	5	5	3	2	0.6000	0.6000	0
31807200	31807361	162	31807199	31807362	0	.	0	0	0	0	0	0	0	.	.	0
32431752	32432268	517	32431751	32432269	0	.	0	0	0	0	0	0	0	.	.	0
33233816	33233842	27	33233815	33233843	1	33229076	33229076	33253092	9	15	15	15	0	1.0000	1.0000	0
33788624	33792637	4014	33788623	33792638	1	33778263	33778263	33812275	5	35	35	34	1	0.9714	0.9714	1
33812284	33819341	7058	33812283	33819342	0	.	0	0	0	0	0	0	0	.	.	0
33840458	33843243	2786	33840457	33843244	0	.	0	0	0	0	0	0	0	.	.	0
33954612	33958452	3841	33954611	33958453	1	33954611	33954611	33993357	11	57	57	57	0	1.0000	1.0000	0
34094605	34102866	8262	34094604	34102867	0	.	0	0	0	0	0	0	0	.	.	0
34153513	34162218	8706	34153512	34162219	0	.	0	0	0	0	0	0	0	.	.	0
35210621	35212958	2338	35210620	35212959	0	.	0	0	0	0	0	0	0	.	.	0
35319922	35328964	9043	35319921	35328965	1	35305645	35305645	35328965	3	28	28	24	4	0.8571	0.8571	0
35613764	35613764	1	35613763	35613765	1	35516845	35516845	35929193	492	56	56	56	0	1.0000	1.0000	0
36261164	36268290	7127	36261163	36268291	1	36261163	36261163	36268558	5	2	2	2	0	1.0000	1.0000	1
36365795	36373834	8040	36365794	36373835	0	.	0	0	0	0	0	0	0	.	.	0
36373838	36380737	6900	36373837	36380738	1	36373835	36373835	36614185	274	16	16	16	0	1.0000	1.0000	0
36625560	36629320	3761	36625559	36629321	1	36623545	36623545	36887650	373	41	41	38	3	0.9268	0.9268	0
36887651	36895000	7350	36887650	36895001	0	.	0	0	0	0	0	0	0	.	.	0
37462000	37466819	4820	37461999	37466820	0	.	0	0	0	0	0	0	0	.	.	0
37606444	37606621	178	37606443	37606622	1	37606443	37606443	37658460	11	29	29	29	0	1.0000	1.0000	0
40633645	40636353	2709	40633644	40636354	0	.	0	0	0	0	0	0	0	.	.	0
44778042	44779026	985	44778041	44779027	1	44736744	44736744	44784210	9	9	9	5	4	0.5556	0.5556	0
45158401	45160961	2561	45158400	45160962	0	.	0	0	0	0	0	0	0	.	.	1
45329939	45330582	644	45329938	45330583	1	45306691	45306691	45342977	9	57	57	29	28	0.5088	0.5088	1
45796092	45796934	843	45796091	45796935	1	45779383	45779383	45796935	5	59	59	59	0	1.0000	1.0000	0
45854429	45859663	5235	45854428	45859664	1	45854428	45854428	45876157	5	50	50	28	22	0.5600	0.5600	0
46405049	46407461	2413	46405048	46407462	1	46405048	46405048	46611610	143	10	10	10	0	1.0000	1.0000	0
48225787	48229445	3659	48225786	48229446	0	.	0	0	0	0	0	0	0	.	.	0
49060138	49062202	2065	49060137	49062203	0	.	0	0	0	0	0	0	0	.	.	0
49470366	49478562	8197	49470365	49478563	1	49470365	49470365	49661443	521	34	34	34	0	1.0000	1.0000	1
51156349	51165531	9183	51156348	51165532	0	.	0	0	0	0	0	0	0	.	.	0
52294203	52303112	8910	52294202	52303113	0	.	0	0	0	0	0	0	0	.	.	0
54565262	54569071	3810	54565261	54569072	0	.	0	0	0	0	0	0	0	.	.	0
55357277	55360775	3499	55357276	55360776	0	.	0	0	0	0	0	0	0	.	.	0
55381473	55382728	1256	55381472	55382729	1	55381472	55381472	55472966	91	2	2	2	0	1.0000	1.0000	0
