chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr20	29228579	14	52004	7	0	7	0	7	7	0.5000	4	0	HP1=MAT,HP2=PAT
chr20	31766466	12	31434	0	6	0	6	6	6	0.5000	2	2	HP1=MAT,HP2=PAT
chr20	29069544	26	1768503	12	0	14	0	14	12	0.5385	1	1	HP1=PAT,HP2=MAT
chr20	32449504	9	13210	0	4	0	5	5	4	0.5556	1	1	HP1=MAT,HP2=PAT
chr20	27003187	67	169136	29	0	38	0	38	29	0.5672	7	5	HP1=PAT,HP2=MAT
chr20	26946034	12	172664	5	0	7	0	7	5	0.5833	1	0	HP1=PAT,HP2=MAT
chr20	27017274	12	183138	5	0	7	0	7	5	0.5833	3	0	HP1=PAT,HP2=MAT
chr20	27132648	5	16471	3	0	2	0	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr20	26567881	8	641852	3	2	3	0	5	3	0.6250	1	1	HP1=PAT,HP2=MAT
chr20	65994857	485	1042351	0	240	123	122	363	122	0.7485	27	28	HP1=PAT,HP2=MAT
chr20	29247217	41	780623	10	14	17	0	31	10	0.7561	3	4	HP1=PAT,HP2=MAT
chr20	26436748	39	708000	18	4	1	16	34	5	0.8718	3	1	HP1=MAT,HP2=PAT
chr20	13882832	61	27008	30	6	1	24	54	7	0.8852	4	3	HP1=MAT,HP2=PAT
chr20	41898323	59	870947	2	31	25	1	56	3	0.9492	0	3	HP1=PAT,HP2=MAT
chr20	38368718	52	877136	2	24	26	0	50	2	0.9615	0	2	HP1=PAT,HP2=MAT
chr20	34134418	65	866884	32	1	1	31	63	2	0.9692	0	2	HP1=MAT,HP2=PAT
chr20	36209945	41	867261	26	0	1	14	40	1	0.9756	0	1	HP1=MAT,HP2=PAT
chr20	58391091	59	870320	0	29	29	1	58	1	0.9831	0	1	HP1=PAT,HP2=MAT
chr20	11348253	70	34932	37	0	1	32	69	1	0.9857	0	1	HP1=MAT,HP2=PAT
chr20	20617179	133	61123	1	68	64	0	132	1	0.9925	0	1	HP1=PAT,HP2=MAT
chr20	52436046	212	989019	0	97	114	1	211	1	0.9953	0	1	HP1=PAT,HP2=MAT
chr20	22668436	884	312392	1	450	432	1	882	2	0.9977	0	2	HP1=PAT,HP2=MAT
chr20	58580791	457	990729	0	230	226	1	456	1	0.9978	0	1	HP1=PAT,HP2=MAT
chr20	1523721	576	138910	286	1	0	289	575	1	0.9983	0	1	HP1=MAT,HP2=PAT
chr20	54702072	711	1045366	0	366	344	1	710	1	0.9986	0	1	HP1=PAT,HP2=MAT
chr20	1690618	729	210837	351	1	0	377	728	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	11869724	1548	411351	2	788	758	0	1546	2	0.9987	0	2	HP1=PAT,HP2=MAT
chr20	36629321	818	1104360	410	1	0	407	817	1	0.9988	1	0	HP1=MAT,HP2=PAT
chr20	49154364	908	1118619	0	454	453	1	907	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	38393470	1944	1394654	2	943	999	0	1942	2	0.9990	0	2	HP1=PAT,HP2=MAT
chr20	4886360	1014	304349	1	509	504	0	1013	1	0.9990	0	1	HP1=PAT,HP2=MAT
chr20	1196966	1258	322633	611	0	1	646	1257	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr20	51365957	3348	1775422	1627	1	1	1719	3346	2	0.9994	0	2	HP1=MAT,HP2=PAT
chr20	39389245	1753	1311016	871	1	0	881	1752	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr20	50562066	2216	1447058	1097	1	0	1118	2215	1	0.9995	0	1	HP1=MAT,HP2=PAT
chr20	52727684	4532	2064839	2316	1	0	2215	4531	1	0.9998	0	1	HP1=MAT,HP2=PAT
chr20	59818	54	27244	21	0	0	33	54	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	130540	93	23424	0	42	51	0	93	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	195305	1220	355692	620	0	0	600	1220	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	545002	1208	331066	0	608	600	0	1208	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	890261	312	89226	0	156	156	0	312	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	988405	407	115795	205	0	0	202	407	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	1142089	60	25689	33	0	0	27	60	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	1903119	1183	321680	587	0	0	596	1183	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	2264116	172	54594	87	0	0	85	172	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	2342132	789	200691	0	391	398	0	789	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	2550439	3417	955981	1708	0	0	1709	3417	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3550839	89	34689	48	0	0	41	89	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3597791	707	210018	344	0	0	363	707	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3806891	155	46699	71	0	0	84	155	0	1.0000	0	0	HP1=MAT,HP2=PAT
