gap_beg	gap_end	gap_bp	graph_left	graph_right	hiphase_spans	hiphase_ps	hiphase_ps_beg	hiphase_ps_end	hiphase_het_sites	spanning_reads	scored_reads	concordant_reads	discordant_reads	truth_concordance	local_phase_purity	bam_spans	recovery_spans
2332870	2342132	9263	2332869	2342133	0	.	0	0	0	0	0	0	0	.	.	1	0
3855873	3862618	6746	3855872	3862619	1	3597791	3597791	4473275	1041	45	45	24	21	0.5333	0.5333	0	1
3863177	3864838	1662	3863176	3864839	1	3597791	3597791	4473275	1041	62	62	33	29	0.5323	0.5323	1	1
3885836	3890460	4625	3885835	3890461	1	3597791	3597791	4473275	1041	37	37	37	0	1.0000	1.0000	1	1
4778793	4785718	6926	4778792	4785719	1	4570122	4570122	5196043	712	35	35	35	0	1.0000	1.0000	0	0
6578161	6582248	4088	6578160	6582249	1	6578160	6578160	6621472	5	65	65	65	0	1.0000	1.0000	0	0
6639944	6647269	7326	6639943	6647270	0	.	0	0	0	0	0	0	0	.	.	0	0
6992740	6997092	4353	6992739	6997093	1	6965188	6965188	7073919	40	51	51	49	2	0.9608	0.9608	1	0
7829789	7829793	5	7829788	7829794	1	7343405	7343405	7829794	654	54	54	54	0	1.0000	1.0000	1	1
7859473	7861287	1815	7859472	7861288	0	.	0	0	0	0	0	0	0	.	.	0	0
8946172	8946527	356	8946171	8946528	1	8946171	8946171	11127753	2510	69	69	69	0	1.0000	1.0000	1	0
9009184	9014031	4848	9009183	9014032	1	8946171	8946171	11127753	2510	46	46	45	1	0.9783	0.9783	1	0
10337662	10343594	5933	10337661	10343595	1	8946171	8946171	11127753	2510	43	43	43	0	1.0000	1.0000	1	0
10719152	10727689	8538	10719151	10727690	1	8946171	8946171	11127753	2510	25	25	22	3	0.8800	0.8800	1	0
11157015	11157085	71	11157014	11157086	1	11157014	11157014	11451978	183	90	90	90	0	1.0000	1.0000	1	0
11255370	11262360	6991	11255369	11262361	1	11157014	11157014	11451978	183	47	47	47	0	1.0000	1.0000	0	0
12269536	12277077	7542	12269535	12277078	1	11796969	11796969	12955838	1702	53	53	53	0	1.0000	1.0000	0	0
17625528	17633255	7728	17625527	17633256	1	16715241	16715241	17824022	1341	47	47	46	1	0.9787	0.9787	1	0
17839394	17839397	4	17839393	17839398	0	.	0	0	0	0	0	0	0	.	.	0	0
22565007	22565035	29	22565006	22565036	0	.	0	0	0	0	0	0	0	.	.	0	0
23709050	23711532	2483	23709049	23711533	0	.	0	0	0	0	0	0	0	.	.	1	0
26626287	26626494	208	26626286	26626495	1	26533570	26533570	27585562	3092	19	19	6	13	0.3158	0.6842	1	0
26628838	26629496	659	26628837	26629497	1	26533570	26533570	27585562	3092	12	12	5	7	0.4167	0.5833	1	0
