chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr20	28937359	23	39148	11	0	12	0	12	11	0.5217	1	0	HP1=PAT,HP2=MAT
chr20	31766466	9	29004	0	5	0	4	5	4	0.5556	1	2	HP1=PAT,HP2=MAT
chr20	32449119	9	13210	0	5	0	4	5	4	0.5556	1	1	HP1=PAT,HP2=MAT
chr20	29068099	34	2656514	15	1	18	0	19	15	0.5588	2	1	HP1=PAT,HP2=MAT
chr20	32714242	7	228766	0	3	0	4	4	3	0.5714	1	0	HP1=MAT,HP2=PAT
chr20	26946034	12	172664	7	0	5	0	7	5	0.5833	1	0	HP1=MAT,HP2=PAT
chr20	27132648	5	16471	3	0	2	0	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr20	27202473	10	39302	6	0	4	0	6	4	0.6000	1	0	HP1=MAT,HP2=PAT
chr20	30785705	5	19349	0	2	0	3	3	2	0.6000	1	1	HP1=MAT,HP2=PAT
chr20	32488397	5	11292	0	2	0	3	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr20	26563788	49	662200	16	13	18	2	31	18	0.6327	5	4	HP1=PAT,HP2=MAT
chr20	27003187	44	195350	28	0	16	0	28	16	0.6364	7	4	HP1=MAT,HP2=PAT
chr20	27239480	11	21582	4	0	7	0	7	4	0.6364	1	0	HP1=PAT,HP2=MAT
chr20	29222306	17	52004	11	0	6	0	11	6	0.6471	2	1	HP1=MAT,HP2=PAT
chr20	65994858	526	1039739	1	237	106	182	343	183	0.6521	30	38	HP1=PAT,HP2=MAT
chr20	27306294	6	8290	2	0	4	0	4	2	0.6667	1	0	HP1=PAT,HP2=MAT
chr20	32312705	13	11116	0	9	0	4	9	4	0.6923	0	4	HP1=PAT,HP2=MAT
chr20	27269880	23	58474	16	0	7	0	16	7	0.6957	1	4	HP1=MAT,HP2=PAT
chr20	32467816	19	14781	0	5	0	14	14	5	0.7368	1	3	HP1=MAT,HP2=PAT
chr20	29247217	38	780623	9	12	17	0	29	9	0.7632	3	3	HP1=PAT,HP2=MAT
chr20	27354657	13	72199	10	0	3	0	10	3	0.7692	1	2	HP1=MAT,HP2=PAT
chr20	32397764	9	15995	0	7	0	2	7	2	0.7778	1	0	HP1=PAT,HP2=MAT
chr20	27017274	5	194241	1	0	4	0	4	1	0.8000	1	0	HP1=PAT,HP2=MAT
chr20	13882832	65	27008	2	23	30	10	53	12	0.8154	6	5	HP1=PAT,HP2=MAT
chr20	36083127	30	875704	14	1	0	15	29	1	0.9667	0	1	HP1=MAT,HP2=PAT
chr20	19395544	32	22909	20	0	1	11	31	1	0.9688	0	1	HP1=MAT,HP2=PAT
chr20	34134418	65	866884	1	31	32	1	63	2	0.9692	0	2	HP1=PAT,HP2=MAT
chr20	38341762	79	895850	2	33	44	0	77	2	0.9747	0	2	HP1=PAT,HP2=MAT
chr20	58391091	59	870320	0	29	29	1	58	1	0.9831	0	1	HP1=PAT,HP2=MAT
chr20	57785772	70	874959	30	0	1	39	69	1	0.9857	0	1	HP1=MAT,HP2=PAT
chr20	46663811	228	912194	1	111	115	1	226	2	0.9912	0	2	HP1=PAT,HP2=MAT
chr20	36832892	125	908819	70	1	0	54	124	1	0.9920	1	0	HP1=MAT,HP2=PAT
chr20	20617179	133	61123	1	68	64	0	132	1	0.9925	0	1	HP1=PAT,HP2=MAT
chr20	38153151	136	925052	64	1	0	71	135	1	0.9926	0	1	HP1=MAT,HP2=PAT
chr20	36156319	221	951797	118	0	1	102	220	1	0.9955	0	1	HP1=MAT,HP2=PAT
chr20	60114911	482	991274	231	1	1	249	480	2	0.9959	1	1	HP1=MAT,HP2=PAT
chr20	36629321	713	1058584	349	1	1	362	711	2	0.9972	0	2	HP1=MAT,HP2=PAT
chr20	22668436	939	312392	1	472	465	1	937	2	0.9979	0	2	HP1=PAT,HP2=MAT
chr20	59850389	518	1035802	1	258	259	0	517	1	0.9981	0	1	HP1=PAT,HP2=MAT
chr20	11262361	528	183435	262	0	1	265	527	1	0.9981	0	1	HP1=MAT,HP2=PAT
chr20	1523721	576	138910	286	1	0	289	575	1	0.9983	0	1	HP1=MAT,HP2=PAT
chr20	54702072	724	1067157	351	1	0	372	723	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	1690618	728	210837	350	1	0	377	727	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	38393470	2498	1583590	3	1215	1280	0	2495	3	0.9988	0	3	HP1=PAT,HP2=MAT
chr20	11822681	1687	461078	2	864	821	0	1685	2	0.9988	0	2	HP1=PAT,HP2=MAT
chr20	58452672	870	1121271	0	441	428	1	869	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	49148305	931	1118619	0	458	472	1	930	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	1196967	1255	322633	609	0	1	645	1254	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr20	65513900	1427	1348470	0	707	719	1	1426	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr20	35516845	1655	1270186	852	1	0	802	1654	1	0.9994	0	1	HP1=MAT,HP2=PAT
