original_ps	final_ps	truth_reads	before_discordant	after_discordant	uniform_label_flip	majority_reversed
50488	50488	89	0	0	False	False
130540	130540	1391	0	0	False	False
545002	130540	1234	0	0	True	False
890260	890260	780	0	0	False	False
1110921	1110921	54	0	0	False	False
1142089	1142089	60	0	60	False	True
1196967	1142089	1266	1	1265	False	True
1523721	1142089	577	1	576	False	True
1690618	1142089	826	30	796	False	True
1902079	1142089	1209	0	1209	True	True
2264116	1142089	171	0	0	True	False
2342132	1142089	4241	0	0	False	False
3550839	1142089	88	0	0	True	False
3597791	3597791	762	0	0	False	False
3806891	3597791	156	0	0	False	False
3890462	3597791	231	0	0	True	False
3981464	3981464	42	0	0	False	False
4033448	3981464	1650	0	0	True	False
4501106	4501106	78	0	0	False	False
4570122	4570122	300	0	0	False	False
4642430	4570122	492	0	0	False	False
4792960	4792960	235	0	0	False	False
4886360	4792960	981	1	1	False	False
5239260	5239260	63	0	0	False	False
5272413	5239260	153	0	0	True	False
5345085	5239260	60	0	0	True	False
5393717	5239260	481	0	0	False	False
5533785	5239260	2496	0	0	False	False
6164984	6164984	1346	0	0	False	False
6536071	6536071	79	0	0	False	False
6582249	6582249	53	0	0	False	False
6647988	6647988	1167	0	0	False	False
6997093	6997093	218	0	0	False	False
7064047	7064047	25	0	0	False	False
7118616	7118616	141	0	0	False	False
7206650	7206650	14	0	0	False	False
7250571	7206650	18	1	1	False	False
7280356	7206650	163	0	0	True	False
7343405	7343405	1801	0	0	False	False
7861288	7343405	55	0	55	False	True
7887136	7887136	93	0	0	False	False
7924485	7887136	616	0	0	False	False
8106314	8106314	2657	0	0	False	False
8769855	8769855	737	0	0	False	False
8946528	8946528	174	0	0	False	False
9014032	8946528	5174	0	0	True	False
10343595	8946528	1502	0	0	False	False
10760419	8946528	1657	0	0	True	False
11157086	11157086	411	0	0	False	False
11262361	11157086	537	1	1	True	False
11447789	11447789	50	0	0	False	False
11495992	11495992	197	0	0	False	False
11599138	11495992	410	0	0	True	False
11822681	11822681	1690	2	2	False	False
12277078	11822681	1760	0	0	True	False
12752291	11822681	915	0	0	False	False
13136021	13136021	251	0	0	False	False
13208341	13136021	605	0	0	True	False
13465685	13465685	7	0	0	False	False
13531593	13531593	30	0	0	False	False
13624940	13624940	311	0	0	False	False
13751618	13624940	129	0	129	True	True
13882832	13882832	22	0	0	False	False
13941253	13941253	37	0	0	False	False
14031529	14031529	71	0	0	False	False
14272741	14272741	771	0	0	False	False
14470800	14272741	411	0	0	False	False
14612632	14612632	16	0	0	False	False
14719378	14719378	1194	0	0	False	False
