chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr20	31766466	12	31434	0	6	0	6	6	6	0.5000	2	2	HP1=MAT,HP2=PAT
chr20	32449504	9	13210	0	4	0	5	5	4	0.5556	1	1	HP1=MAT,HP2=PAT
chr20	29069544	34	2656514	18	0	15	1	19	15	0.5588	2	1	HP1=MAT,HP2=PAT
chr20	27003187	67	169136	29	0	38	0	38	29	0.5672	7	5	HP1=PAT,HP2=MAT
chr20	26946034	12	172664	5	0	7	0	7	5	0.5833	1	0	HP1=PAT,HP2=MAT
chr20	27017274	12	183138	5	0	7	0	7	5	0.5833	3	0	HP1=PAT,HP2=MAT
chr20	29228579	17	52004	10	0	7	0	10	7	0.5882	2	2	HP1=MAT,HP2=PAT
chr20	27132648	5	16471	3	0	2	0	3	2	0.6000	1	0	HP1=MAT,HP2=PAT
chr20	26567881	8	641852	3	2	3	0	5	3	0.6250	1	1	HP1=PAT,HP2=MAT
chr20	65994857	558	1052148	0	253	123	182	376	182	0.6738	29	38	HP1=PAT,HP2=MAT
chr20	29247217	41	780623	10	14	17	0	31	10	0.7561	3	4	HP1=PAT,HP2=MAT
chr20	13882832	66	27008	30	10	2	24	54	12	0.8182	6	5	HP1=MAT,HP2=PAT
chr20	26436748	45	716291	20	4	1	20	40	5	0.8889	3	1	HP1=MAT,HP2=PAT
chr20	41898323	59	870947	2	31	25	1	56	3	0.9492	0	3	HP1=PAT,HP2=MAT
chr20	34134418	65	866884	32	1	1	31	63	2	0.9692	0	2	HP1=MAT,HP2=PAT
chr20	38368718	79	895850	2	33	44	0	77	2	0.9747	0	2	HP1=PAT,HP2=MAT
chr20	36209945	41	867261	26	0	1	14	40	1	0.9756	0	1	HP1=MAT,HP2=PAT
chr20	58391091	59	870320	0	29	29	1	58	1	0.9831	0	1	HP1=PAT,HP2=MAT
chr20	11348253	70	34932	37	0	1	32	69	1	0.9857	0	1	HP1=MAT,HP2=PAT
chr20	46663811	228	912194	115	1	1	111	226	2	0.9912	0	2	HP1=MAT,HP2=PAT
chr20	20617179	133	61123	1	68	64	0	132	1	0.9925	0	1	HP1=PAT,HP2=MAT
chr20	38153151	134	925052	0	70	63	1	133	1	0.9925	0	1	HP1=PAT,HP2=MAT
chr20	60132282	485	991274	1	251	232	1	483	2	0.9959	1	1	HP1=PAT,HP2=MAT
chr20	36629321	846	1120618	421	2	1	422	843	3	0.9965	1	2	HP1=MAT,HP2=PAT
chr20	52436046	330	1029844	0	166	163	1	329	1	0.9970	0	1	HP1=PAT,HP2=MAT
chr20	58580791	457	990729	0	230	226	1	456	1	0.9978	0	1	HP1=PAT,HP2=MAT
chr20	22668436	942	312392	1	472	468	1	940	2	0.9979	0	2	HP1=PAT,HP2=MAT
chr20	59850389	519	1035802	1	259	259	0	518	1	0.9981	0	1	HP1=PAT,HP2=MAT
chr20	1523721	576	138910	286	1	0	289	575	1	0.9983	0	1	HP1=MAT,HP2=PAT
chr20	54702072	728	1067157	0	375	352	1	727	1	0.9986	0	1	HP1=PAT,HP2=MAT
chr20	1690618	730	210837	352	1	0	377	729	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	11869724	1633	453583	2	839	792	0	1631	2	0.9988	0	2	HP1=PAT,HP2=MAT
chr20	49154364	934	1118619	0	461	472	1	933	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	38393470	1944	1394654	2	943	999	0	1942	2	0.9990	0	2	HP1=PAT,HP2=MAT
chr20	4886360	1036	310168	1	518	517	0	1035	1	0.9990	0	1	HP1=PAT,HP2=MAT
chr20	1196966	1258	322633	611	0	1	646	1257	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr20	65513981	1305	1346786	0	645	659	1	1304	1	0.9992	0	1	HP1=PAT,HP2=MAT
chr20	4033448	1656	486521	820	0	1	835	1655	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr20	35517815	1660	1270186	0	805	854	1	1659	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr20	45945176	1681	1306246	840	0	1	840	1680	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr20	51365957	3440	1873486	1670	1	1	1768	3438	2	0.9994	0	2	HP1=MAT,HP2=PAT
chr20	39389245	1753	1311016	871	1	0	881	1752	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr20	50562066	2283	1448426	1128	1	0	1154	2282	1	0.9996	0	1	HP1=MAT,HP2=PAT
chr20	63182011	2644	1634720	1308	0	1	1335	2643	1	0.9996	0	1	HP1=MAT,HP2=PAT
chr20	52727684	4540	2064839	2322	1	0	2217	4539	1	0.9998	0	1	HP1=MAT,HP2=PAT
chr20	59818	86	36999	33	0	0	53	86	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	130540	93	23424	0	42	51	0	93	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	195305	1276	376967	647	0	0	629	1276	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	545002	1230	335305	0	617	613	0	1230	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	890261	312	89226	0	156	156	0	312	0	1.0000	0	0	HP1=PAT,HP2=MAT
