gap	tagged_before	tagged_after	conc_before	conc_after	gate_conc_to_disc	disc_to_conc	lost_conc	gained_conc	gained_disc	spans_before	spans_after
7073919	453	238	450	238	0	0	212	0	0	n	n
7163303	369	137	367	137	0	0	230	0	0	n	n
10296487	642	540	641	540	0	0	101	0	0	n	n
13429829	473	312	470	312	0	0	158	0	0	n	n
16673759	385	379	385	379	0	0	6	0	0	n	n
35919404	527	479	518	468	2	0	48	0	0	n	n
36217274	358	269	278	265	0	25	38	0	0	n	n
36332599	437	417	433	413	0	0	20	0	0	Y	Y
60084884	468	295	467	295	0	0	172	0	0	n	n
61732321	575	510	567	508	0	1	138	78	2	Y	Y
